Montmorillonite powder pellet
from Roush, Pollack, and Orenberg, Icarus, 94, 191-208, 1991
  Wave.   real   imag.
  (um)   index  index
  9.615  2.078  1.538
  9.653  2.126  1.432
  9.690  2.177  1.366
  9.728  2.259  1.309
  9.766  2.365  1.221
  9.804  2.458  1.084
  9.842  2.504  0.919
  9.881  2.501  0.759
  9.921  2.464  0.623
  9.960  2.409  0.514
 10.000  2.349  0.430
 10.040  2.289  0.364
 10.081  2.232  0.313
 10.121  2.179  0.272
 10.163  2.129  0.240
 10.204  2.084  0.214
 10.246  2.042  0.193
 10.288  2.003  0.176
 10.331  1.966  0.162
 10.373  1.932  0.151
 10.417  1.899  0.142
 10.460  1.868  0.136
 10.504  1.838  0.132
 10.549  1.809  0.130
 10.593  1.780  0.133
 10.638  1.752  0.139
 10.684  1.726  0.152
 10.730  1.706  0.174
 10.776  1.698  0.204
 10.823  1.713  0.234
 10.870  1.748  0.242
 10.917  1.777  0.218
 10.965  1.782  0.183
 11.013  1.769  0.155
 11.062  1.749  0.136
 11.111  1.727  0.128
 11.161  1.707  0.128
 11.211  1.692  0.135
 11.261  1.688  0.145
 11.312  1.695  0.150
 11.364  1.704  0.141
 11.416  1.705  0.123
 11.468  1.697  0.106
 11.521  1.682  0.093
 11.574  1.665  0.086
 11.628  1.648  0.086
 11.682  1.637  0.093
 11.737  1.642  0.099
 11.792  1.648  0.086
 11.848  1.639  0.070
 11.905  1.624  0.060
 11.962  1.610  0.054
 12.019  1.596  0.051
 12.077  1.583  0.050
 12.136  1.570  0.049
 12.195  1.558  0.050
 12.255  1.546  0.051
 12.315  1.533  0.054
 12.376  1.521  0.059
 12.438  1.510  0.067
 12.500  1.503  0.078
 12.563  1.505  0.092
 12.626  1.517  0.097
 12.690  1.527  0.089
 12.755  1.526  0.075
 12.821  1.518  0.064
 12.887  1.507  0.057
 12.953  1.495  0.052
 13.021  1.484  0.050
 13.089  1.474  0.048
 13.158  1.463  0.047
 13.228  1.453  0.047
 13.298  1.443  0.047
 13.369  1.433  0.048
 13.441  1.423  0.049
 13.514  1.412  0.050
 13.587  1.402  0.051
 13.661  1.392  0.053
 13.736  1.381  0.055
 13.812  1.370  0.057
 13.889  1.359  0.060
 13.966  1.347  0.064
 14.045  1.335  0.068
 14.124  1.323  0.075
 14.205  1.313  0.083
 14.286  1.308  0.092
 14.368  1.304  0.093
 14.451  1.294  0.091
 14.535  1.281  0.092
 14.620  1.266  0.095
 14.706  1.251  0.100
 14.793  1.235  0.106
 14.881  1.219  0.113
 14.970  1.203  0.122
 15.060  1.186  0.131
 15.152  1.169  0.142
 15.244  1.151  0.155
 15.337  1.133  0.169
 15.432  1.115  0.186
 15.528  1.097  0.204
 15.625  1.079  0.225
 15.723  1.062  0.248
 15.823  1.046  0.274
 15.924  1.031  0.303
 16.026  1.019  0.334
 16.129  1.009  0.367
 16.234  1.003  0.401
 16.340  0.999  0.436
 16.447  0.999  0.470
 16.556  1.001  0.503
 16.667  1.004  0.535
 16.779  1.007  0.564
 16.892  1.009  0.594
 17.007  1.008  0.624
 17.123  1.004  0.657
 17.241  0.999  0.696
 17.361  0.993  0.743
 17.483  0.992  0.800
 17.606  0.998  0.866
 17.731  1.018  0.940
 17.857  1.055  1.016
 17.986  1.109  1.088
 18.116  1.175  1.148
 18.248  1.247  1.196
 18.382  1.314  1.240
 18.519  1.383  1.297
 18.657  1.486  1.380
 18.797  1.674  1.451
 18.939  1.942  1.404
 19.084  2.143  1.183
 19.231  2.168  0.921
 19.380  2.080  0.731
 19.531  1.954  0.621
 19.685  1.817  0.572
 19.841  1.678  0.572
 20.000  1.538  0.624
 20.161  1.407  0.739
 20.325  1.315  0.932
 20.492  1.314  1.194
 20.661  1.451  1.468
 20.833  1.721  1.660
 21.008  2.019  1.724
 21.186  2.328  1.751
 21.368  2.744  1.643
 21.552  3.046  1.266
 21.739  3.073  0.864
 21.930  2.968  0.592
 22.124  2.843  0.425
 22.321  2.730  0.321
 22.523  2.634  0.253
 22.727  2.554  0.206
 22.936  2.486  0.172
 23.148  2.428  0.147
 23.364  2.379  0.127
 23.585  2.335  0.112
 23.810  2.297  0.099
 24.038  2.263  0.089
 24.272  2.233  0.081
 24.510  2.206  0.073
 24.752  2.181  0.067
 25.000  2.158  0.062
