Serpentine optical constants used in Bauer et al. 2003 (Icarus
158, 178-190, 2002).  They were Derived from reflectance data
using SEM imaging to determine grain size and an inversion of
Hapke theory.  Initial assumption was that the real index had
a constant value of 1.55 over the wavelength domain.  This
resulted in initial estimates of the imaginary index.  These
values of the imginary index were used in a subtractive
Krammers-Kronig analysis (KK)to determine the wavelength
dependence of the real index.  This Hapke-KK process was
iterated until neither the real or imaginary index changed
significantly.
  Wavelenth  Inverse     Real    Imaginary
  (microns)    cm       Index    Index
    1.0530   9496.70   1.54855  1.3574E-03
    1.0407   9608.90   1.54855  1.3408E-03
    1.0283   9724.80   1.54858  1.3132E-03
    1.0160   9842.50   1.54859  1.3038E-03
    1.0036   9964.10   1.54861  1.2666E-03
    0.9912  10088.80   1.54864  1.2625E-03
    0.9789  10215.50   1.54865  1.2369E-03
    0.9665  10346.60   1.54868  1.2457E-03
    0.9542  10480.00   1.54867  1.2349E-03
    0.9418  10618.00   1.54869  1.2285E-03
    0.9295  10758.50   1.54868  1.2022E-03
    0.9171  10903.90   1.54870  1.1846E-03
    0.9048  11052.20   1.54870  1.1663E-03
    0.8924  11205.70   1.54870  1.1515E-03
    0.8801  11362.30   1.54870  1.1252E-03
    0.8678  11523.40   1.54871  1.0732E-03
    0.8554  11690.40   1.54873  1.0756E-03
    0.8431  11861.00   1.54873  1.0396E-03
    0.8308  12036.60   1.54874  1.0042E-03
    0.8185  12217.50   1.54876  9.8215E-04
    0.8063  12402.30   1.54877  9.8141E-04
    0.7940  12594.50   1.54878  9.6640E-04
    0.7818  12791.00   1.54878  9.5418E-04
    0.7696  12993.80   1.54878  9.3594E-04
    0.7574  13203.10   1.54877  9.4246E-04
    0.7452  13419.20   1.54874  9.3037E-04
    0.7331  13640.70   1.54870  9.0959E-04
    0.7210  13869.60   1.54868  8.4087E-04
    0.7090  14104.40   1.54866  8.1960E-04
    0.6970  14347.20   1.54863  7.8631E-04
    0.6850  14598.50   1.54856  7.6208E-04
    0.6731  14856.60   1.54844  7.0641E-04
    0.6612  15124.00   1.54838  6.9576E-04
