Data created using the Lorentz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  Data are for measurements perpendicular to the a and
b crystallographic axes, close to being parallel to the c
crystallographic axis.  These could be recalculated at any spectral 
resolution.  Range of validity is given as 1500-300 inverse centimeters.

high frq. dielec. const=  2.243
Lorentz line parameters
center  width  strength
1008.0  0.0393  0.0210
 972.7  0.0507  0.1500
 915.7  0.0519  0.3240
 821.8  0.0206  0.0670
 752.2  0.0358  0.0360
 519.5  0.0332  0.2070
 505.9  0.0512  0.4250
 347.3  0.0313  0.0420

 wave.    freq.   calc.       real       imag.
micron    (cm-1)  refl.       index     index
18.2482   548.0  0.3411      0.6069       1.050
18.1818   550.0  0.3061      0.6052      0.9550
18.1159   552.0  0.2687      0.6104      0.8632
18.0505   554.0  0.2297      0.6229      0.7750
17.9856   556.0  0.1906      0.6427      0.6912
17.9211   558.0  0.1533      0.6696      0.6129
17.8571   560.0  0.1196      0.7027      0.5416
17.7936   562.0  0.0909      0.7406      0.4783
17.7305   564.0  0.0677      0.7812      0.4233
17.6678   566.0  0.0499      0.8229      0.3763
17.6056   568.0  0.0367      0.8641      0.3365
17.5439   570.0  0.0271      0.9042      0.3028
17.4825   572.0  0.0204      0.9424      0.2742
17.4216   574.0  0.0158      0.9785      0.2498
17.3611   576.0  0.0128       1.013      0.2289
17.3010   578.0  0.0110       1.045      0.2109
17.2414   580.0  0.0101       1.075      0.1952
17.1821   582.0  0.0098       1.103      0.1814
17.1233   584.0  0.0100       1.130      0.1693
17.0648   586.0  0.0105       1.155      0.1586
17.0068   588.0  0.0113       1.178      0.1491
16.9492   590.0  0.0124       1.201      0.1406
16.8919   592.0  0.0135       1.222      0.1330
16.8350   594.0  0.0148       1.242      0.1261
16.7785   596.0  0.0161       1.261      0.1199
16.7224   598.0  0.0175       1.279      0.1142
16.6667   600.0  0.0189       1.297      0.1091
16.6113   602.0  0.0203       1.313      0.1044
16.5563   604.0  0.0218       1.329      0.1002
16.5017   606.0  0.0232       1.344     0.09627
16.4474   608.0  0.0246       1.359     0.09268
16.3934   610.0  0.0260       1.373     0.08939
16.3399   612.0  0.0275       1.386     0.08636
16.2866   614.0  0.0289       1.399     0.08357
16.2338   616.0  0.0302       1.412     0.08099
16.1812   618.0  0.0316       1.424     0.07861
16.1290   620.0  0.0329       1.435     0.07642
16.0772   622.0  0.0342       1.447     0.07439
16.0256   624.0  0.0355       1.458     0.07252
15.9744   626.0  0.0368       1.469     0.07078
15.9236   628.0  0.0381       1.479     0.06918
15.8730   630.0  0.0393       1.489     0.06770
15.8228   632.0  0.0405       1.499     0.06634
15.7729   634.0  0.0417       1.509     0.06508
15.7233   636.0  0.0429       1.518     0.06392
15.6740   638.0  0.0441       1.527     0.06285
15.6250   640.0  0.0453       1.536     0.06187
15.5763   642.0  0.0464       1.545     0.06098
15.5280   644.0  0.0476       1.554     0.06016
15.4799   646.0  0.0487       1.562     0.05943
15.4321   648.0  0.0498       1.571     0.05876
15.3846   650.0  0.0509       1.579     0.05816
15.3374   652.0  0.0520       1.587     0.05763
15.2905   654.0  0.0531       1.595     0.05716
15.2439   656.0  0.0541       1.603     0.05676
15.1976   658.0  0.0552       1.611     0.05641
15.1515   660.0  0.0563       1.619     0.05613
15.1057   662.0  0.0573       1.626     0.05591
15.0602   664.0  0.0584       1.634     0.05574
15.0150   666.0  0.0594       1.642     0.05563
14.9701   668.0  0.0605       1.649     0.05558
14.9254   670.0  0.0615       1.657     0.05559
14.8810   672.0  0.0626       1.664     0.05566
14.8368   674.0  0.0636       1.672     0.05578
14.7929   676.0  0.0647       1.679     0.05597
14.7493   678.0  0.0657       1.687     0.05622
14.7059   680.0  0.0668       1.694     0.05654
14.6628   682.0  0.0678       1.701     0.05692
14.6199   684.0  0.0689       1.709     0.05738
14.5773   686.0  0.0700       1.717     0.05791
14.5349   688.0  0.0711       1.724     0.05852
14.4928   690.0  0.0722       1.732     0.05922
14.4509   692.0  0.0733       1.739     0.06001
14.4092   694.0  0.0744       1.747     0.06090
14.3678   696.0  0.0756       1.755     0.06190
14.3266   698.0  0.0767       1.763     0.06303
14.2857   700.0  0.0779       1.771     0.06428
14.2450   702.0  0.0791       1.779     0.06568
14.2045   704.0  0.0804       1.788     0.06725
14.1643   706.0  0.0817       1.796     0.06900
14.1243   708.0  0.0830       1.805     0.07097
14.0845   710.0  0.0843       1.814     0.07318
14.0449   712.0  0.0857       1.823     0.07567
14.0056   714.0  0.0871       1.832     0.07847
13.9665   716.0  0.0885       1.842     0.08166
13.9276   718.0  0.0901       1.852     0.08528
13.8889   720.0  0.0916       1.862     0.08943
13.8504   722.0  0.0933       1.873     0.09419
13.8122   724.0  0.0950       1.884     0.09969
13.7741   726.0  0.0967       1.895      0.1061
13.7363   728.0  0.0986       1.906      0.1135
13.6986   730.0  0.1005       1.918      0.1223
13.6612   732.0  0.1025       1.929      0.1326
13.6240   734.0  0.1045       1.941      0.1448
13.5870   736.0  0.1065       1.951      0.1592
13.5501   738.0  0.1085       1.961      0.1762
13.5135   740.0  0.1104       1.969      0.1960
13.4771   742.0  0.1120       1.973      0.2188
13.4409   744.0  0.1131       1.973      0.2440
13.4048   746.0  0.1136       1.967      0.2704
13.3690   748.0  0.1130       1.952      0.2957
13.3333   750.0  0.1111       1.930      0.3163
13.2979   752.0  0.1080       1.902      0.3287
13.2626   754.0  0.1040       1.871      0.3304
13.2275   756.0  0.0995       1.843      0.3213
13.1926   758.0  0.0953       1.822      0.3039
13.1579   760.0  0.0920       1.808      0.2818
13.1234   762.0  0.0898       1.803      0.2584
13.0890   764.0  0.0887       1.804      0.2362
13.0548   766.0  0.0886       1.811      0.2164
13.0208   768.0  0.0893       1.821      0.1996
12.9870   770.0  0.0905       1.834      0.1858
12.9534   772.0  0.0921       1.848      0.1746
12.9199   774.0  0.0941       1.864      0.1659
12.8866   776.0  0.0962       1.880      0.1592
12.8535   778.0  0.0985       1.897      0.1544
12.8205   780.0  0.1009       1.915      0.1512
12.7877   782.0  0.1035       1.933      0.1494
12.7551   784.0  0.1062       1.951      0.1489
12.7226   786.0  0.1090       1.970      0.1496
12.6904   788.0  0.1119       1.990      0.1516
12.6582   790.0  0.1150       2.010      0.1549
12.6263   792.0  0.1182       2.032      0.1596
12.5945   794.0  0.1217       2.054      0.1658
12.5628   796.0  0.1254       2.078      0.1739
12.5313   798.0  0.1294       2.103      0.1840
12.5000   800.0  0.1337       2.129      0.1969
12.4688   802.0  0.1384       2.158      0.2131
12.4378   804.0  0.1436       2.189      0.2337
12.4069   806.0  0.1493       2.221      0.2602
12.3762   808.0  0.1556       2.255      0.2944
12.3457   810.0  0.1626       2.290      0.3392
12.3153   812.0  0.1704       2.323      0.3982
12.2850   814.0  0.1786       2.348      0.4752
12.2549   816.0  0.1868       2.355      0.5730
12.2249   818.0  0.1938       2.329      0.6879
12.1951   820.0  0.1973       2.254      0.8029
12.1655   822.0  0.1944       2.126      0.8855
12.1359   824.0  0.1828       1.972      0.9054
12.1065   826.0  0.1633       1.831      0.8595
12.0773   828.0  0.1404       1.733      0.7712
12.0482   830.0  0.1197       1.683      0.6702
12.0192   832.0  0.1048       1.670      0.5768
11.9904   834.0  0.0961       1.683      0.4997
11.9617   836.0  0.0923       1.708      0.4399
11.9332   838.0  0.0918       1.740      0.3951
11.9048   840.0  0.0932       1.773      0.3621
11.8765   842.0  0.0958       1.807      0.3382
11.8483   844.0  0.0990       1.840      0.3212
11.8203   846.0  0.1027       1.872      0.3095
11.7925   848.0  0.1064       1.903      0.3021
11.7647   850.0  0.1104       1.933      0.2980
11.7371   852.0  0.1143       1.962      0.2968
11.7096   854.0  0.1183       1.990      0.2979
11.6822   856.0  0.1224       2.017      0.3010
11.6550   858.0  0.1264       2.044      0.3061
11.6279   860.0  0.1305       2.070      0.3129
11.6009   862.0  0.1347       2.097      0.3214
11.5741   864.0  0.1390       2.123      0.3315
11.5473   866.0  0.1433       2.149      0.3433
11.5207   868.0  0.1477       2.175      0.3568
11.4943   870.0  0.1522       2.201      0.3721
11.4679   872.0  0.1568       2.227      0.3893
11.4416   874.0  0.1616       2.253      0.4085
11.4155   876.0  0.1665       2.279      0.4299
11.3895   878.0  0.1716       2.306      0.4537
11.3636   880.0  0.1769       2.332      0.4800
11.3379   882.0  0.1824       2.358      0.5092
11.3122   884.0  0.1881       2.384      0.5415
11.2867   886.0  0.1940       2.409      0.5772
11.2613   888.0  0.2001       2.434      0.6166
11.2360   890.0  0.2065       2.457      0.6600
11.2108   892.0  0.2131       2.478      0.7077
11.1857   894.0  0.2200       2.496      0.7601
11.1607   896.0  0.2271       2.511      0.8171
11.1359   898.0  0.2345       2.522      0.8790
11.1111   900.0  0.2420       2.528      0.9454
11.0865   902.0  0.2497       2.527       1.016
11.0619   904.0  0.2574       2.517       1.090
11.0375   906.0  0.2652       2.499       1.166
11.0132   908.0  0.2728       2.470       1.243
10.9890   910.0  0.2801       2.430       1.318
10.9649   912.0  0.2871       2.378       1.389
10.9409   914.0  0.2934       2.317       1.454
10.9170   916.0  0.2990       2.246       1.510
10.8932   918.0  0.3036       2.168       1.554
10.8696   920.0  0.3070       2.086       1.587
10.8460   922.0  0.3092       2.002       1.607
10.8225   924.0  0.3101       1.919       1.614
10.7991   926.0  0.3094       1.840       1.610
10.7759   928.0  0.3073       1.766       1.596
10.7527   930.0  0.3037       1.699       1.573
10.7296   932.0  0.2987       1.640       1.544
10.7066   934.0  0.2926       1.590       1.511
10.6838   936.0  0.2854       1.548       1.474
10.6610   938.0  0.2775       1.515       1.436
10.6383   940.0  0.2693       1.491       1.399
10.6157   942.0  0.2610       1.474       1.363
10.5932   944.0  0.2531       1.465       1.330
10.5708   946.0  0.2461       1.461       1.302
10.5485   948.0  0.2401       1.463       1.279
10.5263   950.0  0.2355       1.469       1.261
10.5042   952.0  0.2325       1.477       1.250
10.4822   954.0  0.2313       1.487       1.246
10.4603   956.0  0.2318       1.497       1.249
10.4384   958.0  0.2339       1.505       1.258
10.4167   960.0  0.2376       1.509       1.274
10.3950   962.0  0.2428       1.509       1.295
10.3734   964.0  0.2492       1.504       1.320
10.3520   966.0  0.2566       1.491       1.348
10.3306   968.0  0.2647       1.472       1.377
10.3093   970.0  0.2733       1.445       1.406
10.2881   972.0  0.2822       1.411       1.432
10.2669   974.0  0.2909       1.371       1.453
10.2459   976.0  0.2994       1.326       1.470
10.2249   978.0  0.3072       1.278       1.480
10.2041   980.0  0.3143       1.228       1.483
10.1833   982.0  0.3205       1.179       1.481
10.1626   984.0  0.3256       1.131       1.472
10.1420   986.0  0.3296       1.085       1.458
10.1215   988.0  0.3324       1.042       1.440
10.1010   990.0  0.3342       1.003       1.419
10.0806   992.0  0.3350      0.9682       1.397
10.0604   994.0  0.3351      0.9370       1.373
10.0402   996.0  0.3347      0.9091       1.350
10.0200   998.0  0.3342      0.8839       1.327
10.0000  1000.0  0.3338      0.8606       1.306
 9.9800  1002.0  0.3340      0.8382       1.286
 9.9602  1004.0  0.3349      0.8157       1.268
 9.9404  1006.0  0.3366      0.7923       1.251
 9.9206  1008.0  0.3391      0.7676       1.234
 9.9010  1010.0  0.3422      0.7417       1.215
 9.8814  1012.0  0.3455      0.7148       1.195
 9.8619  1014.0  0.3487      0.6876       1.173
 9.8425  1016.0  0.3515      0.6608       1.148
 9.8232  1018.0  0.3535      0.6351       1.121
 9.8039  1020.0  0.3545      0.6109       1.091
 9.7847  1022.0  0.3545      0.5886       1.060
 9.7656  1024.0  0.3533      0.5685       1.028
 9.7466  1026.0  0.3509      0.5505      0.9943
 9.7276  1028.0  0.3474      0.5348      0.9602
 9.7087  1030.0  0.3426      0.5211      0.9258
 9.6899  1032.0  0.3368      0.5094      0.8912
 9.6712  1034.0  0.3299      0.4997      0.8565
 9.6525  1036.0  0.3219      0.4917      0.8219
 9.6339  1038.0  0.3130      0.4855      0.7875
 9.6154  1040.0  0.3031      0.4810      0.7533
 9.5969  1042.0  0.2923      0.4782      0.7194
 9.5785  1044.0  0.2806      0.4769      0.6858
 9.5602  1046.0  0.2682      0.4771      0.6527
 9.5420  1048.0  0.2551      0.4790      0.6201
 9.5238  1050.0  0.2413      0.4823      0.5880
 9.5057  1052.0  0.2271      0.4872      0.5566
 9.4877  1054.0  0.2126      0.4936      0.5259
 9.4697  1056.0  0.1979      0.5014      0.4962
 9.4518  1058.0  0.1832      0.5107      0.4675
 9.4340  1060.0  0.1686      0.5212      0.4400
 9.4162  1062.0  0.1545      0.5329      0.4137
 9.3985  1064.0  0.1408      0.5456      0.3889
 9.3809  1066.0  0.1279      0.5591      0.3655
 9.3633  1068.0  0.1157      0.5734      0.3436
 9.3458  1070.0  0.1044      0.5881      0.3232
 9.3284  1072.0  0.0939      0.6031      0.3043
 9.3110  1074.0  0.0844      0.6183      0.2868
 9.2937  1076.0  0.0757      0.6336      0.2706
 9.2764  1078.0  0.0678      0.6487      0.2557
 9.2593  1080.0  0.0607      0.6637      0.2420
 9.2421  1082.0  0.0543      0.6785      0.2293
 9.2251  1084.0  0.0486      0.6930      0.2177
 9.2081  1086.0  0.0435      0.7071      0.2069
 9.1912  1088.0  0.0389      0.7209      0.1969
 9.1743  1090.0  0.0348      0.7344      0.1877
 9.1575  1092.0  0.0311      0.7475      0.1791
 9.1408  1094.0  0.0278      0.7602      0.1712
 9.1241  1096.0  0.0248      0.7725      0.1638
 9.1075  1098.0  0.0221      0.7845      0.1569
 9.0909  1100.0  0.0198      0.7961      0.1505
 9.0744  1102.0  0.0176      0.8074      0.1445
 9.0580  1104.0  0.0157      0.8183      0.1388
 9.0416  1106.0  0.0140      0.8289      0.1335
 9.0253  1108.0  0.0125      0.8392      0.1286
 9.0090  1110.0  0.0111      0.8492      0.1239
 8.9928  1112.0  0.0099      0.8589      0.1195
 8.9767  1114.0  0.0087      0.8683      0.1153
 8.9606  1116.0  0.0078      0.8775      0.1114
 8.9445  1118.0  0.0069      0.8864      0.1077
 8.9286  1120.0  0.0061      0.8950      0.1042
 8.9127  1122.0  0.0054      0.9034      0.1008
 8.8968  1124.0  0.0047      0.9116     0.09767
 8.8810  1126.0  0.0042      0.9195     0.09466
 8.8652  1128.0  0.0037      0.9272     0.09179
 8.8496  1130.0  0.0032      0.9348     0.08907
 8.8339  1132.0  0.0029      0.9421     0.08647
 8.8183  1134.0  0.0025      0.9492     0.08399
 8.8028  1136.0  0.0022      0.9562     0.08162
 8.7873  1138.0  0.0020      0.9630     0.07936
 8.7719  1140.0  0.0018      0.9696     0.07720
 8.7566  1142.0  0.0016      0.9760     0.07512
 8.7413  1144.0  0.0014      0.9823     0.07314
 8.7260  1146.0  0.0013      0.9885     0.07124
 8.7108  1148.0  0.0012      0.9945     0.06941
 8.6957  1150.0  0.0011       1.000     0.06766
 8.6806  1152.0  0.0011       1.006     0.06598
 8.6655  1154.0  0.0011       1.012     0.06436
