Data for montmorillonite from Roush, 2005, Icarus, 
179, 259-264.
 Wave       Frequency    real       imaginary
(micron)      cm-1      index        index
2.6301	3802.10	1.3816	6.6261E-04	   
2.6679	3748.30	1.3790	8.4949E-04	   
2.7058	3695.80	1.3751	2.1590E-03	   
2.7436	3644.80	1.3718	9.6247E-03	   
2.7815	3595.20	1.3780	2.6962E-02	   
2.8193	3547.00	1.3852	1.5493E-02	   
2.8571	3500.10	1.3849	1.4226E-02	   
2.8949	3454.40	1.3851	1.5126E-02	   
2.9326	3409.90	1.3864	1.6180E-02	   
2.9705	3366.40	1.3880	1.5734E-02	   
3.0084	3324.00	1.3900	1.6112E-02	   
3.0464	3282.60	1.3912	1.2202E-02	   
3.0843	3242.20	1.3911	1.1518E-02	   
3.1224	3202.70	1.3917	1.0737E-02	   
3.1606	3164.00	1.3920	8.0972E-03	   
3.1989	3126.10	1.3913	6.0991E-03	   
3.2372	3089.10	1.3902	4.7193E-03	   
3.2757	3052.80	1.3890	3.5892E-03	   
3.3143	3017.20	1.3878	2.8723E-03	   
3.3530	2982.40	1.3867	2.2890E-03	   
3.3919	2948.20	1.3855	1.5613E-03	   
3.4310	2914.60	1.3841	1.1564E-03	   
3.4702	2881.70	1.3829	1.0873E-03	   
3.5096	2849.30	1.3817	9.4087E-04	   
3.5492	2817.50	1.3806	9.0141E-04	   
3.5890	2786.30	1.3796	7.5852E-04	   
3.6291	2755.50	1.3785	7.3403E-04	   
3.6693	2725.30	1.3775	6.4527E-04	   
3.7097	2695.60	1.3764	6.2389E-04	   
3.7505	2666.30	1.3753	5.8966E-04	   
3.7915	2637.50	1.3743	5.4947E-04	   
3.8327	2609.10	1.3732	5.7319E-04	   
3.8743	2581.10	1.3721	6.0766E-04	   
3.9160	2553.60	1.3710	6.3429E-04	   
3.9582	2526.40	1.3699	6.7720E-04	   
4.0006	2499.60	1.3688	6.8297E-04	   
4.0433	2473.20	1.3677	7.0939E-04	   
4.0865	2447.10	1.3665	6.8058E-04	   
4.1298	2421.40	1.3653	7.9482E-04	   
4.1736	2396.00	1.3640	8.1949E-04	   
4.2178	2370.90	1.3626	8.9594E-04	   
4.2624	2346.10	1.3620	1.0915E-03	   
4.4090	2268.10	1.3562	1.5226E-03	   
4.4705	2236.90	1.3572	1.6222E-03	   
5.0000	2000.00	1.3363	2.0000E-03	   
5.0100	1996.01	1.3552	2.0000E-03	   
5.0200	1992.03	1.3458	2.0000E-03	   
5.0300	1988.07	1.3426	2.0000E-03	   
5.0400	1984.13	1.3408	2.0000E-03	   
5.0500	1980.20	1.3397	2.0000E-03	   
5.0610	1975.89	1.3385	2.0000E-03	   
5.0710	1972.00	1.3379	2.0000E-03	   
5.0810	1968.12	1.3373	2.0000E-03	   
5.0920	1963.86	1.3365	2.0000E-03	   
5.1020	1960.02	1.3361	2.0000E-03	   
5.1130	1955.80	1.3354	2.0000E-03	   
5.1230	1951.98	1.3351	2.0000E-03	   
5.1340	1947.80	1.3344	2.0000E-03	   
5.1440	1944.01	1.3341	2.0000E-03	   
5.1550	1939.86	1.3335	2.0000E-03	   
5.1650	1936.11	1.3332	2.0000E-03	   
5.1760	1931.99	1.3326	2.0000E-03	   
5.1870	1927.90	1.3321	2.0000E-03	   
5.1980	1923.82	1.3316	2.0000E-03	   
5.2080	1920.12	1.3313	2.0000E-03	   
5.2190	1916.08	1.3307	2.0000E-03	   
5.2300	1912.05	1.3302	2.0000E-03	   
5.2410	1908.03	1.3298	2.0000E-03	   
5.2520	1904.04	1.3293	2.0000E-03	   
5.2630	1900.06	1.3288	2.0000E-03	   
5.2740	1896.09	1.3283	2.0000E-03	   
5.2850	1892.15	1.3279	2.0000E-03	   
5.2970	1887.86	1.3272	2.0000E-03	   
5.3080	1883.95	1.3268	2.0000E-03	   
5.3190	1880.05	1.3263	2.0000E-03	   
5.3310	1875.82	1.3257	2.0000E-03	   
