Calcite "pellet" optical constants calculated from Long et al. Infrared
Phys., 34, 191-301, 1993.
    wave.    Freq.      real       imag.
  (microns)  (cm-1)    index       index
    2.8249  3540.00  1.4459E+00  4.3018E-04
    2.8281  3536.00  1.4458E+00  4.3202E-04
    2.8313  3532.00  1.4458E+00  4.3388E-04
    2.8345  3528.00  1.4457E+00  4.3575E-04
    2.8377  3524.00  1.4456E+00  4.3762E-04
    2.8409  3520.00  1.4455E+00  4.3951E-04
    2.8441  3516.00  1.4455E+00  4.4141E-04
    2.8474  3512.00  1.4454E+00  4.4333E-04
    2.8506  3508.00  1.4453E+00  4.4525E-04
    2.8539  3504.00  1.4453E+00  4.4719E-04
    2.8571  3500.00  1.4452E+00  4.4914E-04
    2.8604  3496.00  1.4451E+00  4.5110E-04
    2.8637  3492.00  1.4450E+00  4.5307E-04
    2.8670  3488.00  1.4450E+00  4.5505E-04
    2.8703  3484.00  1.4449E+00  4.5705E-04
    2.8736  3480.00  1.4448E+00  4.5906E-04
    2.8769  3476.00  1.4447E+00  4.6108E-04
    2.8802  3472.00  1.4447E+00  4.6311E-04
    2.8835  3468.00  1.4446E+00  4.6516E-04
    2.8868  3464.00  1.4445E+00  4.6721E-04
    2.8902  3460.00  1.4444E+00  4.6929E-04
    2.8935  3456.00  1.4443E+00  4.7137E-04
    2.8969  3452.00  1.4443E+00  4.7347E-04
    2.9002  3448.00  1.4442E+00  4.7558E-04
    2.9036  3444.00  1.4441E+00  4.7770E-04
    2.9070  3440.00  1.4440E+00  4.7984E-04
    2.9104  3436.00  1.4439E+00  4.8199E-04
    2.9138  3432.00  1.4439E+00  4.8415E-04
    2.9172  3428.00  1.4438E+00  4.8633E-04
    2.9206  3424.00  1.4437E+00  4.8852E-04
    2.9240  3420.00  1.4436E+00  4.9073E-04
    2.9274  3416.00  1.4435E+00  4.9295E-04
    2.9308  3412.00  1.4435E+00  4.9518E-04
    2.9343  3408.00  1.4434E+00  4.9743E-04
    2.9377  3404.00  1.4433E+00  4.9969E-04
    2.9412  3400.00  1.4432E+00  5.0197E-04
    2.9446  3396.00  1.4431E+00  5.0426E-04
    2.9481  3392.00  1.4431E+00  5.0656E-04
    2.9516  3388.00  1.4430E+00  5.0888E-04
    2.9551  3384.00  1.4429E+00  5.1122E-04
    2.9586  3380.00  1.4428E+00  5.1357E-04
    2.9621  3376.00  1.4427E+00  5.1594E-04
    2.9656  3372.00  1.4426E+00  5.1832E-04
    2.9691  3368.00  1.4425E+00  5.2071E-04
    2.9727  3364.00  1.4425E+00  5.2313E-04
    2.9762  3360.00  1.4424E+00  5.2555E-04
    2.9797  3356.00  1.4423E+00  5.2800E-04
    2.9833  3352.00  1.4422E+00  5.3046E-04
    2.9869  3348.00  1.4421E+00  5.3293E-04
    2.9904  3344.00  1.4420E+00  5.3543E-04
    2.9940  3340.00  1.4419E+00  5.3794E-04
    2.9976  3336.00  1.4418E+00  5.4046E-04
    3.0012  3332.00  1.4418E+00  5.4300E-04
    3.0048  3328.00  1.4417E+00  5.4556E-04
    3.0084  3324.00  1.4416E+00  5.4814E-04
    3.0120  3320.00  1.4415E+00  5.5073E-04
    3.0157  3316.00  1.4414E+00  5.5334E-04
    3.0193  3312.00  1.4413E+00  5.5597E-04
    3.0230  3308.00  1.4412E+00  5.5861E-04
    3.0266  3304.00  1.4411E+00  5.6128E-04
    3.0303  3300.00  1.4410E+00  5.6396E-04
    3.0340  3296.00  1.4409E+00  5.6666E-04
    3.0377  3292.00  1.4408E+00  5.6938E-04
    3.0414  3288.00  1.4407E+00  5.7211E-04
    3.0451  3284.00  1.4406E+00  5.7487E-04
    3.0488  3280.00  1.4406E+00  5.7764E-04
    3.0525  3276.00  1.4405E+00  5.8043E-04
    3.0562  3272.00  1.4404E+00  5.8324E-04
    3.0600  3268.00  1.4403E+00  5.8607E-04
    3.0637  3264.00  1.4402E+00  5.8892E-04
    3.0675  3260.00  1.4401E+00  5.9179E-04
    3.0713  3256.00  1.4400E+00  5.9468E-04
    3.0750  3252.00  1.4399E+00  5.9759E-04
    3.0788  3248.00  1.4398E+00  6.0052E-04
    3.0826  3244.00  1.4397E+00  6.0347E-04
    3.0864  3240.00  1.4396E+00  6.0644E-04
    3.0902  3236.00  1.4395E+00  6.0943E-04
    3.0941  3232.00  1.4394E+00  6.1244E-04
    3.0979  3228.00  1.4393E+00  6.1548E-04
    3.1017  3224.00  1.4392E+00  6.1853E-04
    3.1056  3220.00  1.4391E+00  6.2160E-04
    3.1095  3216.00  1.4390E+00  6.2470E-04
    3.1133  3212.00  1.4389E+00  6.2782E-04
    3.1172  3208.00  1.4388E+00  6.3096E-04
    3.1211  3204.00  1.4387E+00  6.3412E-04
    3.1250  3200.00  1.4386E+00  6.3731E-04
    3.1289  3196.00  1.4385E+00  6.4052E-04
    3.1328  3192.00  1.4383E+00  6.4375E-04
    3.1368  3188.00  1.4382E+00  6.4700E-04
    3.1407  3184.00  1.4381E+00  6.5028E-04
    3.1447  3180.00  1.4380E+00  6.5358E-04
    3.1486  3176.00  1.4379E+00  6.5691E-04
    3.1526  3172.00  1.4378E+00  6.6025E-04
    3.1566  3168.00  1.4377E+00  6.6363E-04
    3.1606  3164.00  1.4376E+00  6.6703E-04
    3.1646  3160.00  1.4375E+00  6.7045E-04
    3.1686  3156.00  1.4374E+00  6.7389E-04
    3.1726  3152.00  1.4373E+00  6.7737E-04
    3.1766  3148.00  1.4372E+00  6.8086E-04
    3.1807  3144.00  1.4370E+00  6.8439E-04
    3.1847  3140.00  1.4369E+00  6.8793E-04
    3.1888  3136.00  1.4368E+00  6.9151E-04
    3.1928  3132.00  1.4367E+00  6.9511E-04
    3.1969  3128.00  1.4366E+00  6.9874E-04
    3.2010  3124.00  1.4365E+00  7.0239E-04
    3.2051  3120.00  1.4364E+00  7.0608E-04
    3.2092  3116.00  1.4362E+00  7.0978E-04
    3.2134  3112.00  1.4361E+00  7.1352E-04
    3.2175  3108.00  1.4360E+00  7.1729E-04
    3.2216  3104.00  1.4359E+00  7.2108E-04
    3.2258  3100.00  1.4358E+00  7.2490E-04
    3.2300  3096.00  1.4357E+00  7.2875E-04
    3.2342  3092.00  1.4355E+00  7.3263E-04
    3.2383  3088.00  1.4354E+00  7.3654E-04
    3.2425  3084.00  1.4353E+00  7.4048E-04
    3.2468  3080.00  1.4352E+00  7.4445E-04
    3.2510  3076.00  1.4350E+00  7.4845E-04
    3.2552  3072.00  1.4349E+00  7.5248E-04
    3.2595  3068.00  1.4348E+00  7.5654E-04
    3.2637  3064.00  1.4347E+00  7.6063E-04
    3.2680  3060.00  1.4346E+00  7.6475E-04
    3.2723  3056.00  1.4344E+00  7.6890E-04
    3.2765  3052.00  1.4343E+00  7.7309E-04
    3.2808  3048.00  1.4342E+00  7.7731E-04
    3.2852  3044.00  1.4340E+00  7.8156E-04
    3.2895  3040.00  1.4339E+00  7.8585E-04
    3.2938  3036.00  1.4338E+00  7.9016E-04
    3.2982  3032.00  1.4337E+00  7.9452E-04
    3.3025  3028.00  1.4335E+00  7.9890E-04
    3.3069  3024.00  1.4334E+00  8.0332E-04
    3.3113  3020.00  1.4333E+00  8.0778E-04
    3.3156  3016.00  1.4331E+00  8.1227E-04
    3.3201  3012.00  1.4330E+00  8.1680E-04
    3.3245  3008.00  1.4329E+00  8.2136E-04
    3.3289  3004.00  1.4327E+00  8.2596E-04
    3.3333  3000.00  1.4326E+00  8.3059E-04
    3.3378  2996.00  1.4325E+00  8.3526E-04
    3.3422  2992.00  1.4323E+00  8.3997E-04
    3.3467  2988.00  1.4322E+00  8.4472E-04
    3.3512  2984.00  1.4321E+00  8.4951E-04
    3.3557  2980.00  1.4319E+00  8.5433E-04
    3.3602  2976.00  1.4318E+00  8.5920E-04
    3.3647  2972.00  1.4316E+00  8.6410E-04
    3.3693  2968.00  1.4315E+00  8.6904E-04
    3.3738  2964.00  1.4314E+00  8.7403E-04
    3.3784  2960.00  1.4312E+00  8.7905E-04
    3.3829  2956.00  1.4311E+00  8.8412E-04
    3.3875  2952.00  1.4309E+00  8.8923E-04
    3.3921  2948.00  1.4308E+00  8.9438E-04
    3.3967  2944.00  1.4306E+00  8.9957E-04
    3.4014  2940.00  1.4305E+00  9.0480E-04
    3.4060  2936.00  1.4303E+00  9.1008E-04
    3.4106  2932.00  1.4302E+00  9.1541E-04
    3.4153  2928.00  1.4300E+00  9.2077E-04
    3.4200  2924.00  1.4299E+00  9.2618E-04
    3.4247  2920.00  1.4297E+00  9.3164E-04
    3.4294  2916.00  1.4296E+00  9.3715E-04
    3.4341  2912.00  1.4294E+00  9.4270E-04
    3.4388  2908.00  1.4293E+00  9.4829E-04
    3.4435  2904.00  1.4291E+00  9.5394E-04
    3.4483  2900.00  1.4290E+00  9.5963E-04
    3.4530  2896.00  1.4288E+00  9.6537E-04
    3.4578  2892.00  1.4287E+00  9.7117E-04
    3.4626  2888.00  1.4285E+00  9.7701E-04
    3.4674  2884.00  1.4283E+00  9.8290E-04
    3.4722  2880.00  1.4282E+00  9.8884E-04
    3.4771  2876.00  1.4280E+00  9.9483E-04
    3.4819  2872.00  1.4279E+00  1.0009E-03
    3.4868  2868.00  1.4277E+00  1.0070E-03
    3.4916  2864.00  1.4275E+00  1.0131E-03
    3.4965  2860.00  1.4274E+00  1.0193E-03
    3.5014  2856.00  1.4272E+00  1.0256E-03
    3.5063  2852.00  1.4270E+00  1.0319E-03
    3.5112  2848.00  1.4269E+00  1.0383E-03
    3.5162  2844.00  1.4267E+00  1.0447E-03
    3.5211  2840.00  1.4265E+00  1.0512E-03
    3.5261  2836.00  1.4264E+00  1.0577E-03
    3.5311  2832.00  1.4262E+00  1.0643E-03
    3.5361  2828.00  1.4260E+00  1.0710E-03
    3.5411  2824.00  1.4258E+00  1.0777E-03
    3.5461  2820.00  1.4257E+00  1.0845E-03
    3.5511  2816.00  1.4255E+00  1.0913E-03
    3.5562  2812.00  1.4253E+00  1.0982E-03
    3.5613  2808.00  1.4251E+00  1.1052E-03
    3.5663  2804.00  1.4249E+00  1.1122E-03
    3.5714  2800.00  1.4248E+00  1.1193E-03
    3.5765  2796.00  1.4246E+00  1.1265E-03
    3.5817  2792.00  1.4244E+00  1.1337E-03
    3.5868  2788.00  1.4242E+00  1.1410E-03
    3.5920  2784.00  1.4240E+00  1.1484E-03
    3.5971  2780.00  1.4238E+00  1.1558E-03
    3.6023  2776.00  1.4237E+00  1.1633E-03
    3.6075  2772.00  1.4235E+00  1.1708E-03
    3.6127  2768.00  1.4233E+00  1.1785E-03
    3.6179  2764.00  1.4231E+00  1.1862E-03
    3.6232  2760.00  1.4229E+00  1.1940E-03
    3.6284  2756.00  1.4227E+00  1.2018E-03
    3.6337  2752.00  1.4225E+00  1.2097E-03
    3.6390  2748.00  1.4223E+00  1.2178E-03
    3.6443  2744.00  1.4221E+00  1.2258E-03
    3.6496  2740.00  1.4219E+00  1.2340E-03
    3.6550  2736.00  1.4217E+00  1.2422E-03
    3.6603  2732.00  1.4215E+00  1.2505E-03
    3.6657  2728.00  1.4213E+00  1.2589E-03
    3.6711  2724.00  1.4211E+00  1.2674E-03
    3.6765  2720.00  1.4209E+00  1.2760E-03
    3.6819  2716.00  1.4207E+00  1.2846E-03
    3.6873  2712.00  1.4205E+00  1.2933E-03
    3.6928  2708.00  1.4203E+00  1.3022E-03
    3.6982  2704.00  1.4201E+00  1.3111E-03
    3.7037  2700.00  1.4199E+00  1.3200E-03
    3.7092  2696.00  1.4196E+00  1.3291E-03
    3.7147  2692.00  1.4194E+00  1.3383E-03
    3.7202  2688.00  1.4192E+00  1.3475E-03
    3.7258  2684.00  1.4190E+00  1.3569E-03
    3.7313  2680.00  1.4188E+00  1.3663E-03
    3.7369  2676.00  1.4186E+00  1.3759E-03
    3.7425  2672.00  1.4183E+00  1.3855E-03
    3.7481  2668.00  1.4181E+00  1.3952E-03
    3.7538  2664.00  1.4179E+00  1.4051E-03
    3.7594  2660.00  1.4177E+00  1.4150E-03
    3.7651  2656.00  1.4174E+00  1.4250E-03
    3.7707  2652.00  1.4172E+00  1.4352E-03
    3.7764  2648.00  1.4170E+00  1.4454E-03
    3.7821  2644.00  1.4167E+00  1.4557E-03
    3.7879  2640.00  1.4165E+00  1.4662E-03
    3.7936  2636.00  1.4163E+00  1.4768E-03
    3.7994  2632.00  1.4160E+00  1.4874E-03
    3.8052  2628.00  1.4158E+00  1.4982E-03
    3.8110  2624.00  1.4155E+00  1.5091E-03
    3.8168  2620.00  1.4153E+00  1.5201E-03
    3.8226  2616.00  1.4151E+00  1.5313E-03
    3.8285  2612.00  1.4148E+00  1.5425E-03
    3.8344  2608.00  1.4146E+00  1.5539E-03
    3.8402  2604.00  1.4143E+00  1.5654E-03
    3.8462  2600.00  1.4141E+00  1.5770E-03
    3.8521  2596.00  1.4138E+00  1.5887E-03
    3.8580  2592.00  1.4135E+00  1.6006E-03
