data provided by Paul Lucey in 2006
derived using techniques of Lucey 1998
Forsterite, Fo= 91.0000
minimum grain size (microns)= 60.0000
maximum grain size=(microns) 104.000
column 1= wavelength, micrometers
column 2= real index
column 3= imaginary index
 
     0.221100      1.65228 8.40648e-005
     0.229100      1.65228  0.000508983
     0.236100      1.65228  0.000138328
     0.242100      1.65228  0.000129236
     0.248100      1.65228  0.000135337
     0.253600      1.65228  0.000144036
     0.258600      1.65228  0.000150286
     0.263600      1.65228  0.000152995
     0.268600      1.65228  0.000157100
     0.273100      1.65228  0.000150857
     0.277100      1.65228  0.000151790
     0.281100      1.65228  0.000144348
     0.285100      1.65228  0.000139696
     0.289100      1.65228  0.000131303
     0.293100      1.65228  0.000130863
     0.297100      1.65228  0.000125612
     0.301100      1.65228  0.000119111
     0.305100      1.65228  0.000114795
     0.309100      1.65228  0.000107320
     0.313100      1.65228 9.71524e-005
     0.317100      1.65228 8.75710e-005
     0.321100      1.65228 7.71114e-005
     0.325100      1.65228 6.81421e-005
     0.329100      1.65228 5.85452e-005
     0.333100      1.65228 4.96504e-005
     0.337100      1.65228 4.24290e-005
     0.341100      1.65228 3.64003e-005
     0.345100      1.65228 3.13288e-005
     0.349100      1.65228 2.69694e-005
     0.353100      1.65228 2.48990e-005
     0.357100      1.65228 2.24100e-005
     0.360600      1.65228 2.06496e-005
     0.363600      1.65228 1.93204e-005
     0.366600      1.65228 1.86552e-005
     0.369600      1.65228 1.79391e-005
     0.372600      1.65228 1.72815e-005
     0.375600      1.65228 1.71684e-005
     0.378600      1.65228 1.70834e-005
     0.381100      1.65228 1.70214e-005
     0.383100      1.65228 1.67604e-005
     0.385100      1.65228 1.71364e-005
     0.387100      1.65228 1.68714e-005
     0.389100      1.65228 1.64603e-005
     0.391100      1.65228 1.65293e-005
     0.393100      1.65228 1.64523e-005
     0.395100      1.65228 1.63573e-005
     0.397100      1.65228 1.60182e-005
     0.399100      1.65228 1.60342e-005
     0.401100      1.65228 1.63433e-005
     0.403100      1.65228 1.62933e-005
     0.405100      1.65228 1.51450e-005
     0.407100      1.65228 1.48130e-005
     0.409100      1.65228 1.45429e-005
     0.411100      1.65228 1.44179e-005
     0.412800      1.65228 1.41348e-005
     0.415800      1.65228 1.42539e-005
     0.418800      1.65228 1.41088e-005
     0.421800      1.65228 1.42438e-005
     0.424800      1.65228 1.43279e-005
     0.427800      1.65228 1.44799e-005
     0.430800      1.65228 1.46149e-005
     0.433800      1.65228 1.45979e-005
     0.436800      1.65228 1.46299e-005
     0.439800      1.65228 1.45579e-005
     0.442800      1.65228 1.48830e-005
     0.445800      1.65228 1.51070e-005
     0.448800      1.65228 1.54921e-005
     0.451300      1.65228 1.55241e-005
     0.453300      1.65228 1.57552e-005
     0.455300      1.65228 1.56981e-005
     0.457300      1.65228 1.54421e-005
     0.459300      1.65228 1.53471e-005
     0.461300      1.65228 1.53781e-005
     0.463300      1.65228 1.49180e-005
     0.465300      1.65228 1.49830e-005
     0.467300      1.65228 1.49920e-005
     0.469300      1.65228 1.50560e-005
     0.471300      1.65228 1.50290e-005
     0.473300      1.65228 1.47429e-005
     0.475300      1.65228 1.44549e-005
     0.477300      1.65228 1.39818e-005
     0.479300      1.65228 1.39298e-005
     0.481300      1.65228 1.39328e-005
     0.483300      1.65228 1.40278e-005
     0.485300      1.65228 1.43839e-005
     0.487300      1.65228 1.46129e-005
     0.489300      1.65228 1.46539e-005
     0.491300      1.65228 1.47509e-005
     0.493300      1.65228 1.48310e-005
     0.495300      1.65228 1.50630e-005
     0.497300      1.65228 1.46249e-005
     0.499300      1.65228 1.42809e-005
     0.501300      1.65228 1.37828e-005
     0.503300      1.65228 1.37037e-005
     0.505300      1.65228 1.36047e-005
     0.507300      1.65228 1.32356e-005
     0.509300      1.65228 1.33457e-005
     0.511300      1.65228 1.33587e-005
     0.513300      1.65228 1.32757e-005
     0.515300      1.65228 1.33077e-005
     0.517300      1.65228 1.32617e-005
     0.519300      1.65228 1.32937e-005
     0.521300      1.65228 1.33247e-005
     0.523300      1.65228 1.33567e-005
     0.525300      1.65228 1.32887e-005
     0.527300      1.65228 1.33397e-005
     0.529300      1.65228 1.34697e-005
     0.531300      1.65228 1.32406e-005
     0.533300      1.65228 1.32306e-005
     0.535300      1.65228 1.31996e-005
     0.537300      1.65228 1.29466e-005
     0.539300      1.65228 1.31766e-005
     0.541300      1.65228 1.29426e-005
     0.543300      1.65228 1.29296e-005
     0.545300      1.65228 1.29766e-005
     0.547300      1.65228 1.27586e-005
     0.549300      1.65228 1.30106e-005
     0.551300      1.65228 1.29546e-005
     0.553300      1.65228 1.27546e-005
     0.555300      1.65228 1.29866e-005
     0.557300      1.65228 1.30126e-005
     0.559300      1.65228 1.30806e-005
     0.561300      1.65228 1.31066e-005
     0.563300      1.65228 1.33837e-005
     0.565300      1.65228 1.33047e-005
     0.567300      1.65228 1.35007e-005
     0.569300      1.65228 1.36117e-005
     0.571300      1.65228 1.37027e-005
     0.573300      1.65228 1.37928e-005
     0.575300      1.65228 1.36477e-005
     0.577300      1.65228 1.40838e-005
     0.579300      1.65228 1.42198e-005
     0.581300      1.65228 1.45519e-005
     0.583300      1.65228 1.46459e-005
     0.585300      1.65228 1.47630e-005
     0.587300      1.65228 1.49900e-005
     0.589300      1.65228 1.51740e-005
     0.591300      1.65228 1.51140e-005
     0.593300      1.65228 1.55461e-005
     0.595300      1.65228 1.57111e-005
     0.597300      1.65228 1.60592e-005
     0.599300      1.65228 1.62032e-005
     0.601100      1.65228 1.63433e-005
     0.602700      1.65228 1.65703e-005
     0.604300      1.65228 1.70064e-005
     0.605900      1.65228 1.71674e-005
     0.607500      1.65228 1.71434e-005
     0.609100      1.65228 1.71884e-005
     0.610700      1.65228 1.74675e-005
     0.612300      1.65228 1.77010e-005
     0.613900      1.65228 1.77471e-005
     0.615500      1.65228 1.81011e-005
     0.617100      1.65228 1.86482e-005
     0.618700      1.65228 1.86962e-005
     0.620300      1.65228 1.89603e-005
     0.621900      1.65228 1.89133e-005
     0.623500      1.65228 1.91063e-005
     0.625100      1.65228 1.93494e-005
     0.626700      1.65228 1.95454e-005
     0.628300      1.65228 1.96434e-005
     0.629900      1.65228 2.00365e-005
     0.631700      1.65228 2.02175e-005
     0.633700      1.65228 2.05286e-005
     0.635700      1.65228 2.02215e-005
     0.637700      1.65228 2.05086e-005
     0.639700      1.65228 2.03986e-005
     0.641700      1.65228 2.05126e-005
     0.643700      1.65228 2.09537e-005
     0.645700      1.65228 2.07156e-005
     0.647700      1.65228 2.06286e-005
     0.649700      1.65228 2.07937e-005
     0.651700      1.65228 2.07817e-005
     0.653700      1.65228 2.06416e-005
     0.655700      1.65228 2.02455e-005
     0.657700      1.65228 2.04606e-005
     0.659700      1.65228 2.06766e-005
     0.661700      1.65228 2.06626e-005
     0.663700      1.65228 2.07246e-005
     0.665700      1.65228 2.05546e-005
     0.667700      1.65228 2.09017e-005
     0.670200      1.65228 2.13708e-005
     0.673200      1.65228 2.15198e-005
     0.676200      1.65228 2.19589e-005
     0.679200      1.65228 2.23220e-005
     0.682200      1.65228 2.27415e-005
     0.685200      1.65228 2.33817e-005
     0.688200      1.65228 2.37007e-005
     0.691200      1.65228 2.41878e-005
     0.694200      1.65228 2.52030e-005
     0.697200      1.65228 2.53961e-005
     0.700200      1.65228 2.64313e-005
