Data created using the Lorentz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  Data are for measurments parallel to the b
crystallographic axis.  These could be recalculated at any spectral 
resolution.  Range of validity is given as 1500-320 inverse centimeters.

high frq. dielec. const=  2.553
Lorentz line parameters
center  width  strength
1067.2  0.0182  0.0110
1015.6  0.0234  0.1680
 987.6  0.0311  0.3250
 908.7  0.0190  0.0170
 744.2  0.0853  0.0730
 559.3  0.1919  0.2360
 527.6  0.0593  0.7110
 470.1  0.0527  0.4040
 409.7  0.0759  0.6970
 353.5  0.0553  0.0680

 wave.    freq.   calc.       real       imag.
micron    (cm-1)  refl.       index     index
17.4825   572.0  0.4434      0.8311       1.618
17.4216   574.0  0.4343      0.8153       1.571
17.3611   576.0  0.4250      0.8008       1.526
17.3010   578.0  0.4154      0.7875       1.481
17.2414   580.0  0.4056      0.7754       1.437
17.1821   582.0  0.3954      0.7643       1.394
17.1233   584.0  0.3849      0.7543       1.352
17.0648   586.0  0.3741      0.7453       1.310
17.0068   588.0  0.3628      0.7373       1.269
16.9492   590.0  0.3511      0.7304       1.228
16.8919   592.0  0.3390      0.7245       1.188
16.8350   594.0  0.3264      0.7197       1.147
16.7785   596.0  0.3134      0.7160       1.107
16.7224   598.0  0.2999      0.7135       1.068
16.6667   600.0  0.2860      0.7121       1.029
16.6113   602.0  0.2716      0.7120      0.9895
16.5563   604.0  0.2569      0.7132      0.9508
16.5017   606.0  0.2418      0.7158      0.9124
16.4474   608.0  0.2266      0.7197      0.8744
16.3934   610.0  0.2111      0.7250      0.8370
16.3399   612.0  0.1957      0.7318      0.8001
16.2866   614.0  0.1803      0.7400      0.7639
16.2338   616.0  0.1652      0.7497      0.7285
16.1812   618.0  0.1504      0.7609      0.6940
16.1290   620.0  0.1362      0.7734      0.6606
16.0772   622.0  0.1226      0.7872      0.6284
16.0256   624.0  0.1098      0.8023      0.5974
15.9744   626.0  0.0979      0.8184      0.5678
15.9236   628.0  0.0870      0.8355      0.5397
15.8730   630.0  0.0770      0.8534      0.5132
15.8228   632.0  0.0680      0.8720      0.4881
15.7729   634.0  0.0601      0.8911      0.4646
15.7233   636.0  0.0530      0.9105      0.4426
15.6740   638.0  0.0469      0.9302      0.4221
15.6250   640.0  0.0416      0.9500      0.4031
15.5763   642.0  0.0371      0.9699      0.3854
15.5280   644.0  0.0333      0.9896      0.3689
15.4799   646.0  0.0301       1.009      0.3537
15.4321   648.0  0.0275       1.029      0.3396
15.3846   650.0  0.0253       1.048      0.3266
15.3374   652.0  0.0237       1.067      0.3146
15.2905   654.0  0.0224       1.086      0.3035
15.2439   656.0  0.0215       1.104      0.2933
15.1976   658.0  0.0208       1.122      0.2838
15.1515   660.0  0.0205       1.140      0.2752
15.1057   662.0  0.0204       1.157      0.2672
15.0602   664.0  0.0204       1.175      0.2600
15.0150   666.0  0.0207       1.191      0.2533
14.9701   668.0  0.0212       1.208      0.2472
14.9254   670.0  0.0217       1.224      0.2418
14.8810   672.0  0.0224       1.240      0.2368
14.8368   674.0  0.0232       1.256      0.2324
14.7929   676.0  0.0242       1.271      0.2285
14.7493   678.0  0.0252       1.287      0.2251
14.7059   680.0  0.0262       1.302      0.2222
14.6628   682.0  0.0274       1.316      0.2197
14.6199   684.0  0.0286       1.331      0.2177
14.5773   686.0  0.0299       1.345      0.2162
14.5349   688.0  0.0312       1.359      0.2151
14.4928   690.0  0.0326       1.373      0.2145
14.4509   692.0  0.0340       1.386      0.2144
14.4092   694.0  0.0354       1.399      0.2148
14.3678   696.0  0.0369       1.412      0.2157
14.3266   698.0  0.0384       1.425      0.2171
14.2857   700.0  0.0400       1.438      0.2190
14.2450   702.0  0.0415       1.450      0.2215
14.2045   704.0  0.0431       1.462      0.2245
14.1643   706.0  0.0447       1.473      0.2282
14.1243   708.0  0.0463       1.484      0.2324
14.0845   710.0  0.0479       1.495      0.2373
14.0449   712.0  0.0495       1.505      0.2428
14.0056   714.0  0.0511       1.514      0.2490
13.9665   716.0  0.0527       1.523      0.2558
13.9276   718.0  0.0542       1.531      0.2633
13.8889   720.0  0.0557       1.538      0.2713
13.8504   722.0  0.0571       1.544      0.2799
13.8122   724.0  0.0584       1.549      0.2890
13.7741   726.0  0.0597       1.552      0.2984
13.7363   728.0  0.0607       1.554      0.3080
13.6986   730.0  0.0617       1.555      0.3177
13.6612   732.0  0.0624       1.554      0.3271
13.6240   734.0  0.0629       1.551      0.3360
13.5870   736.0  0.0631       1.546      0.3441
13.5501   738.0  0.0631       1.540      0.3512
13.5135   740.0  0.0628       1.533      0.3568
13.4771   742.0  0.0623       1.524      0.3607
13.4409   744.0  0.0614       1.515      0.3627
13.4048   746.0  0.0603       1.505      0.3626
13.3690   748.0  0.0589       1.495      0.3604
13.3333   750.0  0.0574       1.485      0.3562
13.2979   752.0  0.0558       1.476      0.3499
13.2626   754.0  0.0541       1.467      0.3420
13.2275   756.0  0.0523       1.461      0.3325
13.1926   758.0  0.0507       1.455      0.3218
13.1579   760.0  0.0491       1.451      0.3103
13.1234   762.0  0.0477       1.449      0.2982
13.0890   764.0  0.0465       1.448      0.2857
13.0548   766.0  0.0455       1.449      0.2733
13.0208   768.0  0.0447       1.451      0.2610
12.9870   770.0  0.0441       1.454      0.2490
12.9534   772.0  0.0437       1.459      0.2374
12.9199   774.0  0.0435       1.464      0.2263
12.8866   776.0  0.0435       1.470      0.2158
12.8535   778.0  0.0437       1.477      0.2059
12.8205   780.0  0.0440       1.484      0.1966
12.7877   782.0  0.0444       1.492      0.1880
12.7551   784.0  0.0449       1.500      0.1799
12.7226   786.0  0.0456       1.509      0.1723
12.6904   788.0  0.0463       1.517      0.1654
12.6582   790.0  0.0472       1.526      0.1589
12.6263   792.0  0.0480       1.535      0.1529
12.5945   794.0  0.0490       1.544      0.1473
12.5628   796.0  0.0500       1.554      0.1422
12.5313   798.0  0.0510       1.563      0.1375
12.5000   800.0  0.0521       1.572      0.1331
12.4688   802.0  0.0532       1.582      0.1291
12.4378   804.0  0.0543       1.591      0.1254
12.4069   806.0  0.0554       1.601      0.1219
12.3762   808.0  0.0566       1.610      0.1188
12.3457   810.0  0.0578       1.620      0.1158
12.3153   812.0  0.0590       1.629      0.1132
12.2850   814.0  0.0602       1.638      0.1107
12.2549   816.0  0.0614       1.648      0.1084
12.2249   818.0  0.0627       1.657      0.1064
12.1951   820.0  0.0639       1.667      0.1045
12.1655   822.0  0.0652       1.676      0.1028
12.1359   824.0  0.0665       1.686      0.1012
12.1065   826.0  0.0678       1.695     0.09981
12.0773   828.0  0.0691       1.705     0.09855
12.0482   830.0  0.0704       1.714     0.09742
12.0192   832.0  0.0718       1.724     0.09643
11.9904   834.0  0.0731       1.733     0.09557
11.9617   836.0  0.0745       1.743     0.09483
11.9332   838.0  0.0759       1.753     0.09421
11.9048   840.0  0.0773       1.763     0.09371
11.8765   842.0  0.0787       1.773     0.09332
11.8483   844.0  0.0801       1.783     0.09305
11.8203   846.0  0.0816       1.793     0.09289
11.7925   848.0  0.0831       1.803     0.09285
11.7647   850.0  0.0846       1.813     0.09292
11.7371   852.0  0.0861       1.824     0.09311
11.7096   854.0  0.0877       1.834     0.09342
11.6822   856.0  0.0892       1.845     0.09386
11.6550   858.0  0.0909       1.856     0.09443
11.6279   860.0  0.0925       1.867     0.09513
11.6009   862.0  0.0942       1.879     0.09598
11.5741   864.0  0.0959       1.890     0.09699
11.5473   866.0  0.0977       1.902     0.09816
11.5207   868.0  0.0995       1.914     0.09952
11.4943   870.0  0.1014       1.927      0.1011
11.4679   872.0  0.1033       1.940      0.1029
11.4416   874.0  0.1053       1.953      0.1049
11.4155   876.0  0.1073       1.966      0.1073
11.3895   878.0  0.1094       1.981      0.1100
11.3636   880.0  0.1117       1.995      0.1131
11.3379   882.0  0.1140       2.010      0.1168
11.3122   884.0  0.1164       2.026      0.1210
11.2867   886.0  0.1189       2.042      0.1260
11.2613   888.0  0.1216       2.059      0.1320
11.2360   890.0  0.1244       2.077      0.1392
11.2108   892.0  0.1273       2.096      0.1481
11.1857   894.0  0.1305       2.115      0.1592
11.1607   896.0  0.1337       2.135      0.1732
11.1359   898.0  0.1371       2.155      0.1911
11.1111   900.0  0.1405       2.172      0.2140
11.0865   902.0  0.1435       2.185      0.2425
11.0619   904.0  0.1456       2.190      0.2760
11.0375   906.0  0.1459       2.181      0.3097
11.0132   908.0  0.1440       2.158      0.3344
10.9890   910.0  0.1401       2.127      0.3404
10.9649   912.0  0.1359       2.102      0.3270
10.9409   914.0  0.1332       2.093      0.3030
10.9170   916.0  0.1326       2.098      0.2781
10.8932   918.0  0.1338       2.113      0.2575
10.8696   920.0  0.1362       2.134      0.2426
10.8460   922.0  0.1393       2.159      0.2328
10.8225   924.0  0.1428       2.185      0.2272
10.7991   926.0  0.1466       2.213      0.2251
10.7759   928.0  0.1506       2.240      0.2256
10.7527   930.0  0.1548       2.269      0.2284
10.7296   932.0  0.1590       2.298      0.2331
10.7066   934.0  0.1634       2.327      0.2395
10.6838   936.0  0.1680       2.357      0.2476
10.6610   938.0  0.1727       2.389      0.2573
10.6383   940.0  0.1775       2.421      0.2685
10.6157   942.0  0.1826       2.454      0.2815
10.5932   944.0  0.1879       2.488      0.2963
10.5708   946.0  0.1934       2.524      0.3131
10.5485   948.0  0.1991       2.561      0.3321
10.5263   950.0  0.2051       2.600      0.3536
10.5042   952.0  0.2115       2.640      0.3779
10.4822   954.0  0.2182       2.682      0.4054
10.4603   956.0  0.2253       2.726      0.4367
10.4384   958.0  0.2327       2.772      0.4723
10.4167   960.0  0.2407       2.820      0.5129
10.3950   962.0  0.2491       2.869      0.5596
10.3734   964.0  0.2581       2.920      0.6131
10.3520   966.0  0.2676       2.972      0.6749
10.3306   968.0  0.2777       3.023      0.7461
10.3093   970.0  0.2885       3.073      0.8285
10.2881   972.0  0.2999       3.120      0.9234
10.2669   974.0  0.3120       3.160       1.032
10.2459   976.0  0.3246       3.190       1.156
10.2249   978.0  0.3377       3.205       1.294
10.2041   980.0  0.3511       3.199       1.445
10.1833   982.0  0.3643       3.165       1.603
10.1626   984.0  0.3770       3.099       1.760
10.1420   986.0  0.3886       3.001       1.904
10.1215   988.0  0.3984       2.874       2.025
10.1010   990.0  0.4056       2.729       2.112
10.0806   992.0  0.4099       2.579       2.162
10.0604   994.0  0.4108       2.437       2.175
10.0402   996.0  0.4086       2.315       2.160
10.0200   998.0  0.4037       2.220       2.127
10.0000  1000.0  0.3975       2.157       2.086
 9.9800  1002.0  0.3917       2.124       2.051
 9.9602  1004.0  0.3887       2.117       2.034
 9.9404  1006.0  0.3904       2.127       2.044
 9.9206  1008.0  0.3982       2.141       2.089
 9.9010  1010.0  0.4123       2.141       2.169
 9.8814  1012.0  0.4321       2.110       2.278
 9.8619  1014.0  0.4560       2.035       2.398
 9.8425  1016.0  0.4819       1.913       2.507
 9.8232  1018.0  0.5079       1.755       2.584
 9.8039  1020.0  0.5324       1.579       2.618
 9.7847  1022.0  0.5541       1.405       2.612
 9.7656  1024.0  0.5728       1.245       2.573
 9.7466  1026.0  0.5883       1.106       2.512
 9.7276  1028.0  0.6009      0.9869       2.438
 9.7087  1030.0  0.6107      0.8873       2.357
 9.6899  1032.0  0.6182      0.8043       2.274
 9.6712  1034.0  0.6236      0.7351       2.191
 9.6525  1036.0  0.6271      0.6775       2.110
 9.6339  1038.0  0.6289      0.6294       2.032
 9.6154  1040.0  0.6289      0.5893       1.956
 9.5969  1042.0  0.6273      0.5561       1.883
 9.5785  1044.0  0.6239      0.5287       1.813
 9.5602  1046.0  0.6187      0.5068       1.745
 9.5420  1048.0  0.6114      0.4898       1.680
 9.5238  1050.0  0.6019      0.4778       1.617
 9.5057  1052.0  0.5897      0.4707       1.558
 9.4877  1054.0  0.5746      0.4691       1.501
 9.4697  1056.0  0.5566      0.4731       1.448
 9.4518  1058.0  0.5362      0.4829       1.402
 9.4340  1060.0  0.5151      0.4976       1.365
 9.4162  1062.0  0.4968      0.5140       1.339
 9.3985  1064.0  0.4857      0.5260       1.328
 9.3809  1066.0  0.4853      0.5262       1.327
 9.3633  1068.0  0.4952      0.5102       1.328
 9.3458  1070.0  0.5118      0.4806       1.321
 9.3284  1072.0  0.5298      0.4450       1.303
 9.3110  1074.0  0.5457      0.4100       1.274
 9.2937  1076.0  0.5577      0.3796       1.237
 9.2764  1078.0  0.5657      0.3545       1.196
 9.2593  1080.0  0.5699      0.3345       1.153
 9.2421  1082.0  0.5711      0.3186       1.110
 9.2251  1084.0  0.5696      0.3061       1.067
 9.2081  1086.0  0.5660      0.2964       1.025
 9.1912  1088.0  0.5605      0.2888      0.9838
 9.1743  1090.0  0.5534      0.2831      0.9430
 9.1575  1092.0  0.5447      0.2790      0.9029
 9.1408  1094.0  0.5347      0.2762      0.8634
 9.1241  1096.0  0.5232      0.2747      0.8244
 9.1075  1098.0  0.5104      0.2743      0.7857
 9.0909  1100.0  0.4961      0.2752      0.7474
 9.0744  1102.0  0.4804      0.2772      0.7093
 9.0580  1104.0  0.4632      0.2805      0.6713
 9.0416  1106.0  0.4444      0.2852      0.6335
 9.0253  1108.0  0.4239      0.2913      0.5958
 9.0090  1110.0  0.4016      0.2991      0.5582
 8.9928  1112.0  0.3777      0.3086      0.5209
 8.9767  1114.0  0.3522      0.3202      0.4840
 8.9606  1116.0  0.3252      0.3340      0.4478
 8.9445  1118.0  0.2973      0.3501      0.4127
 8.9286  1120.0  0.2690      0.3685      0.3791
 8.9127  1122.0  0.2410      0.3890      0.3476
 8.8968  1124.0  0.2141      0.4112      0.3184
 8.8810  1126.0  0.1889      0.4347      0.2920
 8.8652  1128.0  0.1658      0.4588      0.2682
 8.8496  1130.0  0.1452      0.4831      0.2472
 8.8339  1132.0  0.1270      0.5073      0.2286
 8.8183  1134.0  0.1110      0.5309      0.2122
 8.8028  1136.0  0.0971      0.5539      0.1978
 8.7873  1138.0  0.0850      0.5760      0.1850
 8.7719  1140.0  0.0745      0.5973      0.1736
 8.7566  1142.0  0.0653      0.6178      0.1634
 8.7413  1144.0  0.0574      0.6374      0.1543
 8.7260  1146.0  0.0505      0.6562      0.1461
 8.7108  1148.0  0.0444      0.6742      0.1386
 8.6957  1150.0  0.0391      0.6915      0.1318
 8.6806  1152.0  0.0344      0.7080      0.1256
 8.6655  1154.0  0.0303      0.7239      0.1200
 8.6505  1156.0  0.0267      0.7392      0.1147
 8.6356  1158.0  0.0235      0.7538      0.1099
 8.6207  1160.0  0.0207      0.7679      0.1054
 8.6059  1162.0  0.0182      0.7815      0.1013
 8.5911  1164.0  0.0160      0.7946     0.09742
 8.5763  1166.0  0.0140      0.8072     0.09381
 8.5616  1168.0  0.0123      0.8193     0.09043
 8.5470  1170.0  0.0108      0.8311     0.08727
 8.5324  1172.0  0.0094      0.8424     0.08430
 8.5179  1174.0  0.0082      0.8534     0.08150
 8.5034  1176.0  0.0071      0.8641     0.07886
 8.4890  1178.0  0.0061      0.8744     0.07637
 8.4746  1180.0  0.0053      0.8843     0.07401
 8.4602  1182.0  0.0046      0.8940     0.07178
 8.4459  1184.0  0.0039      0.9034     0.06966
 8.4317  1186.0  0.0033      0.9125     0.06765
 8.4175  1188.0  0.0028      0.9214     0.06574
 8.4034  1190.0  0.0024      0.9300     0.06392
 8.3893  1192.0  0.0020      0.9383     0.06219
 8.3752  1194.0  0.0017      0.9465     0.06053
 8.3612  1196.0  0.0015      0.9544     0.05895
 8.3472  1198.0  0.0012      0.9621     0.05744
 8.3333  1200.0  0.0010      0.9696     0.05599
 8.3195  1202.0  0.0009      0.9770     0.05461
 8.3056  1204.0  0.0008      0.9841     0.05328
 8.2919  1206.0  0.0007      0.9911     0.05201
 8.2781  1208.0  0.0006      0.9979     0.05079
