From Rouleau and Martin, Astrophys. J., 377, 526-540, 1991.
Sample:  BE1
  Wavelength     Wave        real     imaginary
  (microns)     Number      index       index   
  1.4315E+00  6.9855E+03  2.5710E+00  7.5980E-01
  1.3524E+00  7.3944E+03  2.5460E+00  7.5990E-01
  1.2777E+00  7.8266E+03  2.5220E+00  7.5870E-01
  1.2074E+00  8.2823E+03  2.4990E+00  7.6090E-01
  1.1408E+00  8.7661E+03  2.4730E+00  7.6440E-01
  1.0773E+00  9.2823E+03  2.4440E+00  7.6620E-01
  1.0181E+00  9.8226E+03  2.4160E+00  7.6570E-01
  9.6124E-01  1.0403E+04  2.3900E+00  7.6520E-01
  9.0842E-01  1.1008E+04  2.3640E+00  7.6560E-01
  8.5813E-01  1.1653E+04  2.3400E+00  7.6740E-01
  8.1046E-01  1.2339E+04  2.3160E+00  7.7310E-01
  7.6590E-01  1.3056E+04  2.2840E+00  7.8290E-01
  7.2345E-01  1.3823E+04  2.2510E+00  7.8060E-01
  6.8357E-01  1.4629E+04  2.2290E+00  7.8450E-01
  6.4550E-01  1.5492E+04  2.1950E+00  8.0030E-01
  6.0994E-01  1.6395E+04  2.1520E+00  8.0520E-01
  5.7621E-01  1.7355E+04  2.1120E+00  8.0370E-01
  5.4434E-01  1.8371E+04  2.0750E+00  8.0100E-01
  5.1431E-01  1.9444E+04  2.0370E+00  7.9850E-01
  4.8589E-01  2.0581E+04  1.9980E+00  7.9400E-01
  4.5892E-01  2.1790E+04  1.9600E+00  7.8800E-01
  4.3357E-01  2.3065E+04  1.9220E+00  7.8250E-01
  4.0965E-01  2.4411E+04  1.8810E+00  7.7470E-01
  3.8702E-01  2.5839E+04  1.8390E+00  7.6070E-01
  3.6557E-01  2.7355E+04  1.8020E+00  7.4230E-01
  3.4540E-01  2.8952E+04  1.7680E+00  7.2490E-01
  3.2623E-01  3.0653E+04  1.7320E+00  7.0800E-01
  3.0823E-01  3.2444E+04  1.6930E+00  6.8370E-01
  2.9115E-01  3.4347E+04  1.6640E+00  6.4780E-01
  2.7507E-01  3.6355E+04  1.6440E+00  6.2020E-01
  2.5985E-01  3.8484E+04  1.6240E+00  5.8540E-01
  2.4550E-01  4.0734E+04  1.6150E+00  5.4950E-01
  2.3195E-01  4.3113E+04  1.6290E+00  5.1560E-01
  2.1912E-01  4.5637E+04  1.6370E+00  5.1720E-01
  2.0698E-01  4.8315E+04  1.6270E+00  5.1300E-01
  1.9555E-01  5.1137E+04  1.6150E+00  5.0220E-01
  1.8474E-01  5.4129E+04  1.6220E+00  4.8380E-01
  1.7452E-01  5.7298E+04  1.6550E+00  4.7120E-01
  1.6487E-01  6.0653E+04  1.6650E+00  4.6980E-01
