From Rouleau and Martin, Astrophys. J., 377, 526-540, 1991.
Sample:  FC21PS
  Wavelength     Wave        real     imaginary
  (microns)     Number      index       index   
  1.4315E+00  6.9855E+03  2.5710E+00  7.7490E-01
  1.3524E+00  7.3944E+03  2.5450E+00  7.7420E-01
  1.2777E+00  7.8266E+03  2.5210E+00  7.7220E-01
  1.2074E+00  8.2823E+03  2.4980E+00  7.7390E-01
  1.1408E+00  8.7661E+03  2.4710E+00  7.7660E-01
  1.0773E+00  9.2823E+03  2.4420E+00  7.7770E-01
  1.0181E+00  9.8226E+03  2.4140E+00  7.7640E-01
  9.6124E-01  1.0403E+04  2.3880E+00  7.7520E-01
  9.0842E-01  1.1008E+04  2.3620E+00  7.7490E-01
  8.5813E-01  1.1653E+04  2.3370E+00  7.7600E-01
  8.1046E-01  1.2339E+04  2.3130E+00  7.8120E-01
  7.6590E-01  1.3056E+04  2.2810E+00  7.9010E-01
  7.2345E-01  1.3823E+04  2.2470E+00  7.8700E-01
  6.8357E-01  1.4629E+04  2.2260E+00  7.9040E-01
  6.4550E-01  1.5492E+04  2.1920E+00  8.0550E-01
  6.0994E-01  1.6395E+04  2.1490E+00  8.0940E-01
  5.7621E-01  1.7355E+04  2.1090E+00  8.0710E-01
  5.4434E-01  1.8371E+04  2.0710E+00  8.0360E-01
  5.1431E-01  1.9444E+04  2.0340E+00  8.0030E-01
  4.8589E-01  2.0581E+04  1.9960E+00  7.9520E-01
  4.5892E-01  2.1790E+04  1.9580E+00  7.8860E-01
  4.3357E-01  2.3065E+04  1.9210E+00  7.8250E-01
  4.0965E-01  2.4411E+04  1.8800E+00  7.7420E-01
  3.8702E-01  2.5839E+04  1.8380E+00  7.5980E-01
  3.6557E-01  2.7355E+04  1.8020E+00  7.4110E-01
  3.4540E-01  2.8952E+04  1.7690E+00  7.2350E-01
  3.2623E-01  3.0653E+04  1.7330E+00  7.0650E-01
  3.0823E-01  3.2444E+04  1.6960E+00  6.8210E-01
  2.9115E-01  3.4347E+04  1.6670E+00  6.4650E-01
  2.7507E-01  3.6355E+04  1.6480E+00  6.1900E-01
  2.5985E-01  3.8484E+04  1.6290E+00  5.8450E-01
  2.4550E-01  4.0734E+04  1.6220E+00  5.4900E-01
  2.3195E-01  4.3113E+04  1.6370E+00  5.1630E-01
  2.1912E-01  4.5637E+04  1.6460E+00  5.1820E-01
  2.0698E-01  4.8315E+04  1.5370E+00  5.1430E-01
  1.9555E-01  5.1137E+04  1.6670E+00  5.0800E-01
  1.8474E-01  5.4129E+04  1.6030E+00  4.9280E-01
  1.7452E-01  5.7298E+04  1.6390E+00  4.8010E-01
