Graphite from Handbook of optical constants of solids II, edited by
E.D. Palik (1991) Academic Press.  Values set to -1.e+32 where data is
not provided.  ext=extordinary ray; ord=ordinary ray
Wave-    ext 1 ext 2 ext 1 ext 2  ord.  ord.
length   real  real  imag. imag.  real imag.
microns  index index index index  index index
--------------------------------------------
0.4133 1.35 2.04 -1.e-32 0.62 2.62 1.28
0.4275 1.35 -1.e-32 -1.e-32 -1.e-32 2.63 1.28
0.4428 1.36 -1.e-32 -1.e-32 -1.e-32 2.63 1.28
0.4592 1.36 -1.e-32 -1.e-32 -1.e-32 2.64 1.28
0.4769 1.36 -1.e-32 -1.e-32 -1.e-32 2.64 1.30
0.4959 1.36 2.03 -1.e-32 0.64 2.65 1.31
0.5166 1.36 -1.e-32 -1.e-32 -1.e-32 2.66 1.33
0.5391 1.36 -1.e-32 -1.e-32 -1.e-32 2.67 1.34
0.5636 1.36 -1.e-32 -1.e-32 -1.e-32 2.68 1.36
0.5904 1.37 -1.e-32 -1.e-32 -1.e-32 2.70 1.39
0.6199 -1.e-32 2.01 -1.e-32 0.72 2.86 1.73
0.6526 -1.e-32 -1.e-32 -1.e-32 -1.e-32 2.91 1.77
0.6888 -1.e-32 -1.e-32 -1.e-32 -1.e-32 2.96 1.81
0.7293 -1.e-32 -1.e-32 -1.e-32 -1.e-32 3.01 1.84
0.7749 -1.e-32 -1.e-32 -1.e-32 -1.e-32 3.06 1.86
0.8266 -1.e-32 -1.e-32 -1.e-32 -1.e-32 3.10 1.90
0.8856 -1.e-32 -1.e-32 -1.e-32 -1.e-32 3.14 1.95
0.9537 -1.e-32 -1.e-32 -1.e-32 -1.e-32 3.20 2.02
1.033 -1.e-32 -1.e-32 -1.e-32 -1.e-32 3.25 2.07
1.069 -1.e-32 -1.e-32 -1.e-32 -1.e-32 3.33 2.07
1.107 -1.e-32 -1.e-32 -1.e-32 -1.e-32 3.19 2.07
1.148 -1.e-32 -1.e-32 -1.e-32 -1.e-32 3.16 2.17
1.192 -1.e-32 -1.e-32 -1.e-32 -1.e-32 3.16 2.28
1.240 -1.e-32 -1.e-32 -1.e-32 -1.e-32 3.18 2.40
1.378 -1.e-32 -1.e-32 -1.e-32 -1.e-32 3.39 2.70
1.550 -1.e-32 -1.e-32 -1.e-32 -1.e-32 3.69 2.91
1.771 -1.e-32 -1.e-32 -1.e-32 -1.e-32 3.94 3.02
2.066 -1.e-32 -1.e-32 -1.e-32 -1.e-32 4.24 3.25
2.480 -1.e-32 -1.e-32 -1.e-32 -1.e-32 4.50 3.41
3.100 -1.e-32 -1.e-32 -1.e-32 -1.e-32 4.83 3.82
4.133 -1.e-32 -1.e-32 -1.e-32 -1.e-32 5.36 4.48
5.405 -1.e-32 -1.e-32 -1.e-32 -1.e-32 5.866 5.124
5.555 -1.e-32 -1.e-32 -1.e-32 -1.e-32 5.923 5.217
5.714 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.000 5.318
5.882 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.070 5.420
6.061 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.129 5.520
6.192 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.150 5.597
6.211 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.145 5.611
6.230 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.135 5.627
6.250 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.120 5.656
6.269 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.097 5.721
6.289 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.131 5.948
6.293 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.212 6.036
6.297 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.378 6.094
6.301 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.590 6.016
6.305 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.687 5.813
6.309 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.646 5.644
6.329 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.371 5.498
6.349 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.291 5.515
6.369 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.258 5.530
6.452 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.217 5.560
6.666 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.205 5.600
6.896 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.238 5.663
7.143 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.323 5.775
7.407 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.476 5.955
7.692 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.712 6.218
7.749 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.77  6.29
8.856 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.91 6.63
10.33 -1.e-32 -1.e-32 -1.e-32 -1.e-32 6.96 7.38
10.64 2.399 -1.e-32 3.00e-5 -1.e-32 -1.e-32 -1.e-32 
10.75 2.398 -1.e-32 4.05e-5 -1.e-32 -1.e-32 -1.e-32 
10.87 2.397 -1.e-32 5.75e-5-1.e-32 -1.e-32 -1.e-32 
10.99 2.395 -1.e-32 8.10e-6 -1.e-32 -1.e-32 -1.e-32 
11.11 2.393 -1.e-32 1.51e-4 -1.e-32 -1.e-32 -1.e-32 
11.23 2.388 -1.e-32 3.19e-4 -1.e-32 -1.e-32 -1.e-32 
11.36 2.374 -1.e-32 1.06e-3 -1.e-32 -1.e-32 -1.e-32
11.43 2.353 -1.e-32 3.07e-3 -1.e-32 -1.e-32 -1.e-32
11.44 2.345 -1.e-32 4.15e-3 -1.e-32 -1.e-32 -1.e-32
11.45 2.334 -1.e-32 5.92e-3 -1.e-32 -1.e-32 -1.e-32
11.47 2.317 -1.e-32 9.11e-3 -1.e-32 -1.e-32 -1.e-32
11.48 2.291 -1.e-32  0.015 -1.e-32 -1.e-32 -1.e-32
11.49 2.241 -1.e-32 0.033 -1.e-32 -1.e-32 -1.e-32
11.51 2.124 -1.e-32 0.108 -1.e-32 -1.e-32 -1.e-32
11.52 2.196 -1.e-32 0.750 -1.e-32 -1.e-32 -1.e-32
11.53 2.735 -1.e-32 0.166 -1.e-32 -1.e-32 -1.e-32
11.55 2.587 -1.e-32 0.042 -1.e-32 -1.e-32 -1.e-32
11.57 2.496 -1.e-32 0.010 -1.e-32 -1.e-32 -1.e-32
11.60 2.465 -1.e-32 4.51e-3 -1.e-32 -1.e-32 -1.e-32
11.63 2.450 -1.e-32 2.52e-3 -1.e-32 -1.e-32 -1.e-32
11.76 2.424 -1.e-32 4.90e-4 -1.e-32 -1.e-32 -1.e-32
11.90 2.417 -1.e-32 2.01e-4 -1.e-32 -1.e-32 -1.e-32
12.40 2.410 -1.e-32 4.08e-5 -1.e-32 7.14 8.75
15.50 2.406 -1.e-32 3.08e-6 -1.e-32 7.68 10.80
20.66 2.405 -1.e-32 9.77e-7 -1.e-32 8.86 14.02
30.99 2.405 -1.e-32 4.17e-7 -1.e-32 11.75 20.00
61.99 2.404 -1.e-32 1.65e-7 -1.e-32 22.42 33.49
