Estimated optical constants of the Tagish Lake meteorite, from Roush,
Meteoritics and Planetary Science, v. 38, no. 3, 419-426, 2003.
  Wavelength Frequency  real     imaginary
  (microns)    (cm-1)   index      index
   15.5214    644.27   1.70217  4.0060E-02
   15.4750    646.20   1.70207  4.0083E-02
   15.4290    648.13   1.70174  4.0117E-02
   15.3832    650.06   1.70146  4.0040E-02
   15.3377    651.99   1.70115  3.9825E-02
   15.2924    653.92   1.70105  3.9589E-02
   15.2475    655.85   1.70087  3.9444E-02
   15.2027    657.78   1.70086  3.9498E-02
   15.1583    659.70   1.70065  3.9483E-02
   15.1141    661.63   1.70048  3.9660E-02
   15.0702    663.56   1.70013  3.9683E-02
   15.0265    665.49   1.69998  3.9452E-02
   14.9831    667.42   1.69987  3.9556E-02
   14.9399    669.35   1.69966  3.9937E-02
   14.8969    671.28   1.69920  4.0342E-02
   14.8542    673.21   1.69862  4.0302E-02
   14.8118    675.14   1.69817  4.0117E-02
   14.7696    677.07   1.69781  4.0290E-02
   14.7277    678.99   1.69721  4.0375E-02
   14.6859    680.93   1.69675  4.0375E-02
   14.6445    682.85   1.69596  4.0479E-02
   14.6032    684.78   1.69526  4.0296E-02
   14.5622    686.71   1.69456  3.9833E-02
   14.5214    688.64   1.69395  3.9587E-02
   14.4808    690.57   1.69333  3.9183E-02
   14.4405    692.50   1.69269  3.8624E-02
   14.4004    694.43   1.69226  3.7876E-02
   14.3605    696.35   1.69200  3.7276E-02
   14.3208    698.29   1.69173  3.6987E-02
   14.2814    700.21   1.69124  3.6551E-02
   14.2421    702.14   1.69095  3.5853E-02
   14.2031    704.07   1.69070  3.5188E-02
   14.1643    706.00   1.69058  3.4549E-02
   14.1257    707.93   1.69056  3.3984E-02
   14.0873    709.86   1.69059  3.3609E-02
   14.0492    711.78   1.69042  3.3357E-02
   14.0112    713.71   1.69029  3.2954E-02
   13.9734    715.65   1.69018  3.2527E-02
   13.9359    717.57   1.68998  3.2062E-02
   13.8985    719.50   1.68995  3.1512E-02
   13.8613    721.43   1.68999  3.1037E-02
   13.8244    723.36   1.69000  3.0570E-02
   13.7876    725.29   1.69010  3.0280E-02
   13.7510    727.22   1.69011  2.9966E-02
   13.7146    729.15   1.69019  2.9561E-02
   13.6785    731.07   1.69024  2.9224E-02
   13.6425    733.00   1.69041  2.8990E-02
   13.6067    734.93   1.69049  2.8836E-02
   13.5710    736.87   1.69060  2.8836E-02
   13.5356    738.79   1.69042  2.8918E-02
   13.5003    740.72   1.69017  2.8903E-02
   13.4653    742.65   1.68975  2.8534E-02
   13.4304    744.58   1.68954  2.7974E-02
   13.3957    746.51   1.68946  2.7378E-02
   13.3612    748.44   1.68951  2.6802E-02
   13.3268    750.37   1.68969  2.6473E-02
