Estimated optical constants of the Tagish Lake meteorite, from Roush,
Meteoritics and Planetary Science, v. 38, no. 3, 419-426, 2003.
  Wavelength Frequency  real     imaginary
  (microns)    (cm-1)   index      index
    6.7152   1489.16   1.68953  1.0865E-02
    6.7065   1491.09   1.68949  1.0823E-02
    6.6978   1493.03   1.68951  1.0769E-02
    6.6892   1494.95   1.68943  1.0725E-02
    6.6806   1496.87   1.68940  1.0673E-02
    6.6720   1498.80   1.68938  1.0608E-02
    6.6634   1500.74   1.68941  1.0540E-02
    6.6549   1502.65   1.68931  1.0499E-02
    6.6463   1504.60   1.68938  1.0476E-02
    6.6378   1506.52   1.68930  1.0423E-02
    6.6293   1508.45   1.68933  1.0335E-02
    6.6209   1510.37   1.68923  1.0264E-02
    6.6124   1512.31   1.68933  1.0209E-02
    6.6040   1514.23   1.68928  1.0164E-02
    6.5956   1516.16   1.68928  1.0113E-02
    6.5872   1518.10   1.68933  1.0061E-02
    6.5789   1520.01   1.68924  1.0013E-02
    6.5705   1521.95   1.68933  9.9616E-03
    6.5622   1523.88   1.68928  9.9117E-03
    6.5539   1525.81   1.68929  9.8536E-03
    6.5456   1527.74   1.68935  9.7978E-03
    6.5374   1529.66   1.68927  9.7506E-03
    6.5291   1531.60   1.68938  9.7048E-03
    6.5209   1533.53   1.68934  9.6659E-03
    6.5127   1535.46   1.68941  9.6211E-03
    6.5046   1537.37   1.68934  9.5801E-03
    6.4964   1539.31   1.68944  9.5574E-03
    6.4883   1541.24   1.68940  9.5249E-03
    6.4802   1543.16   1.68941  9.4901E-03
    6.4721   1545.09   1.68942  9.4467E-03
    6.4640   1547.03   1.68949  9.3972E-03
    6.4560   1548.95   1.68942  9.3707E-03
    6.4479   1550.89   1.68952  9.3434E-03
    6.4399   1552.82   1.68949  9.3194E-03
    6.4319   1554.75   1.68955  9.2864E-03
    6.4240   1556.66   1.68947  9.2514E-03
    6.4160   1558.60   1.68957  9.2251E-03
    6.4081   1560.52   1.68954  9.1834E-03
    6.4002   1562.45   1.68956  9.1454E-03
    6.3923   1564.38   1.68959  9.1111E-03
    6.3844   1566.32   1.68961  9.0846E-03
    6.3765   1568.26   1.68967  9.0598E-03
    6.3687   1570.18   1.68964  9.0278E-03
    6.3609   1572.10   1.68968  8.9834E-03
    6.3531   1574.03   1.68971  8.9623E-03
    6.3453   1575.97   1.68979  8.9555E-03
    6.3376   1577.88   1.68973  8.9353E-03
    6.3298   1579.83   1.68985  8.9248E-03
    6.3221   1581.75   1.68983  8.9321E-03
    6.3144   1583.68   1.68985  8.9310E-03
    6.3067   1585.62   1.68991  8.9115E-03
    6.2991   1587.53   1.68985  8.9156E-03
    6.2914   1589.47   1.68996  8.9349E-03
    6.2838   1591.39   1.68991  8.9463E-03
    6.2762   1593.32   1.68992  8.9468E-03
    6.2686   1595.25   1.68991  8.9406E-03
    6.2610   1597.19   1.68996  8.9372E-03
    6.2535   1599.10   1.68987  8.9353E-03
    6.2459   1601.05   1.68996  8.9280E-03
    6.2384   1602.98   1.68991  8.9248E-03
    6.2309   1604.90   1.68991  8.9147E-03
    6.2234   1606.84   1.68995  8.9037E-03
    6.2160   1608.75   1.68986  8.8973E-03
    6.2085   1610.70   1.68994  8.8905E-03
    6.2011   1612.62   1.68989  8.8726E-03
    6.1937   1614.54   1.68989  8.8630E-03
    6.1863   1616.48   1.68994  8.8568E-03
    6.1790   1618.38   1.68984  8.8424E-03
    6.1716   1620.33   1.68993  8.8381E-03
    6.1643   1622.24   1.68982  8.8328E-03
    6.1569   1624.19   1.68990  8.8136E-03
    6.1496   1626.12   1.68984  8.7996E-03
    6.1423   1628.05   1.68988  8.7884E-03
    6.1351   1629.97   1.68978  8.7673E-03
    6.1278   1631.91   1.68986  8.7444E-03
    6.1206   1633.83   1.68980  8.7385E-03
    6.1134   1635.75   1.68978  8.7184E-03
    6.1062   1637.68   1.68977  8.6728E-03
    6.0990   1639.61   1.68976  8.6414E-03
    6.0918   1641.55   1.68980  8.6122E-03
    6.0847   1643.47   1.68970  8.5893E-03
    6.0775   1645.41   1.68978  8.5595E-03
    6.0704   1647.34   1.68973  8.5069E-03
    6.0633   1649.27   1.68974  8.4606E-03
    6.0562   1651.20   1.68980  8.4556E-03
    6.0492   1653.11   1.68970  8.4428E-03
    6.0421   1655.05   1.68978  8.3972E-03
    6.0351   1656.97   1.68974  8.3574E-03
    6.0281   1658.90   1.68975  8.3242E-03
    6.0211   1660.83   1.68976  8.2942E-03
    6.0141   1662.76   1.68976  8.2629E-03
    6.0071   1664.70   1.68982  8.2363E-03
    6.0002   1666.61   1.68973  8.2164E-03
    5.9932   1668.56   1.68983  8.1885E-03
    5.9863   1670.48   1.68979  8.1567E-03
    5.9794   1672.41   1.68980  8.1164E-03
    5.9725   1674.34   1.68981  8.0972E-03
    5.9656   1676.28   1.68987  8.0702E-03
    5.9588   1678.19   1.68979  8.0427E-03
    5.9519   1680.14   1.68989  8.0196E-03
    5.9451   1682.06   1.68985  7.9974E-03
    5.9383   1683.98   1.68986  7.9739E-03
    5.9315   1685.91   1.68987  7.9391E-03
    5.9247   1687.85   1.68993  7.9205E-03
    5.9180   1689.76   1.68985  7.9052E-03
    5.9112   1691.70   1.68995  7.8761E-03
    5.9045   1693.62   1.68991  7.8541E-03
    5.8978   1695.55   1.68992  7.8248E-03
    5.8911   1697.48   1.68994  7.7898E-03
    5.8844   1699.41   1.68995  7.7821E-03
    5.8777   1701.35   1.69001  7.7526E-03
    5.8711   1703.26   1.68993  7.7338E-03
    5.8644   1705.20   1.69003  7.7135E-03
    5.8578   1707.13   1.68999  7.6896E-03
    5.8512   1709.05   1.69001  7.6612E-03
    5.8446   1710.98   1.69003  7.6356E-03
    5.8380   1712.92   1.69004  7.6163E-03
    5.8314   1714.85   1.69010  7.5920E-03
    5.8249   1716.77   1.69003  7.5770E-03
    5.8183   1718.72   1.69013  7.5540E-03
    5.8118   1720.64   1.69010  7.5296E-03
    5.8053   1722.56   1.69011  7.5119E-03
    5.7988   1724.49   1.69013  7.4854E-03
    5.7923   1726.43   1.69019  7.4623E-03
    5.7859   1728.34   1.69013  7.4409E-03
    5.7794   1730.28   1.69024  7.4177E-03
    5.7730   1732.20   1.69021  7.4153E-03
    5.7666   1734.12   1.69023  7.3982E-03
    5.7602   1736.05   1.69025  7.3705E-03
    5.7538   1737.98   1.69028  7.3606E-03
    5.7474   1739.92   1.69030  7.3544E-03
    5.7410   1741.86   1.69036  7.3440E-03
    5.7347   1743.77   1.69029  7.3282E-03
    5.7283   1745.72   1.69040  7.3185E-03
    5.7220   1747.64   1.69037  7.3147E-03
    5.7157   1749.57   1.69039  7.3062E-03
    5.7094   1751.50   1.69040  7.2991E-03
    5.7031   1753.43   1.69047  7.2852E-03
    5.6969   1755.34   1.69039  7.2788E-03
    5.6906   1757.28   1.69051  7.2651E-03
    5.6844   1759.20   1.69044  7.2630E-03
    5.6781   1761.15   1.69054  7.2683E-03
    5.6719   1763.08   1.69050  7.2570E-03
    5.6657   1765.01   1.69052  7.2487E-03
    5.6595   1766.94   1.69059  7.2476E-03
    5.6534   1768.85   1.69052  7.2427E-03
    5.6472   1770.79   1.69063  7.2517E-03
    5.6411   1772.70   1.69055  7.2630E-03
    5.6349   1774.65   1.69065  7.2743E-03
    5.6288   1776.58   1.69061  7.2957E-03
    5.6227   1778.50   1.69060  7.3057E-03
    5.6166   1780.44   1.69059  7.2997E-03
    5.6105   1782.37   1.69063  7.2946E-03
    5.6045   1784.28   1.69053  7.2923E-03
    5.5984   1786.22   1.69061  7.2788E-03
    5.5924   1788.14   1.69056  7.2545E-03
    5.5864   1790.06   1.69052  7.2258E-03
    5.5803   1792.02   1.69062  7.2179E-03
    5.5743   1793.95   1.69057  7.2100E-03
    5.5683   1795.88   1.69063  7.1917E-03
    5.5624   1797.79   1.69054  7.1776E-03
    5.5564   1799.73   1.69065  7.1609E-03
    5.5505   1801.64   1.69057  7.1513E-03
    5.5445   1803.59   1.69067  7.1464E-03
    5.5386   1805.51   1.69062  7.1378E-03
    5.5327   1807.44   1.69064  7.1323E-03
    5.5268   1809.37   1.69064  7.1306E-03
    5.5209   1811.30   1.69064  7.1180E-03
    5.5150   1813.24   1.69069  7.1071E-03
    5.5092   1815.15   1.69060  7.1032E-03
    5.5033   1817.09   1.69069  7.0893E-03
    5.4975   1819.01   1.69064  7.0699E-03
    5.4917   1820.93   1.69066  7.0579E-03
    5.4859   1822.85   1.69066  7.0562E-03
    5.4801   1824.78   1.69066  7.0374E-03
    5.4743   1826.72   1.69066  7.0169E-03
    5.4685   1828.66   1.69066  7.0032E-03
    5.4627   1830.60   1.69072  6.9838E-03
    5.4570   1832.51   1.69064  6.9699E-03
    5.4512   1834.46   1.69074  6.9594E-03
    5.4455   1836.38   1.69069  6.9445E-03
    5.4398   1838.30   1.69071  6.9255E-03
    5.4341   1840.23   1.69072  6.9054E-03
    5.4284   1842.16   1.69073  6.8939E-03
    5.4227   1844.10   1.69079  6.8922E-03
    5.4171   1846.01   1.69071  6.8832E-03
    5.4114   1847.95   1.69081  6.8708E-03
    5.4058   1849.86   1.69073  6.8575E-03
    5.4001   1851.82   1.69083  6.8490E-03
    5.3945   1853.74   1.69079  6.8347E-03
    5.3889   1855.67   1.69081  6.8240E-03
    5.3833   1857.60   1.69081  6.8150E-03
    5.3777   1859.53   1.69088  6.8048E-03
    5.3722   1861.43   1.69080  6.7994E-03
    5.3666   1863.38   1.69085  6.7917E-03
    5.3610   1865.32   1.69091  6.7877E-03
    5.3555   1867.24   1.69087  6.7898E-03
    5.3500   1869.16   1.69088  6.7834E-03
    5.3445   1871.08   1.69088  6.7725E-03
    5.3390   1873.01   1.69089  6.7584E-03
    5.3335   1874.94   1.69091  6.7490E-03
    5.3280   1876.88   1.69091  6.7518E-03
    5.3225   1878.82   1.69097  6.7480E-03
    5.3171   1880.72   1.69088  6.7390E-03
    5.3116   1882.67   1.69098  6.7390E-03
    5.3062   1884.59   1.69089  6.7249E-03
    5.3007   1886.54   1.69099  6.7072E-03
    5.2953   1888.47   1.69096  6.7050E-03
    5.2899   1890.39   1.69096  6.7067E-03
    5.2845   1892.33   1.69102  6.6978E-03
    5.2792   1894.23   1.69094  6.6875E-03
    5.2738   1896.17   1.69099  6.6866E-03
    5.2684   1898.11   1.69104  6.6858E-03
    5.2631   1900.02   1.69095  6.6749E-03
    5.2577   1901.97   1.69105  6.6681E-03
    5.2524   1903.89   1.69101  6.6644E-03
    5.2471   1905.81   1.69102  6.6574E-03
    5.2418   1907.74   1.69103  6.6525E-03
    5.2365   1909.67   1.69103  6.6446E-03
    5.2312   1911.61   1.69103  6.6399E-03
    5.2259   1913.55   1.69109  6.6356E-03
    5.2207   1915.45   1.69100  6.6298E-03
    5.2154   1917.40   1.69110  6.6183E-03
    5.2102   1919.31   1.69106  6.6082E-03
    5.2050   1921.23   1.69102  6.6097E-03
    5.1997   1923.19   1.69112  6.6031E-03
    5.1945   1925.11   1.69107  6.5961E-03
    5.1893   1927.04   1.69107  6.5875E-03
    5.1841   1928.98   1.69113  6.5741E-03
    5.1790   1930.87   1.69105  6.5696E-03
    5.1738   1932.82   1.69110  6.5724E-03
    5.1686   1934.76   1.69114  6.5623E-03
    5.1635   1936.67   1.69105  6.5448E-03
    5.1583   1938.62   1.69116  6.5341E-03
    5.1532   1940.54   1.69112  6.5350E-03
    5.1481   1942.46   1.69113  6.5341E-03
    5.1430   1944.39   1.69113  6.5254E-03
    5.1379   1946.32   1.69114  6.5102E-03
    5.1328   1948.25   1.69114  6.5029E-03
    5.1277   1950.19   1.69120  6.5046E-03
    5.1227   1952.10   1.69111  6.4955E-03
    5.1176   1954.04   1.69122  6.4944E-03
    5.1126   1955.95   1.69112  6.4918E-03
    5.1075   1957.91   1.69122  6.4822E-03
    5.1025   1959.82   1.69117  6.4726E-03
    5.0975   1961.75   1.69118  6.4621E-03
    5.0925   1963.67   1.69119  6.4517E-03
    5.0875   1965.60   1.69120  6.4457E-03
    5.0825   1967.54   1.69120  6.4459E-03
    5.0775   1969.47   1.69120  6.4365E-03
    5.0725   1971.41   1.69126  6.4273E-03
    5.0676   1973.32   1.69117  6.4218E-03
    5.0626   1975.27   1.69128  6.4119E-03
    5.0577   1977.18   1.69124  6.4066E-03
    5.0528   1979.10   1.69120  6.4064E-03
    5.0478   1981.06   1.69130  6.4027E-03
    5.0429   1982.99   1.69125  6.4000E-03
    5.0380   1984.91   1.69126  6.3970E-03
    5.0331   1986.85   1.69132  6.3869E-03
    5.0283   1988.74   1.69123  6.3807E-03
    5.0234   1990.68   1.69128  6.3820E-03
    5.0185   1992.63   1.69133  6.3780E-03
    5.0137   1994.53   1.69124  6.3709E-03
    5.0088   1996.49   1.69134  6.3613E-03
    5.0040   1998.40   1.69130  6.3568E-03
    4.9992   2000.32   1.69126  6.3585E-03
    4.9943   2002.28   1.69135  6.3538E-03
    4.9895   2004.21   1.69136  6.3474E-03
    4.9848   2006.10   1.69127  6.3451E-03
    4.9800   2008.03   1.69133  6.3320E-03
    4.9752   2009.97   1.69133  6.3258E-03
    4.9704   2011.91   1.69138  6.3265E-03
    4.9657   2013.81   1.69129  6.3188E-03
    4.9609   2015.76   1.69140  6.3156E-03
    4.9562   2017.67   1.69130  6.3139E-03
    4.9514   2019.63   1.69140  6.3145E-03
    4.9467   2021.55   1.69135  6.3085E-03
    4.9420   2023.47   1.69136  6.3030E-03
    4.9373   2025.40   1.69136  6.3043E-03
    4.9326   2027.33   1.69136  6.2964E-03
    4.9279   2029.26   1.69137  6.2831E-03
    4.9232   2031.20   1.69137  6.2786E-03
    4.9185   2033.14   1.69143  6.2763E-03
    4.9139   2035.04   1.69133  6.2720E-03
    4.9092   2036.99   1.69144  6.2675E-03
    4.9046   2038.90   1.69134  6.2658E-03
    4.8999   2040.86   1.69144  6.2577E-03
    4.8953   2042.78   1.69139  6.2494E-03
    4.8907   2044.70   1.69140  6.2468E-03
    4.8861   2046.62   1.69140  6.2419E-03
    4.8815   2048.55   1.69140  6.2282E-03
    4.8769   2050.48   1.69141  6.2177E-03
    4.8723   2052.42   1.69142  6.2113E-03
    4.8677   2054.36   1.69148  6.2122E-03
    4.8632   2056.26   1.69138  6.2171E-03
    4.8586   2058.21   1.69148  6.2118E-03
    4.8541   2060.11   1.69138  6.1994E-03
    4.8495   2062.07   1.69149  6.1960E-03
    4.8450   2063.98   1.69144  6.1945E-03
    4.8405   2065.90   1.69145  6.1874E-03
    4.8360   2067.82   1.69139  6.1778E-03
    4.8314   2069.79   1.69150  6.1697E-03
    4.8269   2071.72   1.69144  6.1599E-03
    4.8224   2073.66   1.69151  6.1487E-03
    4.8180   2075.55   1.69142  6.1402E-03
    4.8135   2077.49   1.69148  6.1445E-03
    4.8090   2079.43   1.69153  6.1432E-03
    4.8046   2081.34   1.69143  6.1359E-03
    4.8001   2083.29   1.69154  6.1291E-03
    4.7957   2085.20   1.69144  6.1171E-03
    4.7912   2087.16   1.69155  6.1064E-03
    4.7868   2089.08   1.69151  6.1105E-03
    4.7824   2091.00   1.69152  6.1114E-03
    4.7780   2092.93   1.69152  6.1043E-03
    4.7736   2094.86   1.69153  6.0979E-03
    4.7692   2096.79   1.69153  6.0945E-03
    4.7648   2098.72   1.69153  6.0896E-03
    4.7604   2100.66   1.69160  6.0889E-03
    4.7561   2102.56   1.69149  6.0913E-03
    4.7517   2104.51   1.69161  6.0872E-03
    4.7474   2106.42   1.69150  6.0864E-03
    4.7430   2108.37   1.69161  6.0817E-03
    4.7387   2110.28   1.69156  6.0774E-03
    4.7344   2112.20   1.69157  6.0800E-03
    4.7301   2114.12   1.69151  6.0744E-03
    4.7257   2116.09   1.69162  6.0594E-03
    4.7214   2118.02   1.69157  6.0509E-03
    4.7171   2119.95   1.69164  6.0567E-03
    4.7129   2121.84   1.69153  6.0654E-03
    4.7086   2123.77   1.69159  6.0554E-03
    4.7043   2125.71   1.69158  6.0426E-03
    4.7000   2127.66   1.69165  6.0345E-03
    4.6958   2129.56   1.69154  6.0366E-03
    4.6915   2131.51   1.69166  6.0379E-03
    4.6873   2133.42   1.69155  6.0257E-03
    4.6830   2135.38   1.69166  6.0233E-03
    4.6788   2137.30   1.69161  6.0280E-03
    4.6746   2139.22   1.69161  6.0199E-03
    4.6704   2141.14   1.69162  6.0101E-03
    4.6662   2143.07   1.69163  6.0092E-03
    4.6620   2145.00   1.69163  6.0118E-03
    4.6578   2146.94   1.69163  6.0127E-03
    4.6536   2148.87   1.69162  6.0039E-03
    4.6494   2150.82   1.69168  5.9975E-03
    4.6453   2152.71   1.69158  5.9964E-03
    4.6411   2154.66   1.69169  5.9932E-03
    4.6370   2156.57   1.69158  5.9800E-03
    4.6328   2158.52   1.69169  5.9678E-03
    4.6287   2160.43   1.69165  5.9667E-03
    4.6246   2162.35   1.69160  5.9614E-03
    4.6204   2164.31   1.69171  5.9571E-03
    4.6163   2166.24   1.69166  5.9552E-03
    4.6122   2168.16   1.69167  5.9475E-03
    4.6081   2170.09   1.69167  5.9441E-03
    4.6040   2172.02   1.69168  5.9415E-03
    4.5999   2173.96   1.69174  5.9437E-03
    4.5959   2175.85   1.69163  5.9458E-03
    4.5918   2177.80   1.69168  5.9362E-03
    4.5877   2179.74   1.69174  5.9264E-03
    4.5837   2181.64   1.69163  5.9191E-03
    4.5796   2183.60   1.69175  5.9146E-03
    4.5756   2185.51   1.69171  5.9146E-03
    4.5716   2187.42   1.69166  5.9103E-03
    4.5675   2189.38   1.69177  5.9116E-03
    4.5635   2191.30   1.69171  5.9138E-03
    4.5595   2193.22   1.69172  5.9061E-03
    4.5555   2195.15   1.69173  5.9007E-03
    4.5515   2197.08   1.69173  5.9014E-03
    4.5475   2199.01   1.69173  5.9029E-03
    4.5435   2200.95   1.69173  5.8967E-03
    4.5395   2202.89   1.69173  5.8922E-03
    4.5355   2204.83   1.69179  5.8877E-03
    4.5316   2206.73   1.69168  5.8794E-03
    4.5276   2208.68   1.69180  5.8766E-03
    4.5237   2210.58   1.69169  5.8738E-03
    4.5197   2212.54   1.69181  5.8695E-03
    4.5158   2214.45   1.69176  5.8642E-03
    4.5119   2216.36   1.69171  5.8567E-03
    4.5079   2218.33   1.69182  5.8604E-03
    4.5040   2220.25   1.69176  5.8576E-03
    4.5001   2222.17   1.69177  5.8503E-03
    4.4962   2224.10   1.69178  5.8488E-03
    4.4923   2226.03   1.69178  5.8510E-03
    4.4884   2227.97   1.69178  5.8488E-03
    4.4845   2229.90   1.69184  5.8445E-03
    4.4807   2231.79   1.69173  5.8369E-03
    4.4768   2233.74   1.69180  5.8326E-03
    4.4729   2235.69   1.69186  5.8341E-03
    4.4691   2237.59   1.69174  5.8347E-03
    4.4652   2239.54   1.69186  5.8307E-03
    4.4614   2241.45   1.69181  5.8279E-03
    4.4576   2243.36   1.69175  5.8315E-03
    4.4537   2245.32   1.69186  5.8247E-03
    4.4499   2247.24   1.69181  5.8200E-03
    4.4461   2249.16   1.69181  5.8168E-03
    4.4423   2251.09   1.69182  5.8125E-03
    4.4385   2253.01   1.69182  5.8087E-03
    4.4347   2254.94   1.69182  5.8027E-03
    4.4309   2256.88   1.69182  5.8018E-03
    4.4271   2258.82   1.69182  5.7971E-03
    4.4233   2260.76   1.69189  5.7858E-03
    4.4196   2262.65   1.69178  5.7845E-03
    4.4158   2264.60   1.69184  5.7834E-03
    4.4120   2266.55   1.69190  5.7845E-03
    4.4083   2268.45   1.69178  5.7856E-03
    4.4045   2270.41   1.69190  5.7766E-03
    4.4008   2272.31   1.69185  5.7676E-03
    4.3971   2274.23   1.69180  5.7649E-03
    4.3933   2276.19   1.69192  5.7589E-03
    4.3896   2278.11   1.69186  5.7567E-03
    4.3859   2280.03   1.69187  5.7552E-03
    4.3822   2281.96   1.69188  5.7546E-03
    4.3785   2283.89   1.69188  5.7604E-03
    4.3748   2285.82   1.69188  5.7578E-03
    4.3711   2287.75   1.69188  5.7561E-03
    4.3674   2289.69   1.69188  5.7514E-03
    4.3637   2291.63   1.69194  5.7392E-03
    4.3601   2293.53   1.69183  5.7356E-03
    4.3564   2295.47   1.69196  5.7337E-03
    4.3528   2297.37   1.69184  5.7313E-03
    4.3491   2299.33   1.69197  5.7341E-03
    4.3455   2301.23   1.69185  5.7360E-03
    4.3418   2303.19   1.69197  5.7318E-03
    4.3382   2305.10   1.69192  5.7294E-03
    4.3346   2307.02   1.69186  5.7253E-03
    4.3309   2308.99   1.69198  5.7247E-03
    4.3273   2310.91   1.69192  5.7277E-03
    4.3237   2312.83   1.69192  5.7264E-03
    4.3201   2314.76   1.69193  5.7211E-03
    4.3165   2316.69   1.69193  5.7142E-03
    4.3129   2318.63   1.69193  5.7053E-03
    4.3093   2320.56   1.69200  5.7040E-03
    4.3058   2322.45   1.69189  5.7085E-03
    4.3022   2324.39   1.69195  5.7134E-03
    4.2986   2326.34   1.69201  5.7070E-03
    4.2951   2328.23   1.69189  5.6980E-03
    4.2915   2330.19   1.69203  5.6967E-03
    4.2880   2332.09   1.69191  5.7029E-03
    4.2844   2334.05   1.69203  5.7144E-03
    4.2809   2335.96   1.69190  5.7187E-03
    4.2773   2337.92   1.69202  5.7036E-03
    4.2738   2339.84   1.69196  5.6974E-03
    4.2703   2341.76   1.69197  5.6931E-03
    4.2668   2343.68   1.69197  5.6931E-03
    4.2633   2345.60   1.69197  5.6967E-03
    4.2598   2347.53   1.69197  5.6899E-03
    4.2563   2349.46   1.69198  5.6899E-03
    4.2528   2351.39   1.69198  5.6933E-03
    4.2493   2353.33   1.69198  5.6856E-03
    4.2458   2355.27   1.69198  5.6754E-03
    4.2423   2357.21   1.69205  5.6801E-03
    4.2389   2359.10   1.69193  5.6877E-03
    4.2354   2361.05   1.69205  5.6860E-03
    4.2320   2362.95   1.69192  5.6839E-03
    4.2285   2364.90   1.69205  5.6768E-03
    4.2251   2366.81   1.69192  5.6655E-03
    4.2216   2368.77   1.69206  5.6595E-03
    4.2182   2370.68   1.69193  5.6640E-03
    4.2147   2372.65   1.69206  5.6689E-03
    4.2113   2374.56   1.69199  5.6664E-03
    4.2079   2376.48   1.69199  5.6553E-03
    4.2045   2378.40   1.69200  5.6422E-03
    4.2011   2380.33   1.69201  5.6454E-03
    4.1977   2382.26   1.69201  5.6446E-03
    4.1943   2384.19   1.69201  5.6356E-03
    4.1909   2386.12   1.69202  5.6337E-03
    4.1875   2388.06   1.69202  5.6320E-03
    4.1841   2390.00   1.69202  5.6256E-03
    4.1807   2391.94   1.69209  5.6226E-03
    4.1774   2393.83   1.69197  5.6243E-03
    4.1740   2395.78   1.69211  5.6303E-03
    4.1707   2397.68   1.69197  5.6243E-03
    4.1673   2399.64   1.69211  5.6194E-03
    4.1640   2401.54   1.69198  5.6269E-03
    4.1606   2403.50   1.69211  5.6288E-03
    4.1573   2405.41   1.69205  5.6202E-03
    4.1540   2407.32   1.69199  5.6145E-03
    4.1506   2409.29   1.69212  5.6177E-03
    4.1473   2411.21   1.69206  5.6200E-03
    4.1440   2413.13   1.69206  5.6151E-03
    4.1407   2415.05   1.69207  5.6055E-03
    4.1374   2416.98   1.69208  5.6113E-03
    4.1341   2418.91   1.69208  5.6213E-03
    4.1308   2420.84   1.69208  5.6187E-03
    4.1275   2422.77   1.69208  5.6158E-03
    4.1242   2424.71   1.69207  5.6160E-03
    4.1209   2426.65   1.69214  5.6160E-03
    4.1177   2428.54   1.69201  5.6027E-03
    4.1144   2430.49   1.69208  5.5937E-03
    4.1111   2432.44   1.69216  5.5937E-03
    4.1079   2434.33   1.69203  5.5972E-03
    4.1046   2436.29   1.69217  5.6012E-03
    4.1014   2438.19   1.69203  5.6025E-03
    4.0981   2440.16   1.69217  5.6014E-03
    4.0949   2442.06   1.69210  5.5993E-03
    4.0917   2443.97   1.69204  5.5942E-03
    4.0884   2445.94   1.69217  5.5891E-03
    4.0852   2447.86   1.69211  5.5912E-03
    4.0820   2449.78   1.69212  5.5880E-03
    4.0788   2451.70   1.69213  5.5871E-03
    4.0756   2453.63   1.69213  5.5893E-03
    4.0724   2455.55   1.69214  5.5901E-03
    4.0692   2457.49   1.69214  5.5916E-03
    4.0660   2459.42   1.69214  5.5972E-03
    4.0628   2461.36   1.69215  5.5950E-03
    4.0596   2463.30   1.69215  5.5937E-03
    4.0564   2465.24   1.69222  5.6023E-03
    4.0533   2467.13   1.69209  5.6104E-03
    4.0501   2469.07   1.69215  5.6074E-03
    4.0469   2471.03   1.69222  5.6029E-03
    4.0438   2472.92   1.69209  5.6078E-03
    4.0406   2474.88   1.69223  5.6108E-03
    4.0375   2476.78   1.69209  5.6168E-03
    4.0343   2478.74   1.69223  5.6136E-03
    4.0312   2480.65   1.69217  5.6183E-03
    4.0281   2482.56   1.69210  5.6249E-03
    4.0249   2484.53   1.69223  5.6196E-03
    4.0218   2486.45   1.69217  5.6243E-03
    4.0187   2488.37   1.69217  5.6328E-03
    4.0156   2490.29   1.69217  5.6388E-03
    4.0125   2492.21   1.69217  5.6373E-03
    4.0094   2494.14   1.69217  5.6356E-03
    4.0063   2496.07   1.69217  5.6446E-03
    4.0032   2498.00   1.69216  5.6521E-03
    4.0001   2499.94   1.69216  5.6491E-03
    3.9970   2501.88   1.69215  5.6420E-03
    3.9939   2503.82   1.69223  5.6425E-03
    3.9909   2505.70   1.69209  5.6497E-03
    3.9878   2507.65   1.69216  5.6506E-03
    3.9847   2509.60   1.69223  5.6480E-03
    3.9817   2511.49   1.69209  5.6587E-03
    3.9786   2513.45   1.69223  5.6702E-03
    3.9756   2515.34   1.69207  5.6677E-03
    3.9725   2517.31   1.69221  5.6647E-03
    3.9695   2519.21   1.69206  5.6640E-03
    3.9664   2521.18   1.69220  5.6655E-03
    3.9634   2523.09   1.69212  5.6657E-03
    3.9604   2525.00   1.69205  5.6649E-03
    3.9573   2526.98   1.69217  5.6604E-03
    3.9543   2528.89   1.69209  5.6519E-03
    3.9513   2530.81   1.69210  5.6412E-03
    3.9483   2532.74   1.69210  5.6279E-03
    3.9453   2534.66   1.69210  5.6258E-03
    3.9423   2536.59   1.69211  5.6288E-03
    3.9393   2538.52   1.69211  5.6266E-03
    3.9363   2540.46   1.69210  5.6271E-03
    3.9333   2542.39   1.69210  5.6346E-03
    3.9303   2544.34   1.69216  5.6382E-03
    3.9274   2546.21   1.69201  5.6269E-03
    3.9244   2548.16   1.69208  5.6121E-03
    3.9214   2550.11   1.69215  5.6036E-03
    3.9185   2552.00   1.69201  5.5982E-03
    3.9155   2553.95   1.69209  5.5912E-03
    3.9125   2555.91   1.69215  5.5976E-03
    3.9096   2557.81   1.69208  5.5974E-03
    3.9067   2559.71   1.69201  5.5826E-03
    3.9037   2561.67   1.69216  5.5801E-03
    3.9008   2563.58   1.69209  5.5803E-03
    3.8979   2565.48   1.69202  5.5705E-03
    3.8949   2567.46   1.69216  5.5673E-03
    3.8920   2569.37   1.69208  5.5760E-03
    3.8891   2571.29   1.69209  5.5675E-03
    3.8862   2573.21   1.69202  5.5495E-03
    3.8832   2575.20   1.69216  5.5444E-03
    3.8803   2577.12   1.69209  5.5485E-03
    3.8774   2579.05   1.69210  5.5525E-03
    3.8745   2580.98   1.69209  5.5517E-03
    3.8716   2582.91   1.69217  5.5478E-03
    3.8688   2584.78   1.69203  5.5457E-03
    3.8659   2586.72   1.69211  5.5435E-03
    3.8630   2588.66   1.69210  5.5410E-03
    3.8601   2590.61   1.69210  5.5382E-03
    3.8572   2592.55   1.69218  5.5401E-03
    3.8544   2594.44   1.69203  5.5363E-03
    3.8515   2596.39   1.69218  5.5395E-03
    3.8487   2598.28   1.69203  5.5455E-03
    3.8458   2600.24   1.69217  5.5399E-03
    3.8430   2602.13   1.69202  5.5245E-03
    3.8401   2604.10   1.69218  5.5171E-03
