From Rouleau, F. and P.G. Martin, Shape and clustering effects on the
optical properties of amorphous carbon, Astrophys. J., 377, 526-540, 1991.
Sample:  AC1
      Wavelength       Wave          real     imaginary
      (microns)       Number        index       index   
    0.245500    40734.0    2.02200   0.361000
    0.259850    38484.0    2.01400   0.342900
    0.275070    36355.0    2.02200   0.322900
    0.291150    34347.0    2.02600   0.288400
    0.308230    32444.0    2.01200   0.252100
    0.326230    30653.0    1.98700   0.240400
    0.345400    28952.0    1.97600   0.238100
    0.365570    27355.0    1.97000   0.236000
    0.387020    25839.0    1.96700   0.233900
    0.409650    24411.0    1.96500   0.232800
    0.433570    23065.0    1.96600   0.232600
    0.458920    21790.0    1.96800   0.232100
    0.485890    20581.0    1.97000   0.231000
    0.514310    19444.0    1.97400   0.231400
    0.544340    18371.0    1.98000   0.232100
    0.576210    17355.0    1.98700   0.229100
    0.609940    16395.0    1.99100   0.225200
    0.645500    15492.0    1.99400   0.223400
    0.683570    14629.0    1.99700   0.222200
    0.723450    13823.0    2.00000   0.223300
    0.765900    13056.0    2.00500   0.225000
    0.810460    12339.0    2.01000   0.226200
    0.858130    11653.0    2.01500   0.229900
    0.908420    11008.0    2.02400   0.233900
    0.961240   10403.00    2.03400   0.235600
     1.01810    9822.60    2.04500   0.234600
     1.07730    9282.30    2.05300   0.232100
     1.14080    8766.10    2.05900   0.231700
     1.20740    8282.30    2.06600   0.233200
     1.27770    7826.60    2.07400   0.234500
     1.35240    7394.40    2.08300   0.235400
     1.43150    6985.50    2.09300   0.235700
     1.51530    6599.20    2.10300   0.234500
     1.60410    6233.90    2.11000   0.232600
     1.69790    5889.50    2.11900   0.234900
     1.79740    5563.70    2.13000   0.233500
     1.90240    5256.50    2.13800   0.231300
     2.01400    4965.30    2.14800   0.231300
     2.13170    4691.10    2.15600   0.226900
     2.25660    4431.50    2.16200   0.226200
     2.38830    4187.10    2.17000   0.225800
     2.52850    3954.80    2.17900   0.223700
     2.67650    3736.30    2.18500   0.221100
     2.83300    3529.80    2.18900   0.220700
     2.99880    3334.70    2.19400   0.224900
     3.17460    3150.00    2.20500   0.228300
     3.36040    2975.80    2.21500   0.227500
     3.55710    2811.30    2.22500   0.228600
     3.76440    2656.50    2.23600   0.224900
     3.98460    2509.70    2.24300   0.223100
     4.21770    2371.00    2.25100   0.223000
