Revised values.  Major change near 0.8 micrometers!
after Khare, B.N., W.R. Thompson, L. Cheng, C. Chyba and C. Sagan, 1993. 
	Production and optical constants of ice tholin form charged particle
	irradiation of (1:6) C2H6/H2O at 77k. Icarus, 103, 290-300.
Khare estimates solid density is 1.38 g/cc
     Wavelength        Frequency         Real          Imaginary
    (micrometers)       (cm-1)           Index          Index
       3.5209999       2840.1023       1.5509507     0.012000000
       3.5460000       2820.0790       1.5469383    0.0069400002
       3.5710001       2800.3360       1.5429259    0.0048300000
       3.8460000       2600.1040       1.5307924    0.0029500001
       4.1669998       2399.8081       1.5266596    0.0028700000
       4.5450001       2200.2200       1.5243536    0.0035000001
       5.0000000       2000.0000       1.5205530    0.0041999999
       5.5560002       1799.8559       1.5063434    0.0055800001
       5.7140002       1750.0874       1.5036709     0.022000000
       5.8140001       1719.9862       1.5085678     0.033300001
       5.8480000       1709.9863       1.5150000     0.040500000
       5.8820000       1700.1020       1.5241071     0.039299998
       5.9879999       1670.0067       1.5340000     0.021800000
       6.0609999       1649.8928       1.5303390     0.015300000
       6.2500000       1600.0000       1.5270851     0.016000001
       6.4520001       1549.9070       1.5223582    0.0071299998
       6.5790000       1519.9878       1.5137872    0.0068700002
       6.6669998       1499.9250       1.5068807    0.0092900004
       6.7570000       1479.9467       1.4961468     0.017600000
       6.8030000       1469.9397       1.5010933     0.037599999
       6.8490000       1460.0672       1.5127467     0.049500000
       6.8629999       1457.0888       1.5150348     0.050799999
       6.8870001       1452.0110       1.5187913     0.041000001
       6.8969998       1449.9058       1.5203565     0.041299999
       6.9930000       1430.0014       1.5291334     0.024100000
       7.0419998       1420.0512       1.5258667     0.023600001
       7.1430001       1399.9720       1.5182846     0.022399999
       7.1939998       1390.0473       1.5141383     0.026500000
       7.2570000       1377.9799       1.5222210     0.045699999
       7.3530002       1359.9891       1.5352273     0.026300000
       7.4070001       1350.0742       1.5327727     0.026100000
       7.5190001       1329.9641       1.5303406     0.023600001
       7.6919999       1300.0520       1.5275979     0.023100000
       7.8740001       1270.0025       1.5267105     0.026000001
       7.9489999       1258.0199       1.5286842     0.029300001
       8.0000000       1250.0000       1.5300094     0.028300000
       8.3330002       1200.0480       1.5325471     0.026000001
       8.5469999       1170.0012       1.5330000     0.024300000
       8.6210003       1159.9582       1.5341833     0.024900001
       8.6960001       1149.9540       1.5343658     0.021800000
       8.8500004       1129.9435       1.5314031     0.022100000
       8.9289999       1119.9463       1.5305759     0.021400001
       9.5200005       1050.4201       1.5317447     0.030099999
       10.000000       1000.0000       1.5353333     0.025800001
       10.300000       970.87377       1.5365349     0.028999999
       10.580000       945.17959       1.5380000     0.025900001
       11.110000       900.09004       1.5380000     0.026100000
       11.770000       849.61764       1.5386591     0.025300000
       12.050000       829.87551       1.5379167     0.023700001
       12.360000       809.06151       1.5366400     0.027100001
       12.500000       800.00000       1.5377600     0.028999999
       13.120000       762.19513       1.5400000     0.025800001
       13.720000       728.86296       1.5396065     0.026000001
       13.910000       718.90727       1.5392951     0.026500000
       14.140000       707.21356       1.5391177     0.026900001
       14.290000       699.79006       1.5394706     0.027700000
       14.470000       691.08499       1.5398941     0.028400000
       16.670000       599.88002       1.5420001     0.028600000
       18.180000       550.05500       1.5429600     0.030300001
       20.000000       500.00000       1.5443765     0.032800000
       22.219999       450.04502       1.5468358     0.035599999
       25.000000       400.00000       1.5512992     0.039900001
       28.570000       350.01750       1.5584800     0.043000001
       30.299999       330.03301       1.5613211     0.042500000
       33.330002       300.02999       1.5659115     0.041600000
       40.000000       250.00000       1.5760000     0.045100000
