Basaltic glass data from Pollack et al., Icarus, 19, 372-389, 1973
and Lamy, Icarus, 34, 68-75, 1977
0.1 <= wavelength < 0.42 microns, from Lamy
0.42 < wavelength < 5 micrometers from Pollack Table II
wavelengths > 5 micrometers calculated from Pollack oscillator paramters
  wavelength  real index  imag. index
 1.1000E+01  2.1994E+00   5.6451E-01
 1.1250E+01  2.1621E+00   4.2640E-01
 1.1500E+01  2.1092E+00   3.3458E-01
 1.1750E+01  2.0569E+00   2.7334E-01
 1.2000E+01  2.0096E+00   2.3136E-01
 1.2250E+01  1.9677E+00   2.0178E-01
 1.2500E+01  1.9305E+00   1.8055E-01
 1.2750E+01  1.8972E+00   1.6516E-01
 1.3000E+01  1.8671E+00   1.5406E-01
 1.3250E+01  1.8395E+00   1.4621E-01
 1.3500E+01  1.8140E+00   1.4096E-01
 1.3750E+01  1.7900E+00   1.3783E-01
 1.4000E+01  1.7674E+00   1.3654E-01
 1.4250E+01  1.7457E+00   1.3687E-01
 1.4500E+01  1.7248E+00   1.3870E-01
 1.4750E+01  1.7045E+00   1.4197E-01
 1.5000E+01  1.6846E+00   1.4664E-01
 1.5250E+01  1.6651E+00   1.5275E-01
 1.5500E+01  1.6458E+00   1.6033E-01
 1.5750E+01  1.6268E+00   1.6948E-01
 1.6000E+01  1.6079E+00   1.8028E-01
 1.6250E+01  1.5891E+00   1.9289E-01
 1.6500E+01  1.5706E+00   2.0746E-01
 1.6750E+01  1.5523E+00   2.2417E-01
 1.7000E+01  1.5345E+00   2.4322E-01
 1.7250E+01  1.5173E+00   2.6482E-01
 1.7500E+01  1.5010E+00   2.8919E-01
 1.7750E+01  1.4859E+00   3.1652E-01
 1.8000E+01  1.4725E+00   3.4697E-01
 1.8250E+01  1.4614E+00   3.8064E-01
 1.8500E+01  1.4531E+00   4.1753E-01
 1.8750E+01  1.4484E+00   4.5747E-01
 1.9000E+01  1.4480E+00   5.0017E-01
 1.9250E+01  1.4527E+00   5.4511E-01
 1.9500E+01  1.4631E+00   5.9156E-01
 1.9750E+01  1.4797E+00   6.3862E-01
 2.0000E+01  1.5029E+00   6.8523E-01
 2.0250E+01  1.5329E+00   7.3021E-01
 2.0500E+01  1.5694E+00   7.7231E-01
 2.0750E+01  1.6121E+00   8.1032E-01
 2.1000E+01  1.6604E+00   8.4309E-01
 2.1250E+01  1.7132E+00   8.6960E-01
 2.1500E+01  1.7694E+00   8.8905E-01
 2.1750E+01  1.8277E+00   9.0092E-01
 2.2000E+01  1.8866E+00   9.0498E-01
 2.2250E+01  1.9446E+00   9.0139E-01
 2.2500E+01  2.0005E+00   8.9059E-01
 2.2750E+01  2.0531E+00   8.7335E-01
 2.3000E+01  2.1013E+00   8.5063E-01
 2.3250E+01  2.1447E+00   8.2354E-01
 2.3500E+01  2.1829E+00   7.9318E-01
 2.3750E+01  2.2158E+00   7.6064E-01
 2.4000E+01  2.2435E+00   7.2689E-01
 2.4250E+01  2.2664E+00   6.9275E-01
 2.4500E+01  2.2849E+00   6.5888E-01
 2.4750E+01  2.2994E+00   6.2580E-01
 2.5000E+01  2.3105E+00   5.9387E-01
 2.5250E+01  2.3187E+00   5.6334E-01
 2.5500E+01  2.3243E+00   5.3438E-01
 2.5750E+01  2.3277E+00   5.0704E-01
 2.6000E+01  2.3295E+00   4.8136E-01
 2.6250E+01  2.3297E+00   4.5731E-01
 2.6500E+01  2.3288E+00   4.3483E-01
 2.6750E+01  2.3269E+00   4.1386E-01
 2.7000E+01  2.3242E+00   3.9432E-01
 2.7250E+01  2.3210E+00   3.7610E-01
 2.7500E+01  2.3172E+00   3.5914E-01
 2.7750E+01  2.3131E+00   3.4333E-01
 2.8000E+01  2.3088E+00   3.2860E-01
 2.8250E+01  2.3042E+00   3.1485E-01
 2.8500E+01  2.2995E+00   3.0203E-01
 2.8750E+01  2.2947E+00   2.9004E-01
 2.9000E+01  2.2899E+00   2.7883E-01
 2.9250E+01  2.2851E+00   2.6834E-01
 2.9500E+01  2.2803E+00   2.5851E-01
 2.9750E+01  2.2755E+00   2.4929E-01
