# Binning: 1 channel
# Deadtime Correction: on
# Channel	Mass (u)	Intensity
182129	29.004971	18
182130	29.005288	18
182131	29.005605	24
182132	29.005922	18
182133	29.006239	18
182134	29.006555	21
182135	29.006872	22
182136	29.007189	19
182137	29.007506	12
182138	29.007823	19
182139	29.008139	11
182140	29.008456	11
182141	29.008773	16
182142	29.009090	17
182143	29.009407	16
182144	29.009723	12
182145	29.010040	10
182146	29.010357	14
182147	29.010674	10
182148	29.010991	11
182149	29.011307	9
182150	29.011624	7
182151	29.011941	13
182152	29.012258	15
182153	29.012575	9
182154	29.012892	10
182155	29.013208	9
182156	29.013525	6
182157	29.013842	7
182158	29.014159	8
182159	29.014476	9
182160	29.014793	10
182161	29.015109	4
182162	29.015426	6
182163	29.015743	5
182164	29.016060	3
182165	29.016377	5
182166	29.016694	3
182167	29.017010	2
182168	29.017327	4
182169	29.017644	9
182170	29.017961	6
182171	29.018278	3
182172	29.018595	3
182173	29.018912	4
182174	29.019228	0
182175	29.019545	2
182176	29.019862	9
182177	29.020179	6
182178	29.020496	1
182179	29.020813	4
182180	29.021130	4
182181	29.021446	1
182182	29.021763	5
182183	29.022080	0
182184	29.022397	2
182185	29.022714	0
182186	29.023031	2
182187	29.023348	1
182188	29.023665	3
182189	29.023982	2
182190	29.024298	1
182191	29.024615	2
182192	29.024932	2
182193	29.025249	2
182194	29.025566	5
182195	29.025883	3
182196	29.026200	2
182197	29.026517	1
182198	29.026834	1
182199	29.027150	1
182200	29.027467	0
182201	29.027784	0
182202	29.028101	3
182203	29.028418	1
182204	29.028735	2
182205	29.029052	1
182206	29.029369	0
182207	29.029686	0
182208	29.030003	1
182209	29.030320	1
182210	29.030637	1
182211	29.030953	0
182212	29.031270	1
182213	29.031587	3
182214	29.031904	0
182215	29.032221	1
182216	29.032538	0
182217	29.032855	1
182218	29.033172	1
182219	29.033489	4
182220	29.033806	2
182221	29.034123	1
182222	29.034440	0
182223	29.034757	2
182224	29.035074	2
182225	29.035391	1
182226	29.035708	0
182227	29.036024	1
182228	29.036341	1
182229	29.036658	0
182230	29.036975	1
182231	29.037292	1
182232	29.037609	0
182233	29.037926	1
182234	29.038243	2
182235	29.038560	1
182236	29.038877	0
182237	29.039194	3
182238	29.039511	2
182239	29.039828	2
182240	29.040145	0
182241	29.040462	1
182242	29.040779	0
182243	29.041096	0
182244	29.041413	0
182245	29.041730	0
182246	29.042047	0
182247	29.042364	2
182248	29.042681	0
182249	29.042998	0
182250	29.043315	0
182251	29.043632	1
182252	29.043949	0
182253	29.044266	1
182254	29.044583	0
182255	29.044900	1
182256	29.045217	0
182257	29.045534	0
182258	29.045851	0
182259	29.046168	0
182260	29.046485	1
182261	29.046802	0
182262	29.047119	1
182263	29.047436	0
182264	29.047753	0
182265	29.048070	0
182266	29.048387	0
182267	29.048704	0
182268	29.049021	1
182269	29.049338	0
182270	29.049655	0
182271	29.049972	1
182272	29.050289	0
182273	29.050606	1
