Data created using the Lorantz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  These could be recalculated at any spectral resolution.
Range of validity is given as 4000-332 inverse centimeters.

high frq. dielec. const=  2.262
Lorentz line parameters
center  width  strength
 975.0  0.1439  0.7980
 750.0  0.0829  0.0630
 672.0  0.1170  0.0850
 444.6  0.1938  1.4310

 wave.    freq.   refl.       real       imag.
16.8350   594.0  0.0594       1.558      0.2872
16.7785   596.0  0.0604       1.567      0.2841
16.7224   598.0  0.0613       1.577      0.2814
16.6667   600.0  0.0623       1.587      0.2789
16.6113   602.0  0.0633       1.596      0.2768
16.5563   604.0  0.0644       1.605      0.2750
16.5017   606.0  0.0655       1.614      0.2736
16.4474   608.0  0.0666       1.624      0.2725
16.3934   610.0  0.0677       1.633      0.2717
16.3399   612.0  0.0688       1.642      0.2712
16.2866   614.0  0.0699       1.650      0.2711
16.2338   616.0  0.0711       1.659      0.2713
16.1812   618.0  0.0723       1.668      0.2719
16.1290   620.0  0.0735       1.676      0.2728
16.0772   622.0  0.0747       1.684      0.2740
16.0256   624.0  0.0759       1.693      0.2757
15.9744   626.0  0.0771       1.701      0.2777
15.9236   628.0  0.0783       1.708      0.2800
15.8730   630.0  0.0795       1.716      0.2828
15.8228   632.0  0.0807       1.723      0.2860
15.7729   634.0  0.0819       1.730      0.2895
15.7233   636.0  0.0831       1.737      0.2934
15.6740   638.0  0.0842       1.743      0.2977
15.6250   640.0  0.0854       1.749      0.3024
15.5763   642.0  0.0865       1.755      0.3074
15.5280   644.0  0.0875       1.760      0.3128
15.4799   646.0  0.0885       1.764      0.3184
15.4321   648.0  0.0895       1.768      0.3243
15.3846   650.0  0.0904       1.771      0.3305
15.3374   652.0  0.0912       1.774      0.3367
15.2905   654.0  0.0920       1.776      0.3430
15.2439   656.0  0.0926       1.777      0.3492
15.1976   658.0  0.0931       1.777      0.3552
15.1515   660.0  0.0935       1.776      0.3610
15.1057   662.0  0.0938       1.775      0.3664
15.0602   664.0  0.0940       1.773      0.3713
15.0150   666.0  0.0940       1.770      0.3756
14.9701   668.0  0.0939       1.767      0.3791
14.9254   670.0  0.0937       1.764      0.3818
14.8810   672.0  0.0934       1.760      0.3837
14.8368   674.0  0.0929       1.756      0.3846
14.7929   676.0  0.0925       1.752      0.3847
14.7493   678.0  0.0919       1.749      0.3839
14.7059   680.0  0.0914       1.746      0.3823
14.6628   682.0  0.0908       1.743      0.3799
14.6199   684.0  0.0903       1.741      0.3770
14.5773   686.0  0.0898       1.739      0.3735
14.5349   688.0  0.0893       1.738      0.3697
14.4928   690.0  0.0890       1.739      0.3657
14.4509   692.0  0.0887       1.739      0.3616
14.4092   694.0  0.0886       1.741      0.3575
14.3678   696.0  0.0885       1.743      0.3535
14.3266   698.0  0.0886       1.746      0.3498
14.2857   700.0  0.0888       1.750      0.3464
14.2450   702.0  0.0891       1.754      0.3434
14.2045   704.0  0.0895       1.758      0.3409
14.1643   706.0  0.0900       1.763      0.3389
14.1243   708.0  0.0906       1.769      0.3375
14.0845   710.0  0.0913       1.775      0.3367
14.0449   712.0  0.0921       1.780      0.3366
14.0056   714.0  0.0929       1.786      0.3371
13.9665   716.0  0.0938       1.792      0.3384
13.9276   718.0  0.0948       1.798      0.3405
13.8889   720.0  0.0958       1.804      0.3432
13.8504   722.0  0.0968       1.810      0.3467
13.8122   724.0  0.0978       1.815      0.3509
13.7741   726.0  0.0988       1.820      0.3559
13.7363   728.0  0.0998       1.824      0.3614
13.6986   730.0  0.1008       1.827      0.3676
13.6612   732.0  0.1016       1.829      0.3743
13.6240   734.0  0.1024       1.831      0.3813
13.5870   736.0  0.1030       1.831      0.3885
13.5501   738.0  0.1035       1.830      0.3956
13.5135   740.0  0.1038       1.828      0.4026
13.4771   742.0  0.1040       1.824      0.4090
13.4409   744.0  0.1039       1.820      0.4147
13.4048   746.0  0.1036       1.814      0.4194
13.3690   748.0  0.1031       1.808      0.4229
13.3333   750.0  0.1024       1.800      0.4249
13.2979   752.0  0.1015       1.793      0.4255
13.2626   754.0  0.1005       1.786      0.4245
13.2275   756.0  0.0994       1.779      0.4220
13.1926   758.0  0.0982       1.773      0.4182
13.1579   760.0  0.0970       1.767      0.4132
13.1234   762.0  0.0959       1.763      0.4072
13.0890   764.0  0.0949       1.760      0.4005
13.0548   766.0  0.0939       1.758      0.3933
13.0208   768.0  0.0931       1.757      0.3858
12.9870   770.0  0.0925       1.757      0.3783
12.9534   772.0  0.0920       1.759      0.3709
12.9199   774.0  0.0917       1.761      0.3637
12.8866   776.0  0.0916       1.764      0.3568
12.8535   778.0  0.0916       1.768      0.3504
12.8205   780.0  0.0917       1.773      0.3444
12.7877   782.0  0.0920       1.778      0.3389
12.7551   784.0  0.0924       1.784      0.3339
12.7226   786.0  0.0929       1.790      0.3295
12.6904   788.0  0.0935       1.797      0.3255
12.6582   790.0  0.0941       1.804      0.3220
12.6263   792.0  0.0949       1.811      0.3191
12.5945   794.0  0.0957       1.818      0.3165
12.5628   796.0  0.0965       1.825      0.3145
12.5313   798.0  0.0975       1.833      0.3128
12.5000   800.0  0.0984       1.841      0.3116
12.4688   802.0  0.0994       1.848      0.3107
12.4378   804.0  0.1004       1.856      0.3102
12.4069   806.0  0.1015       1.864      0.3100
12.3762   808.0  0.1026       1.872      0.3102
12.3457   810.0  0.1037       1.880      0.3107
12.3153   812.0  0.1049       1.887      0.3116
12.2850   814.0  0.1061       1.895      0.3127
12.2549   816.0  0.1072       1.903      0.3141
12.2249   818.0  0.1085       1.911      0.3158
12.1951   820.0  0.1097       1.919      0.3177
12.1655   822.0  0.1109       1.927      0.3199
12.1359   824.0  0.1122       1.935      0.3224
12.1065   826.0  0.1135       1.943      0.3251
12.0773   828.0  0.1148       1.951      0.3281
12.0482   830.0  0.1161       1.959      0.3313
12.0192   832.0  0.1174       1.967      0.3348
11.9904   834.0  0.1188       1.975      0.3386
11.9617   836.0  0.1201       1.983      0.3425
11.9332   838.0  0.1215       1.991      0.3467
11.9048   840.0  0.1229       1.998      0.3512
11.8765   842.0  0.1243       2.006      0.3559
11.8483   844.0  0.1258       2.014      0.3609
11.8203   846.0  0.1272       2.022      0.3661
11.7925   848.0  0.1287       2.030      0.3716
11.7647   850.0  0.1302       2.038      0.3773
11.7371   852.0  0.1317       2.046      0.3833
11.7096   854.0  0.1332       2.054      0.3896
11.6822   856.0  0.1348       2.062      0.3961
11.6550   858.0  0.1363       2.070      0.4030
11.6279   860.0  0.1379       2.078      0.4101
11.6009   862.0  0.1395       2.086      0.4175
11.5741   864.0  0.1412       2.094      0.4252
11.5473   866.0  0.1429       2.101      0.4333
11.5207   868.0  0.1445       2.109      0.4416
11.4943   870.0  0.1462       2.117      0.4503
11.4679   872.0  0.1480       2.125      0.4593
11.4416   874.0  0.1498       2.133      0.4687
11.4155   876.0  0.1515       2.140      0.4784
11.3895   878.0  0.1534       2.148      0.4885
11.3636   880.0  0.1552       2.155      0.4990
11.3379   882.0  0.1571       2.163      0.5099
11.3122   884.0  0.1590       2.170      0.5212
11.2867   886.0  0.1609       2.178      0.5329
11.2613   888.0  0.1629       2.185      0.5450
11.2360   890.0  0.1649       2.192      0.5575
11.2108   892.0  0.1669       2.199      0.5705
11.1857   894.0  0.1690       2.205      0.5840
11.1607   896.0  0.1711       2.212      0.5979
11.1359   898.0  0.1732       2.218      0.6123
11.1111   900.0  0.1754       2.224      0.6272
11.0865   902.0  0.1776       2.230      0.6426
11.0619   904.0  0.1798       2.236      0.6586
11.0375   906.0  0.1821       2.241      0.6750
11.0132   908.0  0.1844       2.246      0.6920
10.9890   910.0  0.1868       2.251      0.7095
10.9649   912.0  0.1892       2.255      0.7276
10.9409   914.0  0.1916       2.259      0.7462
10.9170   916.0  0.1940       2.262      0.7654
10.8932   918.0  0.1965       2.265      0.7851
10.8696   920.0  0.1991       2.267      0.8053
10.8460   922.0  0.2016       2.269      0.8261
10.8225   924.0  0.2042       2.270      0.8475
10.7991   926.0  0.2069       2.270      0.8693
10.7759   928.0  0.2096       2.270      0.8917
10.7527   930.0  0.2123       2.268      0.9145
10.7296   932.0  0.2150       2.266      0.9378
10.7066   934.0  0.2178       2.263      0.9615
10.6838   936.0  0.2206       2.259      0.9856
10.6610   938.0  0.2234       2.255       1.010
10.6383   940.0  0.2262       2.249       1.035
10.6157   942.0  0.2291       2.242       1.060
10.5932   944.0  0.2320       2.233       1.085
10.5708   946.0  0.2349       2.224       1.110
10.5485   948.0  0.2378       2.214       1.136
10.5263   950.0  0.2407       2.202       1.161
10.5042   952.0  0.2436       2.189       1.186
10.4822   954.0  0.2466       2.174       1.211
10.4603   956.0  0.2495       2.159       1.236
10.4384   958.0  0.2524       2.142       1.260
10.4167   960.0  0.2553       2.124       1.284
10.3950   962.0  0.2582       2.104       1.308
10.3734   964.0  0.2610       2.083       1.330
10.3520   966.0  0.2639       2.062       1.352
10.3306   968.0  0.2667       2.038       1.374
10.3093   970.0  0.2694       2.014       1.394
10.2881   972.0  0.2721       1.989       1.413
10.2669   974.0  0.2748       1.963       1.431
10.2459   976.0  0.2774       1.935       1.448
10.2249   978.0  0.2799       1.908       1.464
10.2041   980.0  0.2824       1.879       1.478
10.1833   982.0  0.2848       1.849       1.491
10.1626   984.0  0.2871       1.819       1.503
10.1420   986.0  0.2894       1.789       1.514
10.1215   988.0  0.2915       1.758       1.523
10.1010   990.0  0.2936       1.727       1.531
10.0806   992.0  0.2956       1.696       1.537
10.0604   994.0  0.2974       1.665       1.542
10.0402   996.0  0.2992       1.634       1.545
10.0200   998.0  0.3009       1.603       1.548
10.0000  1000.0  0.3024       1.572       1.549
 9.9800  1002.0  0.3039       1.541       1.549
 9.9602  1004.0  0.3052       1.511       1.547
 9.9404  1006.0  0.3064       1.481       1.545
 9.9206  1008.0  0.3075       1.452       1.541
 9.9010  1010.0  0.3085       1.423       1.536
 9.8814  1012.0  0.3094       1.394       1.531
 9.8619  1014.0  0.3101       1.366       1.524
 9.8425  1016.0  0.3108       1.339       1.517
 9.8232  1018.0  0.3113       1.312       1.508
 9.8039  1020.0  0.3117       1.286       1.499
 9.7847  1022.0  0.3119       1.261       1.489
 9.7656  1024.0  0.3121       1.236       1.479
 9.7466  1026.0  0.3121       1.212       1.468
 9.7276  1028.0  0.3120       1.189       1.456
 9.7087  1030.0  0.3118       1.166       1.444
 9.6899  1032.0  0.3114       1.144       1.432
 9.6712  1034.0  0.3110       1.123       1.418
 9.6525  1036.0  0.3104       1.102       1.405
 9.6339  1038.0  0.3097       1.082       1.391
 9.6154  1040.0  0.3089       1.063       1.377
 9.5969  1042.0  0.3079       1.044       1.363
 9.5785  1044.0  0.3069       1.026       1.348
 9.5602  1046.0  0.3057       1.009       1.333
 9.5420  1048.0  0.3044      0.9922       1.318
 9.5238  1050.0  0.3030      0.9760       1.302
 9.5057  1052.0  0.3014      0.9605       1.287
 9.4877  1054.0  0.2998      0.9455       1.271
 9.4697  1056.0  0.2980      0.9310       1.256
 9.4518  1058.0  0.2962      0.9172       1.240
 9.4340  1060.0  0.2942      0.9038       1.224
 9.4162  1062.0  0.2921      0.8910       1.208
 9.3985  1064.0  0.2899      0.8787       1.192
 9.3809  1066.0  0.2876      0.8669       1.176
 9.3633  1068.0  0.2851      0.8556       1.159
 9.3458  1070.0  0.2826      0.8448       1.143
 9.3284  1072.0  0.2799      0.8344       1.127
 9.3110  1074.0  0.2772      0.8245       1.111
 9.2937  1076.0  0.2743      0.8150       1.095
 9.2764  1078.0  0.2714      0.8059       1.078
 9.2593  1080.0  0.2683      0.7973       1.062
 9.2421  1082.0  0.2652      0.7891       1.046
 9.2251  1084.0  0.2619      0.7813       1.030
 9.2081  1086.0  0.2585      0.7739       1.014
 9.1912  1088.0  0.2551      0.7668      0.9980
 9.1743  1090.0  0.2515      0.7602      0.9820
 9.1575  1092.0  0.2479      0.7539      0.9661
 9.1408  1094.0  0.2441      0.7480      0.9502
 9.1241  1096.0  0.2403      0.7424      0.9344
 9.1075  1098.0  0.2364      0.7372      0.9187
 9.0909  1100.0  0.2324      0.7323      0.9030
 9.0744  1102.0  0.2284      0.7278      0.8874
 9.0580  1104.0  0.2242      0.7236      0.8718
 9.0416  1106.0  0.2200      0.7198      0.8564
 9.0253  1108.0  0.2157      0.7162      0.8410
 9.0090  1110.0  0.2113      0.7130      0.8258
 8.9928  1112.0  0.2069      0.7101      0.8106
 8.9767  1114.0  0.2024      0.7075      0.7955
 8.9606  1116.0  0.1979      0.7053      0.7805
 8.9445  1118.0  0.1933      0.7033      0.7656
 8.9286  1120.0  0.1887      0.7016      0.7508
 8.9127  1122.0  0.1840      0.7003      0.7362
 8.8968  1124.0  0.1794      0.6992      0.7216
 8.8810  1126.0  0.1746      0.6984      0.7072
 8.8652  1128.0  0.1699      0.6979      0.6929
 8.8496  1130.0  0.1652      0.6977      0.6788
 8.8339  1132.0  0.1604      0.6978      0.6648
 8.8183  1134.0  0.1557      0.6981      0.6509
 8.8028  1136.0  0.1509      0.6987      0.6372
 8.7873  1138.0  0.1462      0.6996      0.6237
 8.7719  1140.0  0.1415      0.7007      0.6103
 8.7566  1142.0  0.1369      0.7021      0.5971
