Data created using the Lorentz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  These could be recalculated at any spectral resolution.
Range of validity is given as 1700-230 inverse centimeters.  Be sure to
check the reference for a description of the sample.

high frq. dielec. const=  3.236
Lorentz line parameters
center  width  strength
1536.4  0.0559  0.0520
1077.2  0.0324  0.1510
1006.8  0.0326  0.0320
 951.3  0.0386  0.1130
 904.5  0.0532  0.5450
 755.9  0.0956  0.0800
 634.8  0.0469  0.0660
 542.1  0.0814  0.2690
 507.3  0.0441  0.3450
 480.0  0.0599  0.4390
 433.6  0.0236  0.0390
 401.5  0.0875  0.7540
 333.1  0.0579  0.5840
 297.9  0.1063  0.5720
 186.3  0.3096  6.1260

 wave.    freq.   calc.        real       imag.
(micron)  (cm-1)  refl.       index       index
21.0084   476.0  0.3389       2.934       1.509
20.9205   478.0  0.3481       2.877       1.619
20.8333   480.0  0.3546       2.796       1.709
20.7469   482.0  0.3577       2.698       1.768
20.6612   484.0  0.3570       2.599       1.793
20.5761   486.0  0.3530       2.512       1.788
20.4918   488.0  0.3466       2.449       1.760
20.4082   490.0  0.3397       2.416       1.723
20.3252   492.0  0.3344       2.413       1.689
20.2429   494.0  0.3326       2.437       1.672
20.1613   496.0  0.3358       2.478       1.681
20.0803   498.0  0.3442       2.526       1.724
20.0000   500.0  0.3575       2.566       1.805
19.9203   502.0  0.3748       2.580       1.921
19.8413   504.0  0.3946       2.550       2.060
19.7628   506.0  0.4148       2.465       2.201
19.6850   508.0  0.4334       2.328       2.315
19.6078   510.0  0.4482       2.157       2.381
19.5312   512.0  0.4576       1.978       2.392
19.4553   514.0  0.4610       1.815       2.355
19.3798   516.0  0.4584       1.680       2.286
19.3050   518.0  0.4504       1.577       2.199
19.2308   520.0  0.4380       1.504       2.106
19.1571   522.0  0.4228       1.458       2.015
19.0840   524.0  0.4066       1.432       1.934
19.0114   526.0  0.3908       1.423       1.864
18.9394   528.0  0.3771       1.425       1.808
18.8679   530.0  0.3663       1.432       1.768
18.7970   532.0  0.3589       1.440       1.741
18.7266   534.0  0.3550       1.444       1.727
18.6567   536.0  0.3541       1.442       1.723
18.5874   538.0  0.3557       1.431       1.725
18.5185   540.0  0.3591       1.411       1.730
18.4502   542.0  0.3635       1.381       1.735
18.3824   544.0  0.3684       1.342       1.736
18.3150   546.0  0.3730       1.296       1.731
18.2482   548.0  0.3769       1.246       1.719
18.1818   550.0  0.3797       1.194       1.699
18.1159   552.0  0.3810       1.142       1.671
18.0505   554.0  0.3806       1.092       1.636
17.9856   556.0  0.3783       1.045       1.594
17.9211   558.0  0.3740       1.002       1.547
17.8571   560.0  0.3676      0.9634       1.496
17.7936   562.0  0.3590      0.9299       1.442
17.7305   564.0  0.3482      0.9013       1.384
17.6678   566.0  0.3353      0.8779       1.325
17.6056   568.0  0.3203      0.8594       1.265
17.5439   570.0  0.3033      0.8459       1.204
17.4825   572.0  0.2845      0.8373       1.142
17.4216   574.0  0.2641      0.8335       1.081
17.3611   576.0  0.2424      0.8346       1.020
17.3010   578.0  0.2198      0.8405      0.9600
17.2414   580.0  0.1969      0.8511      0.9014
17.1821   582.0  0.1743      0.8664      0.8447
17.1233   584.0  0.1525      0.8860      0.7905
17.0648   586.0  0.1323      0.9097      0.7393
17.0068   588.0  0.1140      0.9370      0.6916
16.9492   590.0  0.0981      0.9674      0.6478
16.8919   592.0  0.0846       1.000      0.6081
16.8350   594.0  0.0737       1.035      0.5727
16.7785   596.0  0.0651       1.071      0.5414
16.7224   598.0  0.0586       1.108      0.5142
16.6667   600.0  0.0541       1.145      0.4910
16.6113   602.0  0.0513       1.183      0.4715
16.5563   604.0  0.0499       1.220      0.4558
16.5017   606.0  0.0497       1.258      0.4435
16.4474   608.0  0.0506       1.295      0.4348
16.3934   610.0  0.0524       1.331      0.4297
16.3399   612.0  0.0550       1.367      0.4283
16.2866   614.0  0.0582       1.401      0.4308
16.2338   616.0  0.0622       1.435      0.4374
16.1812   618.0  0.0666       1.467      0.4485
