From Roush et al. (2007) J. Geophys. Res.-Planets
Gypsum optical constants from Fresnel measurements.
Frequency  Real    Imaginary
 (cm-1)    index    index
591.0713 1.868826 0.384802
592.0356 1.878637 0.4197399
592.9998 1.885374 0.4594356
593.964 1.887649 0.5040537
594.9282 1.883753 0.5533879
595.8925 1.871724 0.6066544
596.8567 1.849561 0.6622459
597.8209 1.815602 0.7176146
598.7852 1.769026 0.7693211
599.7494 1.710392 0.8134094
600.7136 1.641851 0.8461452
601.6778 1.566974 0.8647975
602.6421 1.490083 0.868212
603.6063 1.41546 0.8569093
604.5705 1.346617 0.8327468
605.5347 1.28599 0.798357
606.499 1.23491 0.7566122
607.4632 1.193798 0.7102664
608.4274 1.162374 0.6617197
609.3917 1.139895 0.6129433
610.3559 1.125338 0.5654772
611.3201 1.117527 0.5204192
612.2843 1.115258 0.4784851
613.2486 1.117378 0.4400558
614.2128 1.12285 0.4052606
615.177 1.130788 0.3740237
616.1412 1.140462 0.3461476
617.1055 1.151299 0.3213598
618.0697 1.162856 0.299365
619.0339 1.174803 0.2798572
619.9982 1.186904 0.2625453
620.9624 1.198985 0.2471675
621.9266 1.210932 0.2334835
622.8908 1.222666 0.2212834
623.8551 1.234141 0.2103827
624.8193 1.245327 0.2006243
625.7835 1.256214 0.19187
626.7477 1.266799 0.1840017
627.712 1.277091 0.1769172
628.6762 1.287098 0.170531
629.6404 1.296837 0.1647671
630.6047 1.306326 0.159561
631.5689 1.315581 0.1548591
632.5331 1.324624 0.1506134
633.4973 1.333474 0.1467835
634.4616 1.342153 0.1433355
635.4258 1.350678 0.14024
636.39 1.359072 0.1374729
637.3542 1.367354 0.1350135
638.3185 1.375544 0.132845
639.2827 1.383662 0.1309548
640.2469 1.391727 0.1293321
641.2112 1.399761 0.1279704
642.1754 1.407782 0.1268655
643.1396 1.41581 0.1260158
644.1038 1.423867 0.1254232
645.0681 1.431975 0.1250925
646.0323 1.440154 0.1250319
646.9965 1.448426 0.1252515
647.9607 1.456816 0.1257673
648.925 1.465348 0.1265981
649.8892 1.474046 0.1277684
650.8534 1.482936 0.1293074
651.8177 1.492048 0.1312519
652.7819 1.501407 0.1336442
653.7461 1.511044 0.1365373
654.7103 1.520989 0.1399946
655.6746 1.531273 0.1440926
656.6388 1.541921 0.148921
657.603 1.552963 0.1545906
658.5672 1.564418 0.1612345
659.5315 1.576302 0.169013
660.4957 1.588613 0.1781179
661.4599 1.601329 0.1887837
662.4242 1.614399 0.2012918
663.3884 1.627717 0.2159763
664.3526 1.641107 0.233236
665.3168 1.654284 0.2535341
666.2811 1.666811 0.2773953
667.2453 1.678021 0.3053736
668.2095 1.686957 0.3380097
669.1737 1.692271 0.3757124
670.138 1.692169 0.4185759
671.1022 1.684421 0.4660737
672.0664 1.666562 0.5167252
673.0307 1.636354 0.567765
673.9949 1.592575 0.6150889
674.9591 1.535842 0.6537993
675.9233 1.469082 0.6792929
676.8876 1.39715 0.688567
677.8518 1.325707 0.681027
678.816 1.259837 0.6584113
679.7802 1.203165 0.6240126
680.7445 1.157585 0.5817213
681.7087 1.123495 0.535293
682.6729 1.100173 0.4878815
683.6372 1.086218 0.4418641
684.6014 1.079921 0.3988391
685.5656 1.079537 0.3596873
686.5298 1.083482 0.3247432
687.4941 1.090432 0.2939557
688.4583 1.099343 0.2670538
689.4225 1.109437 0.2436433
690.3867 1.120152 0.2232993
691.351 1.1311 0.2056068
692.3152 1.142014 0.1901921
693.2794 1.152723 0.1767202
694.2437 1.163121 0.164903
695.2079 1.173142 0.1544988
696.1721 1.182755 0.1452998
697.1363 1.191948 0.1371327
698.1006 1.200724 0.1298509
699.0648 1.209089 0.1233333
700.029 1.21706 0.117476
700.9932 1.224657 0.1121921
701.9575 1.231898 0.1074072
702.9217 1.238803 0.1030594
703.8859 1.245393 0.099095233
704.8502 1.251687 0.095468976
705.8144 1.257704 0.092142306
706.7786 1.263461 0.089080222
707.7428 1.268975 0.086254232
708.7071 1.274263 0.0836391
709.6713 1.279336 0.081213005
710.6355 1.284211 0.078956373
711.5997 1.288898 0.076852739
712.564 1.29341 0.074887127
