Data from 0.2 to 30 micrometers are from Table 4 of O.B. Toon et al.,
The optical constants of several atmospheric aerosol species:  
Ammonium Sulfate, Aluminum Oxide, and Sodium Chloride, J. Geophys. 
Res., 81, 5733-5748, 1976.  The relfectances of these data are set to
0.0.  Data beyond 32 micrometers are created using the Lorentz line 
parameters given in Toon et al. and these could be recalculated at 
any spectral resolution.  Range of validity is given as 333-100 
inverse centimeters.

high frq. dielec. const=  2.327
Lorentz line parameters
center  width  strength
 247.0  0.1410  0.0900
 164.0  0.0370  3.2000
  83.0  1.6490  0.3300

 wave.    freq.   refl.       real       imag.
22.0000   454.5  0.0000       1.34      0.0013
21.0000   476.2  0.0000       1.37      0.00082
20.0000   400.0  0.0000       1.38      0.00051
19.0000   526.3  0.0000       1.40      0.00030
18.0000   556.0  0.0000       1.41      0.00017
17.0000   588.2  0.0000       1.43      0.000090
16.0000   625.0  0.0000       1.44      0.000044
15.0000   666.7  0.0000       1.45      0.000020
14.0000   714.3  0.0000       1.46      0.0000078
13.0000   769.2  0.0000       1.47      0.0000027
12.0000   833.3  0.0000       1.48      0.00000080
11.0000   909.1  0.0000       1.49      0.00000019
10.0000  1000.0  0.0000       1.49      0.00000010
 9.0000  1111.1  0.0000       1.50      0.00000010
 7.0000  1428.6  0.0000       1.51      0.00000010
 3.0000  3333.3  0.0000       1.52      0.00000010
 1.0000 10000.0  0.0000       1.53      0.00000010
 0.5000 20000.0  0.0000       1.55      0.00000010
 0.4000 25000.0  0.0000       1.57      0.00000010
 0.3500 28571.4  0.0000       1.58      0.00000010
 0.3000 33333.3  0.0000       1.61      0.00000010
 0.2800 35714.3  0.0000       1.62      0.00000010
 0.2400 41666.7  0.0000       1.67      0.00000010
 0.2200 45454.5  0.0000       1.72      0.00000010
 0.2000 50000.0  0.0000       1.79      0.00000010
