Sodium Chloride from Handbook of optical constants of solids, edited by
E.D. Palik (1985) Academic Press.  Values set to -1.e+32 where data is
not provided
Wavel.    real imag.
microns  index index
--------------------
0.1621 2.90 0.59
0.1628 3.019 0.151
0.1631 2.974 0.126
0.1634 2.902 8.67e-2
0.1638 2.827 2.76e-2
0.1722 2.17 2.02e-6
0.1743 2.081 4.43e-7
0.1771 2.03 -1.e-32
0.1837 1.91 -1.e-32
0.1907 1.84 -1.e-32
0.20 1.7899 -1.e-32
0.2066 1.75 -1.e-32
0.21 1.74676 -1.e-32
0.22 1.71499 -1.e-32
0.2254 1.69  -1.e-32
0.23 1.69056 -1.e-32
0.24 1.67118 -1.e-32
0.2480 1.65 -1.e-32
0.25 1.65537 -1.e-32
0.26 1.64227 -1.e-32
0.27 1.63124 -1.e-32
0.28 1.62184 -1.e-32
0.29 1.61374 -1.e-32
0.30 1.60669 -1.e-32
0.32 1.59506 -1.e-32
0.34 1.58590 -1.e-32
0.3511  -1.e-32 6.4e-10
0.36 1.57852 -1.e-32
0.3638 -1.e-32 4.3e-32
0.38 1.57248 -1.e-32
0.40 1.56746 -1.e-32
0.42 1.56324 -1.e-32
0.44 1.55965 -1.e-32
0.4579 -1.e-32 2.9e-10
0.46 1.55657 -1.e-32
0.48 1.55390 -1.e-32
0.4880 -1.e-32 1.1e-10
0.50 1.55157 -1.e-32
0.5145 -1.e-32 4.9e-11
0.52 1.54953 -1.e-32
0.54 1.54773 -1.e-32
0.56 1.54613 -1.e-32
0.58 1.54471 -1.e-32
0.60 1.54343 -1.e-32
0.62 1.54228 -1.e-32
0.64 1.54124 -1.e-32
0.66 1.54030 -1.e-32
0.68 1.53944 -1.e-32
0.70 1.53865 -1.e-32
0.72 1.53794 -1.e-32
0.74 1.53728 -1.e-32
0.76 1.53667 -1.e-32
0.78 1.53611 -1.e-32
0.80 1.53560 -1.e-32
0.82 1.53512 -1.e-32
0.84 1.53467 -1.e-32
0.86 1.53426 -1.e-32
0.88 1.53387 -1.e-32
0.90 1.53351 -1.e-32
0.92 1.53317 -1.e-32
0.94 1.53285 -1.e-32
0.96 1.53255 -1.e-32
0.98 1.53227 -1.e-32
1.0 1.53200 -1.e-32
1.1 1.53088 -1.e-32
1.2 1.53000 -1.e-32
1.3 1.52930 -1.e-32
1.4 1.52873 -1.e-32
1.5 1.52824 -1.e-32
1.6 1.52782 -1.e-32
1.7 1.52745 -1.e-32
1.8 1.52712 -1.e-32
1.9 1.52682 -1.e-32
2.0 1.52654 -1.e-32
2.1 1.52627 -1.e-32
2.2 1.52602 -1.e-32
2.3 1.52578 -1.e-32
2.4 1.52554 -1.e-32
2.5 1.52531 -1.e-32
2.6 1.52509 -1.e-32
2.7 1.52486 -1.e-32
2.8 1.52463 1.3e-9
2.9 1.52441 -1.e-32
3.0 1.52418 -1.e-32
3.1 1.52395 -1.e-32
3.2 1.52372 -1.e-32
3.3 1.52349 -1.e-32
3.4 1.52325 -1.e-32
3.5 1.52301 -1.e-32
3.6 1.52277 -1.e-32
3.7 1.52252 -1.e-32
3.8 1.52226 1.8e-9
3.9 1.52201 -1.e-32
4.0 1.52174 -1.e-32
4.1 1.52148 -1.e-32
4.2 1.52121 -1.e-32
4.3 1.52093 -1.e-32
4.4 1.52065 -1.e-32
4.5 1.52036 -1.e-32
4.6 1.52006 -1.e-32
4.7 1.51977 -1.e-32
4.8 1.51946 -1.e-32
4.9 1.51915 -1.e-32
5.0 1.51883 -1.e-32
5.1 1.51851 -1.e-32
5.2 1.51818 -1.e-32
5.3 1.51785 1.7e-9
5.4 1.51751 -1.e-32
5.5 1.51716 -1.e-32
5.6 1.51681 -1.e-32
5.7 1.51645 -1.e-32
5.8 1.51609 -1.e-32
5.9 1.51572 -1.e-32
6.0 1.51534 -1.e-32
6.2 1.51457 -1.e-32
6.4 1.51377 -1.e-32
6.6 1.51294 -1.e-32
6.8 1.51209 -1.e-32
7.0 1.51122 -1.e-32
7.2 1.51031 -1.e-32
7.4 1.50938 -1.e-32
7.6 1.50842 -1.e-32
7.8 1.50744 -1.e-32
8.0 1.50643 -1.e-32
8.2 1.50539 -1.e-32
8.4 1.50432 -1.e-32
8.6 1.50322 -1.e-32
8.8 1.50210 -1.e-32
9.0 1.50094 -1.e-32
9.2 1.49996 -1.e-32
9.27 -1.e-32 2.e-8
9.4 1.49855 -1.e-32
9.6 1.49731 -1.e-32
9.8 1.49604 -1.e-32
10.0 1.49473 -1.e-32
10.2 1.49340 -1.e-32
10.4 1.49204 -1.e-32
10.6 1.49065 8.e-8
10.8 1.48922 -1.e-32
11.0 1.48776 -1.e-32
11.11 -1.e-32 1.5e-7
11.2 1.48628 -1.e-32
11.4 1.48476 -1.e-32
11.6 1.48320 -1.e-32
11.76 -1.e-32 4.5e-7
11.8 1.48162 -1.e-32
12.0 1.48000 -1.e-32
12.2 1.47834 -1.e-32
12.4 1.47665 -1.e-32
12.50 -1.e-32 1.4e-6
