alpha-SiO2 extraordinary ray from Handbook of optical constants of 
solids, edited by E.D. Palik (1985) Academic Press.  Values set to 
-1.e+32 where data is not provided.  Values between 4.99 and 32.001
microns come from application of dispersion calculations using the
oscillator parameters from Spitzer and Kleinman, Phys. Rev., 121, 1324,
1961.  Data beyond 32.001 microns is from the Palik reference.
Wavel.    real imag.
microns  index index
--------------------
   5.463   1.3848    9.9083E-04
   5.469   1.3843    9.9640E-04
   5.474   1.3837    1.0020E-03
   5.480   1.3832    1.0077E-03
   5.486   1.3827    1.0134E-03
   5.492   1.3822    1.0191E-03
   5.498   1.3817    1.0250E-03
   5.503   1.3811    1.0308E-03
   5.509   1.3806    1.0367E-03
   5.515   1.3801    1.0427E-03
   5.521   1.3795    1.0487E-03
   5.527   1.3790    1.0548E-03
   5.533   1.3785    1.0609E-03
   5.539   1.3779    1.0670E-03
   5.544   1.3774    1.0732E-03
   5.551   1.3768    1.0795E-03
   5.556   1.3763    1.0859E-03
   5.562   1.3757    1.0922E-03
   5.569   1.3752    1.0987E-03
   5.574   1.3746    1.1052E-03
   5.580   1.3740    1.1117E-03
   5.587   1.3734    1.1183E-03
   5.593   1.3729    1.1250E-03
   5.598   1.3723    1.1317E-03
   5.604   1.3717    1.1385E-03
   5.611   1.3711    1.1453E-03
   5.617   1.3706    1.1522E-03
   5.623   1.3700    1.1592E-03
   5.629   1.3694    1.1662E-03
   5.635   1.3688    1.1733E-03
   5.641   1.3682    1.1805E-03
   5.647   1.3676    1.1877E-03
   5.654   1.3670    1.1950E-03
   5.660   1.3663    1.2023E-03
   5.666   1.3657    1.2097E-03
   5.672   1.3651    1.2172E-03
   5.678   1.3645    1.2248E-03
   5.684   1.3639    1.2324E-03
   5.691   1.3632    1.2401E-03
   5.697   1.3626    1.2479E-03
   5.703   1.3620    1.2557E-03
   5.709   1.3613    1.2636E-03
   5.716   1.3607    1.2716E-03
   5.722   1.3600    1.2797E-03
   5.728   1.3594    1.2878E-03
   5.735   1.3587    1.2960E-03
   5.741   1.3581    1.3043E-03
   5.747   1.3574    1.3127E-03
   5.754   1.3567    1.3212E-03
   5.760   1.3560    1.3297E-03
   5.767   1.3554    1.3383E-03
   5.773   1.3547    1.3470E-03
   5.779   1.3540    1.3558E-03
   5.786   1.3533    1.3647E-03
   5.792   1.3526    1.3736E-03
   5.799   1.3519    1.3827E-03
   5.806   1.3512    1.3918E-03
   5.812   1.3505    1.4010E-03
   5.818   1.3498    1.4103E-03
   5.825   1.3491    1.4198E-03
   5.832   1.3483    1.4292E-03
   5.838   1.3476    1.4388E-03
   5.845   1.3469    1.4485E-03
   5.851   1.3461    1.4583E-03
   5.858   1.3454    1.4682E-03
   5.864   1.3446    1.4782E-03
   5.871   1.3439    1.4883E-03
   5.878   1.3431    1.4985E-03
   5.884   1.3424    1.5088E-03
   5.891   1.3416    1.5191E-03
   5.898   1.3408    1.5296E-03
   5.905   1.3401    1.5403E-03
   5.911   1.3393    1.5510E-03
   5.918   1.3385    1.5618E-03
   5.925   1.3377    1.5728E-03
   5.932   1.3369    1.5839E-03
   5.938   1.3361    1.5951E-03
   5.945   1.3353    1.6064E-03
   5.952   1.3345    1.6178E-03
   5.959   1.3336    1.6293E-03
   5.966   1.3328    1.6410E-03
   5.973   1.3320    1.6528E-03
   5.979   1.3311    1.6647E-03
   5.986   1.3303    1.6767E-03
   5.993   1.3295    1.6889E-03
   6.000   1.3286    1.7012E-03
   6.007   1.3277    1.7137E-03
   6.014   1.3269    1.7263E-03
   6.021   1.3260    1.7390E-03
   6.028   1.3251    1.7518E-03
   6.035   1.3242    1.7648E-03
   6.042   1.3233    1.7780E-03
   6.049   1.3224    1.7913E-03
   6.056   1.3215    1.8048E-03
   6.064   1.3206    1.8184E-03
   6.071   1.3197    1.8321E-03
   6.078   1.3188    1.8461E-03
   6.085   1.3178    1.8601E-03
   6.092   1.3169    1.8743E-03
   6.099   1.3159    1.8887E-03
   6.106   1.3150    1.9033E-03
   6.114   1.3140    1.9180E-03
   6.121   1.3131    1.9329E-03
   6.128   1.3121    1.9480E-03
   6.135   1.3111    1.9633E-03
   6.143   1.3101    1.9787E-03
   6.150   1.3091    1.9943E-03
   6.157   1.3081    2.0101E-03
   6.164   1.3071    2.0261E-03
   6.172   1.3061    2.0423E-03
   6.179   1.3050    2.0587E-03
   6.186   1.3040    2.0753E-03
   6.194   1.3030    2.0920E-03
   6.201   1.3019    2.1090E-03
   6.208   1.3008    2.1262E-03
   6.216   1.2998    2.1437E-03
   6.224   1.2987    2.1612E-03
   6.231   1.2976    2.1790E-03
   6.238   1.2965    2.1971E-03
   6.246   1.2954    2.2154E-03
   6.254   1.2943    2.2340E-03
   6.261   1.2932    2.2527E-03
   6.269   1.2920    2.2717E-03
   6.276   1.2909    2.2910E-03
   6.284   1.2897    2.3105E-03
   6.292   1.2886    2.3302E-03
   6.299   1.2874    2.3501E-03
   6.307   1.2862    2.3704E-03
   6.314   1.2850    2.3909E-03
   6.322   1.2838    2.4117E-03
   6.330   1.2826    2.4328E-03
   6.338   1.2814    2.4541E-03
   6.346   1.2802    2.4757E-03
   6.353   1.2789    2.4977E-03
   6.361   1.2777    2.5199E-03
   6.369   1.2764    2.5423E-03
   6.377   1.2751    2.5651E-03
   6.384   1.2739    2.5882E-03
   6.392   1.2726    2.6117E-03
   6.400   1.2713    2.6354E-03
   6.408   1.2699    2.6596E-03
   6.416   1.2686    2.6840E-03
   6.424   1.2673    2.7088E-03
   6.432   1.2659    2.7339E-03
   6.440   1.2645    2.7594E-03
   6.448   1.2632    2.7851E-03
   6.456   1.2618    2.8113E-03
   6.464   1.2604    2.8379E-03
   6.472   1.2590    2.8649E-03
   6.480   1.2575    2.8922E-03
   6.488   1.2561    2.9200E-03
   6.496   1.2546    2.9482E-03
   6.504   1.2532    2.9767E-03
   6.513   1.2517    3.0058E-03
   6.521   1.2502    3.0350E-03
   6.529   1.2487    3.0649E-03
   6.537   1.2471    3.0952E-03
   6.546   1.2456    3.1260E-03
   6.554   1.2440    3.1573E-03
   6.562   1.2425    3.1890E-03
   6.571   1.2409    3.2212E-03
   6.579   1.2393    3.2540E-03
   6.587   1.2377    3.2872E-03
   6.595   1.2360    3.3208E-03
   6.604   1.2344    3.3550E-03
   6.612   1.2327    3.3898E-03
   6.621   1.2310    3.4252E-03
   6.630   1.2293    3.4612E-03
   6.638   1.2276    3.4977E-03
   6.646   1.2259    3.5348E-03
   6.655   1.2241    3.5725E-03
   6.664   1.2224    3.6108E-03
   6.672   1.2206    3.6498E-03
   6.680   1.2188    3.6892E-03
   6.689   1.2170    3.7294E-03
   6.698   1.2151    3.7704E-03
   6.706   1.2133    3.8120E-03
   6.715   1.2114    3.8544E-03
   6.724   1.2095    3.8974E-03
   6.733   1.2075    3.9412E-03
   6.742   1.2056    3.9858E-03
   6.750   1.2036    4.0311E-03
   6.759   1.2016    4.0770E-03
   6.768   1.1996    4.1240E-03
   6.777   1.1976    4.1718E-03
   6.786   1.1955    4.2204E-03
   6.794   1.1935    4.2699E-03
   6.804   1.1914    4.3203E-03
   6.812   1.1892    4.3716E-03
   6.821   1.1871    4.4239E-03
   6.830   1.1849    4.4771E-03
   6.839   1.1827    4.5313E-03
   6.848   1.1805    4.5863E-03
   6.857   1.1782    4.6426E-03
   6.867   1.1760    4.6999E-03
   6.876   1.1737    4.7584E-03
   6.885   1.1713    4.8179E-03
   6.894   1.1690    4.8786E-03
   6.903   1.1666    4.9406E-03
   6.912   1.1642    5.0037E-03
   6.921   1.1617    5.0681E-03
   6.931   1.1592    5.1334E-03
   6.940   1.1567    5.2004E-03
   6.949   1.1542    5.2687E-03
   6.958   1.1516    5.3385E-03
   6.968   1.1490    5.4096E-03
   6.977   1.1464    5.4823E-03
   6.987   1.1437    5.5565E-03
   6.996   1.1410    5.6322E-03
   7.006   1.1382    5.7095E-03
   7.015   1.1354    5.7885E-03
   7.024   1.1326    5.8688E-03
   7.034   1.1298    5.9513E-03
   7.044   1.1269    6.0355E-03
   7.053   1.1240    6.1216E-03
   7.063   1.1210    6.2097E-03
   7.073   1.1180    6.2997E-03
   7.082   1.1149    6.3918E-03
   7.092   1.1118    6.4859E-03
   7.102   1.1087    6.5823E-03
   7.111   1.1055    6.6804E-03
   7.121   1.1023    6.7812E-03
   7.131   1.0990    6.8845E-03
   7.141   1.0956    6.9903E-03
   7.151   1.0923    7.0986E-03
   7.161   1.0888    7.2095E-03
   7.171   1.0854    7.3232E-03
   7.180   1.0818    7.4396E-03
   7.190   1.0782    7.5590E-03
