lambda	E-ray n	E-ray k (Wenrich and Christensen, 1996)
12.1	1.63	3.29E-02
12	1.68	2.68E-02
11.9	1.71	2.38E-02
11.8	1.75	2.11E-02
11.7	1.79	1.94E-02
11.6	1.82	1.83E-02
11.5	1.84	1.78E-02
11.4	1.87	1.75E-02
11.3	1.9	1.74E-02
11.2	1.93	1.75E-02
11.1	1.96	1.79E-02
11	1.99	1.85E-02
10.9	2.03	1.95E-02
10.8	2.07	2.05E-02
10.7	2.11	2.21E-02
10.6	2.15	2.37E-02
10.5	2.2	2.61E-02
10.4	2.25	2.85E-02
10.3	2.33	3.31E-02
10.2	2.39	3.70E-02
10.1	2.47	4.33E-02
10	2.6	5.36E-02
9.9	2.73	6.59E-02
9.8	2.89	8.37E-02
9.71	3.1	0.111
9.62	3.39	0.158
9.52	3.81	0.247
9.43	4.53	0.459
9.35	6.45	1.68
9.26	4.43	7.27
9.17	0.949	5.03
9.09	0.428	3.74
9.01	0.261	3.03
8.93	0.175	2.48
8.85	0.139	2.15
8.77	0.117	1.88
8.7	0.104	1.66
8.62	9.6400000E-	02   1.480000
8.55	9.3000002E-	02   1.310000
8.47	9.3199998E-	02   1.120000
8.4	9.6699998E-	02  0.9810000
8.33	0.104	0.844
8.26	0.115	0.708
8.2	0.134	0.568
8.13	0.183	0.385
8.06	0.278	0.235
8	0.408	0.149
7.94	0.515	0.108
7.87	0.601	8.49E-02
7.81	0.67	6.93E-02
7.75	0.74	5.61E-02
7.69	0.789	4.78E-02
7.63	0.832	4.12E-02
7.58	0.87	3.58E-02
7.52	0.904	3.15E-02
7.46	0.941	2.72E-02
7.41	0.968	2.42E-02
7.35	0.993	2.17E-02
7.3	1.02	1.95E-02
7.25	1.04	1.77E-02
7.19	1.06	1.58E-02
7.14	1.08	1.45E-02
7.09	1.09	1.33E-02
7.04	1.11	1.22E-02
6.99	1.12	1.13E-02
6.94	1.14	1.05E-02
6.9	1.15	9.58E-03
6.85	1.16	8.93E-03
