alpha-SiO2 ordinary ray from Handbook of optical constants of solids, 
edited by E.D. Palik (1985) Academic Press.  Values set to -1.e+32 
where data is not provided.  Values between 4.99 and 29.966 microns are
from a dispersion calculation using the oscillator parameters of Spitzer
and Kleinman, Phys. Rev., 121, 1324, 1961.  Data beyond 29.966 are from
the Palik reference
Wavel.    real imag.
microns  index index
--------------------
  11.495   1.8353    1.8695E-02
  11.521   1.8256    1.9068E-02
  11.546   1.8156    1.9490E-02
  11.572   1.8054    1.9968E-02
  11.598   1.7949    2.0503E-02
  11.624   1.7841    2.1110E-02
  11.650   1.7730    2.1794E-02
  11.676   1.7614    2.2566E-02
  11.703   1.7494    2.3439E-02
  11.729   1.7370    2.4426E-02
  11.756   1.7239    2.5545E-02
  11.782   1.7102    2.6818E-02
  11.809   1.6958    2.8270E-02
  11.836   1.6806    2.9934E-02
  11.863   1.6645    3.1836E-02
  11.890   1.6472    3.4047E-02
  11.918   1.6287    3.6618E-02
  11.945   1.6088    3.9627E-02
  11.973   1.5871    4.3178E-02
  12.000   1.5635    4.7402E-02
  12.028   1.5375    5.2480E-02
  12.056   1.5086    5.8653E-02
  12.084   1.4764    6.6259E-02
  12.113   1.4401    7.5723E-02
  12.141   1.3984    8.7845E-02
  12.169   1.3501    1.0365E-01
  12.198   1.2934    1.2483E-01
  12.227   1.2258    1.5421E-01
  12.256   1.1441    1.9675E-01
  12.285   1.0448    2.6176E-01
  12.314   0.9273    3.6700E-01
  12.343   0.8073    5.4011E-01
  12.373   0.7302    7.9302E-01
  12.402   0.7321    1.0971E+00
  12.432   0.8224    1.4363E+00
  12.462   1.0293    1.8077E+00
  12.492   1.4320    2.1839E+00
  12.522   2.1403    2.3933E+00
  12.553   2.9556    2.0534E+00
  12.583   3.2663    1.3391E+00
  12.614   3.1685    8.1690E-01
  12.644   2.9877    5.2561E-01
  12.675   2.8256    3.6251E-01
  12.706   2.6936    2.6406E-01
  12.738   2.5879    2.0111E-01
  12.769   2.5024    1.5863E-01
  12.800   2.4321    1.2868E-01
  12.832   2.3732    1.0679E-01
  12.864   2.3233    9.0325E-02
  12.896   2.2802    7.7633E-02
  12.928   2.2426    6.7647E-02
  12.960   2.2097    5.9691E-02
  12.993   2.1801    5.3191E-02
  13.026   2.1536    4.7844E-02
  13.058   2.1295    4.3397E-02
  13.091   2.1075    3.9664E-02
  13.125   2.0873    3.6505E-02
  13.158   2.0686    3.3815E-02
  13.191   2.0512    3.1511E-02
  13.225   2.0349    2.9530E-02
  13.259   2.0196    2.7823E-02
  13.293   2.0052    2.6357E-02
  13.327   1.9914    2.5085E-02
  13.361   1.9782    2.3991E-02
  13.396   1.9656    2.3057E-02
  13.431   1.9534    2.2268E-02
  13.465   1.9417    2.1612E-02
  13.501   1.9302    2.1083E-02
  13.536   1.9190    2.0677E-02
  13.571   1.9081    2.0393E-02
  13.607   1.8973    2.0235E-02
  13.643   1.8865    2.0209E-02
  13.679   1.8758    2.0328E-02
  13.715   1.8650    2.0611E-02
  13.751   1.8541    2.1084E-02
  13.788   1.8430    2.1787E-02
  13.825   1.8315    2.2773E-02
  13.862   1.8196    2.4121E-02
  13.899   1.8071    2.5944E-02
  13.936   1.7938    2.8407E-02
  13.974   1.7794    3.1746E-02
  14.011   1.7636    3.6389E-02
  14.049   1.7459    4.2966E-02
  14.087   1.7257    5.2570E-02
  14.126   1.7024    6.7140E-02
  14.165   1.6755    9.0271E-02
  14.203   1.6464    1.2879E-01
  14.242   1.6229    1.9466E-01
  14.282   1.6353    2.9884E-01
  14.321   1.7402    4.0298E-01
  14.361   1.9096    3.9241E-01
  14.401   1.9992    2.8050E-01
  14.441   2.0027    1.8155E-01
  14.481   1.9776    1.2067E-01
  14.522   1.9491    8.4915E-02
  14.562   1.9235    6.3145E-02
  14.603   1.9015    4.9194E-02
  14.645   1.8827    3.9814E-02
  14.686   1.8664    3.3266E-02
  14.728   1.8520    2.8484E-02
  14.770   1.8391    2.4909E-02
  14.812   1.8274    2.2167E-02
  14.854   1.8166    2.0020E-02
  14.897   1.8066    1.8307E-02
  14.940   1.7973    1.6920E-02
  14.983   1.7884    1.5781E-02
  15.027   1.7799    1.4835E-02
  15.071   1.7718    1.4041E-02
  15.114   1.7641    1.3373E-02
  15.158   1.7565    1.2800E-02
  15.203   1.7491    1.2309E-02
  15.248   1.7419    1.1885E-02
  15.293   1.7349    1.1519E-02
  15.338   1.7279    1.1201E-02
  15.383   1.7211    1.0925E-02
  15.429   1.7144    1.0684E-02
  15.475   1.7077    1.0475E-02
  15.521   1.7011    1.0294E-02
  15.568   1.6945    1.0136E-02
  15.615   1.6879    1.0000E-02
  15.662   1.6814    9.8843E-03
  15.710   1.6748    9.7860E-03
  15.757   1.6683    9.7041E-03
  15.806   1.6617    9.6372E-03
  15.854   1.6551    9.5843E-03
  15.903   1.6485    9.5446E-03
  15.951   1.6419    9.5171E-03
  16.000   1.6352    9.5015E-03
  16.050   1.6285    9.4970E-03
  16.100   1.6217    9.5033E-03
  16.150   1.6148    9.5200E-03
  16.201   1.6079    9.5471E-03
  16.251   1.6009    9.5842E-03
  16.303   1.5938    9.6313E-03
  16.354   1.5866    9.6883E-03
  16.406   1.5793    9.7552E-03
  16.458   1.5719    9.8317E-03
  16.510   1.5644    9.9187E-03
  16.563   1.5567    1.0016E-02
  16.616   1.5490    1.0124E-02
  16.669   1.5410    1.0242E-02
  16.723   1.5329    1.0372E-02
  16.777   1.5247    1.0513E-02
  16.832   1.5163    1.0667E-02
  16.887   1.5077    1.0832E-02
  16.942   1.4989    1.1011E-02
  16.997   1.4900    1.1202E-02
  17.053   1.4807    1.1409E-02
  17.110   1.4713    1.1631E-02
  17.166   1.4616    1.1870E-02
  17.223   1.4516    1.2125E-02
  17.281   1.4414    1.2399E-02
  17.338   1.4309    1.2692E-02
  17.397   1.4200    1.3006E-02
  17.455   1.4089    1.3342E-02
  17.514   1.3974    1.3701E-02
  17.573   1.3855    1.4088E-02
  17.633   1.3732    1.4504E-02
  17.694   1.3604    1.4950E-02
  17.754   1.3472    1.5429E-02
  17.815   1.3335    1.5945E-02
  17.877   1.3193    1.6502E-02
  17.938   1.3044    1.7102E-02
  18.001   1.2890    1.7752E-02
  18.063   1.2730    1.8452E-02
  18.126   1.2562    1.9215E-02
  18.190   1.2386    2.0046E-02
  18.254   1.2202    2.0952E-02
  18.319   1.2008    2.1943E-02
  18.384   1.1805    2.3031E-02
  18.449   1.1590    2.4228E-02
  18.515   1.1363    2.5552E-02
  18.581   1.1123    2.7023E-02
  18.648   1.0867    2.8665E-02
  18.715   1.0597    3.0497E-02
  18.783   1.0306    3.2578E-02
  18.852   0.9994    3.4948E-02
  18.920   0.9658    3.7671E-02
  18.990   0.9294    4.0835E-02
  19.060   0.8898    4.4558E-02
  19.130   0.8464    4.9013E-02
  19.201   0.7983    5.4453E-02
  19.272   0.7445    6.1278E-02
  19.344   0.6840    7.0111E-02
  19.416   0.6140    8.2280E-02
  19.489   0.5312    1.0035E-01
  19.563   0.4308    1.3087E-01
  19.637   0.3095    1.9306E-01
  19.712   0.2017    3.1460E-01
  19.787   0.1493    4.5266E-01
  19.863   0.1253    5.7534E-01
  19.939   0.1126    6.8552E-01
  20.016   0.1052    7.8778E-01
  20.094   0.1008    8.8467E-01
  20.172   0.0984    9.7922E-01
  20.251   0.0975    1.0724E+00
  20.330   0.0976    1.1654E+00
  20.410   0.0988    1.2591E+00
  20.491   0.1010    1.3544E+00
  20.572   0.1040    1.4522E+00
  20.654   0.1080    1.5534E+00
  20.737   0.1131    1.6589E+00
  20.820   0.1193    1.7692E+00
  20.904   0.1270    1.8866E+00
  20.989   0.1365    2.0120E+00
  21.074   0.1481    2.1474E+00
  21.160   0.1625    2.2948E+00
  21.247   0.1805    2.4572E+00
  21.334   0.2034    2.6385E+00
  21.423   0.2331    2.8438E+00
  21.511   0.2728    3.0805E+00
  21.601   0.3271    3.3577E+00
  21.691   0.4058    3.6942E+00
  21.782   0.5261    4.1146E+00
  21.874   0.7259    4.6616E+00
  21.967   1.0990    5.4090E+00
  22.060   1.9275    6.4601E+00
  22.155   4.1361    7.5439E+00
  22.250   7.5607    5.6060E+00
  22.346   7.2992    2.4925E+00
  22.443   6.2096    1.2780E+00
  22.540   5.4210    7.8271E-01
  22.638   4.8623    5.3501E-01
  22.738   4.4501    3.9379E-01
  22.838   4.1317    3.0531E-01
  22.939   3.8763    2.4608E-01
  23.041   3.6648    2.0452E-01
  23.144   3.4849    1.7434E-01
  23.248   3.3283    1.5193E-01
  23.353   3.1890    1.3508E-01
  23.458   3.0630    1.2247E-01
  23.564   2.9456    1.1309E-01
  23.672   2.8344    1.0651E-01
  23.781   2.7267    1.0245E-01
  23.890   2.6198    1.0089E-01
  24.001   2.5106    1.0207E-01
  24.113   2.3956    1.0660E-01
  24.225   2.2701    1.1568E-01
  24.339   2.1271    1.3164E-01
  24.454   1.9557    1.5933E-01
  24.569   1.7375    2.0973E-01
  24.687   1.4333    3.1641E-01
  24.805   0.9957    6.1255E-01
  24.924   0.6870    1.3233E+00
  25.045   0.7208    2.1820E+00
  25.166   1.0657    3.2495E+00
  25.289   2.4111    4.7292E+00
  25.413   5.8810    3.5566E+00
  25.538   5.3122    1.0931E+00
  25.664   4.5278    4.8755E-01
  25.792   4.0667    2.7903E-01
  25.921   3.7721    1.8397E-01
  26.051   3.5666    1.3246E-01
  26.183   3.4139    1.0124E-01
  26.316   3.2951    8.0770E-02
  26.450   3.1993    6.6550E-02
  26.586   3.1199    5.6215E-02
  26.723   3.0528    4.8430E-02
  26.861   2.9949    4.2393E-02
  27.001   2.9446    3.7619E-02
  27.142   2.8999    3.3725E-02
  27.285   2.8599    3.0513E-02
  27.430   2.8239    2.7822E-02
  27.576   2.7912    2.5538E-02
  27.723   2.7613    2.3578E-02
  27.872   2.7338    2.1878E-02
  28.023   2.7084    2.0390E-02
  28.175   2.6848    1.9079E-02
  28.329   2.6630    1.7919E-02
  28.484   2.6425    1.6877E-02
  28.642   2.6233    1.5940E-02
  28.801   2.6052    1.5093E-02
  28.962   2.5881    1.4324E-02
  29.125   2.5720    1.3622E-02
  29.289   2.5567    1.2979E-02
  29.456   2.5422    1.2388E-02
  29.624   2.5284    1.1843E-02
  29.794   2.5153    1.1342E-02
  29.966   2.5028    1.0874E-02
30.00 2.500 1.079e-2
30.50 2.468 9.643e-3
31.00 2.440 8.721e-3
31.50 2.416 7.962e-3
32.00 2.395 7.326e-3
50.00 2.214 2.86e-3
52.63 2.200 2.68e-3
55.56 2.188 2.48e-3
58.82 2.178 2.29e-3
62.50 2.169 2.14e-3
66.67 2.161 1.91e-3
71.43 2.154 1.82e-3
72.73 2.152 1.85e-3
74.07 2.150 2.36e-3
75.47 2.148 3.60e-3
76.92 2.147 6.18e-3
78.43 2.147 6.74e-3
80.00 2.148 3.69e-3
81.63 2.146 1.56e-3
83.33 2.144 1.06e-3
90.91 2.136 9.40e-4
100.0 2.132 9.55e-4
111.1 2.128 8.84e-4
125.0 2.124 8.95e-4
142.9 2.121 9.10e-4
166.7 2.119 7.96e-4
200.0 2.1114 7.96e-4
250.0 2.1096 7.96e-4
333.3 2.1081 7.96e-4
500.0 2.1070 -1.e+32
1000. 2.1063 -1.e+32
