alpha-SiO2 ordinary ray from Handbook of optical constants of solids, 
edited by E.D. Palik (1985) Academic Press.  Values set to -1.e+32 
where data is not provided.  Values between 4.99 and 29.966 microns are
from a dispersion calculation using the oscillator parameters of Spitzer
and Kleinman, Phys. Rev., 121, 1324, 1961.  Data beyond 29.966 are from
the Palik reference
Wavel.    real imag.
microns  index index
--------------------
   5.028   1.4105    8.2379E-04
   5.033   1.4102    8.2776E-04
   5.038   1.4098    8.3178E-04
   5.043   1.4095    8.3583E-04
   5.048   1.4092    8.3991E-04
   5.053   1.4088    8.4402E-04
   5.058   1.4085    8.4816E-04
   5.063   1.4081    8.5233E-04
   5.068   1.4078    8.5652E-04
   5.073   1.4074    8.6075E-04
   5.077   1.4071    8.6499E-04
   5.083   1.4067    8.6928E-04
   5.088   1.4063    8.7360E-04
   5.092   1.4060    8.7795E-04
   5.098   1.4056    8.8233E-04
   5.103   1.4053    8.8675E-04
   5.108   1.4049    8.9119E-04
   5.113   1.4045    8.9567E-04
   5.118   1.4042    9.0019E-04
   5.123   1.4038    9.0473E-04
   5.128   1.4034    9.0929E-04
   5.133   1.4031    9.1390E-04
   5.138   1.4027    9.1855E-04
   5.143   1.4023    9.2323E-04
   5.148   1.4019    9.2795E-04
   5.153   1.4016    9.3270E-04
   5.158   1.4012    9.3749E-04
   5.163   1.4008    9.4232E-04
   5.169   1.4004    9.4718E-04
   5.174   1.4000    9.5205E-04
   5.179   1.3996    9.5698E-04
   5.184   1.3992    9.6196E-04
   5.189   1.3988    9.6697E-04
   5.195   1.3985    9.7201E-04
   5.200   1.3981    9.7710E-04
   5.205   1.3977    9.8223E-04
   5.210   1.3973    9.8739E-04
   5.215   1.3969    9.9260E-04
   5.221   1.3965    9.9782E-04
   5.226   1.3960    1.0031E-03
   5.231   1.3956    1.0084E-03
   5.236   1.3952    1.0138E-03
   5.242   1.3948    1.0192E-03
   5.247   1.3944    1.0247E-03
   5.252   1.3940    1.0302E-03
   5.258   1.3936    1.0357E-03
   5.263   1.3931    1.0413E-03
   5.268   1.3927    1.0469E-03
   5.274   1.3923    1.0525E-03
   5.279   1.3919    1.0583E-03
   5.285   1.3914    1.0640E-03
   5.290   1.3910    1.0698E-03
   5.295   1.3906    1.0757E-03
   5.301   1.3901    1.0816E-03
   5.306   1.3897    1.0875E-03
   5.312   1.3893    1.0935E-03
   5.317   1.3888    1.0996E-03
   5.323   1.3884    1.1057E-03
   5.328   1.3879    1.1118E-03
   5.334   1.3875    1.1180E-03
   5.339   1.3870    1.1242E-03
   5.344   1.3866    1.1305E-03
   5.350   1.3861    1.1369E-03
   5.356   1.3857    1.1433E-03
   5.361   1.3852    1.1498E-03
   5.367   1.3847    1.1563E-03
   5.372   1.3843    1.1628E-03
   5.378   1.3838    1.1694E-03
   5.383   1.3833    1.1761E-03
   5.389   1.3829    1.1828E-03
   5.395   1.3824    1.1896E-03
   5.400   1.3819    1.1965E-03
   5.406   1.3814    1.2034E-03
   5.412   1.3810    1.2103E-03
   5.417   1.3805    1.2173E-03
   5.423   1.3800    1.2244E-03
   5.429   1.3795    1.2315E-03
   5.434   1.3790    1.2387E-03
   5.440   1.3785    1.2460E-03
   5.446   1.3780    1.2533E-03
   5.451   1.3775    1.2607E-03
   5.457   1.3770    1.2682E-03
   5.463   1.3765    1.2757E-03
   5.469   1.3760    1.2833E-03
   5.474   1.3755    1.2910E-03
   5.480   1.3749    1.2986E-03
   5.486   1.3744    1.3064E-03
   5.492   1.3739    1.3143E-03
   5.498   1.3734    1.3222E-03
   5.503   1.3729    1.3302E-03
   5.509   1.3723    1.3383E-03
   5.515   1.3718    1.3464E-03
   5.521   1.3713    1.3547E-03
   5.527   1.3707    1.3630E-03
   5.533   1.3702    1.3713E-03
   5.539   1.3696    1.3797E-03
   5.544   1.3691    1.3883E-03
   5.551   1.3685    1.3969E-03
   5.556   1.3680    1.4055E-03
   5.562   1.3674    1.4143E-03
   5.569   1.3669    1.4231E-03
   5.574   1.3663    1.4321E-03
   5.580   1.3657    1.4411E-03
   5.587   1.3651    1.4502E-03
   5.593   1.3646    1.4593E-03
   5.598   1.3640    1.4685E-03
   5.604   1.3634    1.4779E-03
   5.611   1.3628    1.4873E-03
   5.617   1.3622    1.4969E-03
   5.623   1.3617    1.5065E-03
   5.629   1.3611    1.5162E-03
   5.635   1.3605    1.5260E-03
   5.641   1.3599    1.5359E-03
   5.647   1.3592    1.5459E-03
   5.654   1.3586    1.5559E-03
   5.660   1.3580    1.5661E-03
   5.666   1.3574    1.5764E-03
   5.672   1.3568    1.5868E-03
   5.678   1.3562    1.5973E-03
   5.684   1.3555    1.6078E-03
   5.691   1.3549    1.6185E-03
   5.697   1.3543    1.6293E-03
   5.703   1.3536    1.6403E-03
   5.709   1.3530    1.6512E-03
   5.716   1.3523    1.6623E-03
   5.722   1.3517    1.6736E-03
   5.728   1.3510    1.6849E-03
   5.735   1.3504    1.6964E-03
   5.741   1.3497    1.7080E-03
   5.747   1.3490    1.7197E-03
   5.754   1.3484    1.7315E-03
   5.760   1.3477    1.7435E-03
   5.767   1.3470    1.7555E-03
   5.773   1.3463    1.7677E-03
   5.779   1.3456    1.7800E-03
   5.786   1.3450    1.7924E-03
   5.792   1.3443    1.8050E-03
   5.799   1.3436    1.8177E-03
   5.806   1.3428    1.8306E-03
   5.812   1.3421    1.8435E-03
   5.818   1.3414    1.8567E-03
   5.825   1.3407    1.8699E-03
   5.832   1.3400    1.8832E-03
   5.838   1.3392    1.8968E-03
   5.845   1.3385    1.9105E-03
   5.851   1.3378    1.9243E-03
   5.858   1.3370    1.9383E-03
   5.864   1.3363    1.9524E-03
   5.871   1.3355    1.9667E-03
   5.878   1.3348    1.9812E-03
   5.884   1.3340    1.9958E-03
   5.891   1.3332    2.0105E-03
   5.898   1.3325    2.0254E-03
   5.905   1.3317    2.0405E-03
   5.911   1.3309    2.0558E-03
   5.918   1.3301    2.0712E-03
   5.925   1.3293    2.0868E-03
   5.932   1.3285    2.1026E-03
   5.938   1.3277    2.1186E-03
   5.945   1.3269    2.1347E-03
   5.952   1.3261    2.1511E-03
   5.959   1.3252    2.1675E-03
   5.966   1.3244    2.1842E-03
   5.973   1.3236    2.2011E-03
   5.979   1.3227    2.2182E-03
   5.986   1.3219    2.2355E-03
   5.993   1.3210    2.2531E-03
   6.000   1.3202    2.2708E-03
   6.007   1.3193    2.2887E-03
   6.014   1.3184    2.3068E-03
   6.021   1.3176    2.3251E-03
   6.028   1.3167    2.3437E-03
   6.035   1.3158    2.3625E-03
   6.042   1.3149    2.3815E-03
   6.049   1.3140    2.4008E-03
   6.056   1.3131    2.4202E-03
   6.064   1.3122    2.4400E-03
   6.071   1.3112    2.4600E-03
   6.078   1.3103    2.4802E-03
   6.085   1.3094    2.5006E-03
   6.092   1.3084    2.5213E-03
   6.099   1.3075    2.5423E-03
   6.106   1.3065    2.5635E-03
   6.114   1.3055    2.5850E-03
   6.121   1.3046    2.6068E-03
   6.128   1.3036    2.6289E-03
   6.135   1.3026    2.6512E-03
   6.143   1.3016    2.6739E-03
   6.150   1.3006    2.6968E-03
   6.157   1.2996    2.7199E-03
   6.164   1.2986    2.7434E-03
   6.172   1.2976    2.7673E-03
   6.179   1.2965    2.7914E-03
   6.186   1.2955    2.8159E-03
   6.194   1.2944    2.8407E-03
   6.201   1.2934    2.8658E-03
   6.208   1.2923    2.8913E-03
   6.216   1.2912    2.9171E-03
   6.224   1.2901    2.9431E-03
   6.231   1.2891    2.9696E-03
   6.238   1.2879    2.9965E-03
   6.246   1.2868    3.0238E-03
   6.254   1.2857    3.0514E-03
   6.261   1.2846    3.0794E-03
   6.269   1.2835    3.1078E-03
   6.276   1.2823    3.1366E-03
   6.284   1.2811    3.1658E-03
   6.292   1.2800    3.1954E-03
   6.299   1.2788    3.2253E-03
   6.307   1.2776    3.2557E-03
   6.314   1.2764    3.2866E-03
   6.322   1.2752    3.3180E-03
   6.330   1.2740    3.3498E-03
   6.338   1.2728    3.3820E-03
   6.346   1.2715    3.4148E-03
   6.353   1.2703    3.4480E-03
   6.361   1.2690    3.4817E-03
   6.369   1.2678    3.5158E-03
   6.377   1.2665    3.5505E-03
   6.384   1.2652    3.5857E-03
   6.392   1.2639    3.6215E-03
   6.400   1.2626    3.6579E-03
   6.408   1.2613    3.6947E-03
   6.416   1.2599    3.7322E-03
   6.424   1.2586    3.7702E-03
   6.432   1.2572    3.8089E-03
   6.440   1.2558    3.8481E-03
   6.448   1.2545    3.8877E-03
   6.456   1.2531    3.9282E-03
   6.464   1.2516    3.9693E-03
   6.472   1.2502    4.0111E-03
   6.480   1.2488    4.0536E-03
   6.488   1.2473    4.0967E-03
   6.496   1.2459    4.1406E-03
   6.504   1.2444    4.1851E-03
   6.513   1.2429    4.2304E-03
   6.521   1.2414    4.2762E-03
   6.529   1.2399    4.3231E-03
   6.537   1.2383    4.3707E-03
   6.546   1.2368    4.4191E-03
   6.554   1.2352    4.4683E-03
   6.562   1.2336    4.5184E-03
   6.571   1.2320    4.5693E-03
   6.579   1.2304    4.6211E-03
   6.587   1.2288    4.6739E-03
   6.595   1.2272    4.7272E-03
   6.604   1.2255    4.7818E-03
   6.612   1.2238    4.8374E-03
   6.621   1.2221    4.8939E-03
   6.630   1.2204    4.9515E-03
   6.638   1.2187    5.0101E-03
   6.646   1.2170    5.0697E-03
   6.655   1.2152    5.1305E-03
   6.664   1.2134    5.1924E-03
   6.672   1.2116    5.2554E-03
   6.680   1.2098    5.3193E-03
   6.689   1.2080    5.3847E-03
   6.698   1.2061    5.4514E-03
   6.706   1.2042    5.5193E-03
   6.715   1.2023    5.5886E-03
   6.724   1.2004    5.6592E-03
   6.733   1.1985    5.7311E-03
   6.742   1.1965    5.8045E-03
   6.750   1.1945    5.8793E-03
   6.759   1.1926    5.9552E-03
   6.768   1.1905    6.0330E-03
   6.777   1.1885    6.1124E-03
   6.786   1.1864    6.1935E-03
   6.794   1.1843    6.2761E-03
   6.804   1.1822    6.3605E-03
   6.812   1.1801    6.4467E-03
   6.821   1.1779    6.5346E-03
   6.830   1.1757    6.6244E-03
   6.839   1.1735    6.7161E-03
   6.848   1.1713    6.8093E-03
   6.857   1.1690    6.9050E-03
   6.867   1.1667    7.0027E-03
   6.876   1.1644    7.1027E-03
   6.885   1.1620    7.2048E-03
   6.894   1.1596    7.3092E-03
   6.903   1.1572    7.4159E-03
   6.912   1.1548    7.5251E-03
   6.921   1.1523    7.6367E-03
   6.931   1.1498    7.7504E-03
   6.940   1.1473    7.8672E-03
   6.949   1.1448    7.9868E-03
   6.958   1.1422    8.1092E-03
   6.968   1.1395    8.2345E-03
   6.977   1.1369    8.3629E-03
   6.987   1.1342    8.4943E-03
   6.996   1.1315    8.6289E-03
   7.006   1.1287    8.7669E-03
   7.015   1.1259    8.9083E-03
   7.024   1.1231    9.0524E-03
   7.034   1.1202    9.2010E-03
   7.044   1.1173    9.3534E-03
   7.053   1.1143    9.5096E-03
   7.063   1.1113    9.6700E-03
   7.073   1.1083    9.8345E-03
   7.082   1.1052    1.0003E-02
   7.092   1.1021    1.0177E-02
   7.102   1.0989    1.0355E-02
   7.111   1.0957    1.0537E-02
   7.121   1.0925    1.0725E-02
   7.131   1.0891    1.0918E-02
   7.141   1.0858    1.1116E-02
   7.151   1.0824    1.1320E-02
   7.161   1.0789    1.1530E-02
   7.171   1.0754    1.1746E-02
   7.180   1.0719    1.1968E-02
   7.190   1.0683    1.2197E-02
   7.200   1.0646    1.2432E-02
   7.210   1.0609    1.2674E-02
   7.220   1.0571    1.2924E-02
   7.231   1.0533    1.3182E-02
   7.241   1.0494    1.3447E-02
   7.251   1.0454    1.3721E-02
   7.261   1.0414    1.4004E-02
   7.271   1.0373    1.4295E-02
   7.281   1.0331    1.4596E-02
   7.291   1.0289    1.4907E-02
   7.302   1.0246    1.5226E-02
   7.312   1.0202    1.5558E-02
   7.322   1.0157    1.5901E-02
   7.332   1.0112    1.6255E-02
   7.343   1.0066    1.6622E-02
   7.353   1.0019    1.7001E-02
   7.364   0.9971    1.7394E-02
   7.375   0.9923    1.7801E-02
   7.385   0.9873    1.8223E-02
   7.395   0.9823    1.8657E-02
   7.406   0.9772    1.9110E-02
   7.417   0.9719    1.9580E-02
   7.427   0.9666    2.0068E-02
   7.438   0.9612    2.0574E-02
   7.449   0.9556    2.1100E-02
   7.459   0.9500    2.1646E-02
   7.470   0.9442    2.2214E-02
   7.481   0.9384    2.2805E-02
   7.492   0.9324    2.3420E-02
   7.502   0.9263    2.4057E-02
   7.513   0.9201    2.4724E-02
   7.524   0.9137    2.5418E-02
   7.535   0.9072    2.6143E-02
   7.546   0.9005    2.6899E-02
   7.557   0.8937    2.7688E-02
   7.568   0.8868    2.8512E-02
   7.579   0.8797    2.9373E-02
   7.590   0.8724    3.0273E-02
   7.602   0.8650    3.1210E-02
   7.613   0.8574    3.2196E-02
   7.624   0.8496    3.3229E-02
   7.635   0.8417    3.4312E-02
   7.646   0.8335    3.5447E-02
   7.658   0.8251    3.6639E-02
   7.669   0.8166    3.7890E-02
   7.680   0.8078    3.9205E-02
   7.692   0.7987    4.0589E-02
   7.703   0.7895    4.2038E-02
   7.715   0.7800    4.3572E-02
   7.726   0.7703    4.5189E-02
   7.738   0.7602    4.6896E-02
   7.749   0.7499    4.8700E-02
   7.761   0.7393    5.0607E-02
   7.772   0.7283    5.2625E-02
   7.784   0.7171    5.4765E-02
   7.796   0.7054    5.7036E-02
   7.808   0.6934    5.9449E-02
   7.819   0.6811    6.2003E-02
   7.831   0.6684    6.4741E-02
   7.843   0.6552    6.7664E-02
   7.855   0.6415    7.0793E-02
   7.867   0.6273    7.4150E-02
   7.879   0.6126    7.7761E-02
   7.891   0.5974    8.1657E-02
   7.903   0.5815    8.5874E-02
   7.915   0.5650    9.0457E-02
   7.927   0.5479    9.5433E-02
   7.939   0.5300    1.0092E-01
   7.951   0.5112    1.0698E-01
   7.964   0.4916    1.1370E-01
   7.976   0.4710    1.2123E-01
   7.988   0.4495    1.2973E-01
   8.000   0.4269    1.3941E-01
   8.013   0.4033    1.5054E-01
   8.025   0.3787    1.6346E-01
   8.037   0.3532    1.7856E-01
   8.050   0.3273    1.9618E-01
   8.063   0.3013    2.1685E-01
   8.075   0.2761    2.4067E-01
   8.087   0.2525    2.6744E-01
   8.100   0.2312    2.9659E-01
   8.113   0.2127    3.2733E-01
   8.125   0.1967    3.5887E-01
   8.139   0.1832    3.9063E-01
   8.151   0.1717    4.2223E-01
   8.164   0.1619    4.5333E-01
   8.177   0.1535    4.8416E-01
   8.190   0.1461    5.1456E-01
   8.203   0.1396    5.4456E-01
   8.216   0.1338    5.7421E-01
   8.229   0.1287    6.0359E-01
   8.242   0.1242    6.3274E-01
   8.255   0.1200    6.6174E-01
   8.269   0.1163    6.9066E-01
   8.282   0.1129    7.1940E-01
   8.295   0.1099    7.4834E-01
   8.308   0.1072    7.7738E-01
   8.322   0.1048    8.0659E-01
   8.335   0.1026    8.3604E-01
   8.348   0.1007    8.6580E-01
   8.362   0.0992    8.9595E-01
   8.375   0.0979    9.2657E-01
   8.389   0.0970    9.5778E-01
   8.402   0.0964    9.8969E-01
   8.416   0.0962    1.0223E+00
   8.430   0.0966    1.0560E+00
   8.443   0.0975    1.0911E+00
   8.457   0.0993    1.1276E+00
   8.471   0.1020    1.1661E+00
   8.485   0.1063    1.2070E+00
   8.498   0.1128    1.2511E+00
   8.513   0.1227    1.2994E+00
   8.527   0.1384    1.3532E+00
   8.540   0.1642    1.4139E+00
   8.555   0.2097    1.4830E+00
   8.569   0.2949    1.5543E+00
   8.583   0.4513    1.5875E+00
   8.597   0.6392    1.4655E+00
   8.612   0.6333    1.2160E+00
   8.626   0.4560    1.1031E+00
   8.640   0.3054    1.1321E+00
   8.655   0.2201    1.2029E+00
   8.669   0.1740    1.2750E+00
   8.684   0.1480    1.3409E+00
   8.698   0.1323    1.4016E+00
   8.713   0.1226    1.4582E+00
   8.728   0.1165    1.5122E+00
   8.742   0.1127    1.5645E+00
   8.757   0.1106    1.6158E+00
   8.772   0.1097    1.6667E+00
   8.787   0.1096    1.7178E+00
   8.802   0.1103    1.7693E+00
   8.817   0.1117    1.8212E+00
   8.832   0.1136    1.8745E+00
   8.846   0.1161    1.9291E+00
   8.862   0.1191    1.9852E+00
   8.877   0.1226    2.0432E+00
   8.892   0.1267    2.1032E+00
   8.908   0.1314    2.1655E+00
   8.923   0.1367    2.2305E+00
   8.938   0.1427    2.2984E+00
   8.954   0.1496    2.3697E+00
   8.969   0.1573    2.4443E+00
   8.985   0.1660    2.5235E+00
   9.000   0.1759    2.6074E+00
   9.016   0.1873    2.6967E+00
   9.032   0.2002    2.7920E+00
   9.047   0.2152    2.8942E+00
   9.064   0.2325    3.0044E+00
   9.079   0.2527    3.1238E+00
   9.095   0.2765    3.2538E+00
   9.111   0.3047    3.3956E+00
   9.127   0.3387    3.5529E+00
   9.143   0.3803    3.7280E+00
   9.159   0.4318    3.9246E+00
   9.176   0.4970    4.1476E+00
   9.192   0.5812    4.4035E+00
   9.208   0.6932    4.7009E+00
   9.224   0.8471    5.0514E+00
   9.241   1.0674    5.4703E+00
   9.258   1.3969    5.9729E+00
   9.274   1.9254    6.5768E+00
   9.291   2.8207    7.2427E+00
   9.308   4.3512    7.7112E+00
   9.324   6.4600    7.1830E+00
   9.341   7.8266    5.2809E+00
   9.358   7.7876    3.4030E+00
   9.375   7.2073    2.2320E+00
   9.391   6.6004    1.5545E+00
   9.409   6.0821    1.1448E+00
   9.426   5.6578    8.8244E-01
   9.443   5.3062    7.0310E-01
   9.460   5.0132    5.7558E-01
   9.478   4.7657    4.8148E-01
   9.495   4.5538    4.0987E-01
   9.512   4.3702    3.5401E-01
   9.530   4.2094    3.0948E-01
   9.547   4.0674    2.7336E-01
   9.565   3.9408    2.4360E-01
   9.582   3.8277    2.1887E-01
   9.601   3.7250    1.9786E-01
   9.618   3.6317    1.7994E-01
   9.636   3.5465    1.6451E-01
