lambda	O-ray n	O-ray k (Wenrich and Christensen, 1996)
12.3	1.02	0.415
12.2	1.32	0.158
12.1	1.46	9.91E-02
12	1.58	6.43E-02
11.9	1.64	5.10E-02
11.8	1.71	4.06E-02
11.7	1.76	3.46E-02
11.6	1.81	3.09E-02
11.5	1.84	2.91E-02
11.4	1.87	2.76E-02
11.3	1.91	2.68E-02
11.2	1.95	2.64E-02
11.1	1.98	2.65E-02
11	2.01	2.69E-02
10.9	2.06	2.78E-02
10.8	2.1	2.89E-02
10.7	2.15	3.06E-02
10.6	2.19	3.24E-02
10.5	2.25	3.51E-02
10.4	2.3	3.79E-02
10.3	2.38	4.32E-02
10.2	2.45	4.78E-02
10.1	2.55	5.53E-02
10	2.69	6.80E-02
9.9	2.84	8.36E-02
9.8	3.03	0.107
9.71	3.29	0.146
9.62	3.67	0.218
9.52	4.28	0.378
9.43	5.45	0.887
9.35	6.76	6.15
9.26	1.3	5.57
9.17	0.513	3.99
9.09	0.299	3.17
9.01	0.209	2.64
8.93	0.157	2.2
8.85	0.135	1.91
8.77	0.126	1.67
8.7	0.135	1.44
8.62	0.263	1.18
8.55	0.261	1.4
8.47	0.119	1.13
8.4	0.11	0.957
8.33	0.113	0.806
8.26	0.125	0.658
8.2	0.15	0.505
8.13	0.227	0.307
8.06	0.357	0.183
8	0.481	0.128
7.94	0.578	0.101
7.87	0.654	8.46E-02
7.81	0.717	7.34E-02
7.75	0.781	6.36E-02
7.69	0.825	5.74E-02
7.63	0.864	5.23E-02
7.58	0.899	4.80E-02
7.52	0.93	4.43E-02
7.46	0.963	4.05E-02
7.41	0.988	3.77E-02
7.35	1.01	3.52E-02
7.3	1.03	3.30E-02
7.25	1.05	3.09E-02
7.19	1.07	2.87E-02
7.14	1.09	2.71E-02
7.09	1.1	2.56E-02
7.04	1.12	2.41E-02
6.99	1.13	2.28E-02
6.94	1.15	2.16E-02
6.9	1.16	2.03E-02
6.85	1.17	1.93E-02
6.8	1.18	1.83E-02
6.76	1.19	1.74E-02
6.71	1.2	1.66E-02
6.67	1.21	1.56E-02
6.62	1.22	1.49E-02
6.58	1.23	1.42E-02
6.54	1.24	1.36E-02
6.49	1.24	1.30E-02
6.45	1.25	1.25E-02
6.41	1.26	1.18E-02
6.37	1.26	1.13E-02
6.33	1.27	1.09E-02
6.29	1.28	1.04E-02
6.25	1.28	1.00E-02
6.21	1.29	9.54E-03
6.17	1.29	9.17E-03
6.13	1.3	8.83E-03
6.1	1.3	8.50E-03
6.06	1.31	8.18E-03
6.02	1.31	7.89E-03
5.99	1.32	7.55E-03
5.95	1.32	7.28E-03
5.92	1.33	7.03E-03
5.88	1.33	6.79E-03
5.85	1.33	6.56E-03
5.81	1.34	6.30E-03
5.78	1.34	6.09E-03
5.75	1.35	5.90E-03
5.71	1.35	5.71E-03
5.68	1.35	5.53E-03
5.65	1.36	5.32E-03
5.62	1.36	5.16E-03
5.59	1.36	5.00E-03
5.56	1.36	4.85E-03
5.52	1.37	4.71E-03
5.49	1.37	4.57E-03
5.46	1.37	4.42E-03
5.43	1.38	4.29E-03
5.41	1.38	4.17E-03
5.38	1.38	4.06E-03
5.35	1.38	3.94E-03
5.32	1.39	3.82E-03
5.29	1.39	3.71E-03
5.26	1.39	3.62E-03
5.24	1.39	3.52E-03
5.21	1.39	3.43E-03
5.18	1.4	3.34E-03
5.15	1.4	3.24E-03
5.13	1.4	3.16E-03
5.1	1.4	3.08E-03
5.08	1.4	3.01E-03
5.05	1.41	2.93E-03
5.03	1.41	2.85E-03
5	1.41	2.78E-03
