Calcite Ordinary ray calculated from values derived from Table 1 of 
Long et al., IR Physics, 34, 191, 1993.

high frequency dielectric constant=2.6250
 oscillator  frequency    gamma       stength
      1     1.0410E+02 5.8000E-02  2.7751E+00
      2     2.2330E+02 5.4000E-02  9.4000E-01
      3     2.9560E+02 4.5700E-02  1.6657E+00
      4     7.1320E+02 1.0500E-02  1.7500E-02
      5     1.4068E+03 6.0000E-03  5.5070E-01
  frequency  Reflectance real index   imag. index
 3.6440E+03  5.1164E-02  1.5846E+00   1.0120E-04
 3.6400E+03  5.1152E-02  1.5845E+00   1.0161E-04
 3.6360E+03  5.1140E-02  1.5844E+00   1.0201E-04
 3.6320E+03  5.1127E-02  1.5844E+00   1.0242E-04
 3.6280E+03  5.1115E-02  1.5843E+00   1.0283E-04
 3.6240E+03  5.1102E-02  1.5842E+00   1.0325E-04
 3.6200E+03  5.1090E-02  1.5841E+00   1.0366E-04
 3.6160E+03  5.1077E-02  1.5840E+00   1.0408E-04
 3.6120E+03  5.1064E-02  1.5839E+00   1.0450E-04
 3.6080E+03  5.1052E-02  1.5838E+00   1.0493E-04
 3.6040E+03  5.1039E-02  1.5837E+00   1.0535E-04
 3.6000E+03  5.1026E-02  1.5836E+00   1.0578E-04
 3.5960E+03  5.1013E-02  1.5835E+00   1.0621E-04
 3.5920E+03  5.1000E-02  1.5834E+00   1.0664E-04
 3.5880E+03  5.0987E-02  1.5833E+00   1.0708E-04
 3.5840E+03  5.0974E-02  1.5832E+00   1.0751E-04
 3.5800E+03  5.0961E-02  1.5831E+00   1.0795E-04
 3.5760E+03  5.0948E-02  1.5830E+00   1.0840E-04
 3.5720E+03  5.0935E-02  1.5829E+00   1.0884E-04
 3.5680E+03  5.0922E-02  1.5828E+00   1.0929E-04
 3.5640E+03  5.0908E-02  1.5827E+00   1.0974E-04
 3.5600E+03  5.0895E-02  1.5826E+00   1.1019E-04
 3.5560E+03  5.0882E-02  1.5825E+00   1.1065E-04
 3.5520E+03  5.0868E-02  1.5824E+00   1.1111E-04
 3.5480E+03  5.0855E-02  1.5823E+00   1.1157E-04
 3.5440E+03  5.0841E-02  1.5822E+00   1.1203E-04
 3.5400E+03  5.0827E-02  1.5821E+00   1.1250E-04
 3.5360E+03  5.0814E-02  1.5820E+00   1.1297E-04
 3.5320E+03  5.0800E-02  1.5819E+00   1.1344E-04
 3.5280E+03  5.0786E-02  1.5818E+00   1.1391E-04
 3.5240E+03  5.0772E-02  1.5817E+00   1.1439E-04
 3.5200E+03  5.0758E-02  1.5816E+00   1.1487E-04
 3.5160E+03  5.0744E-02  1.5815E+00   1.1535E-04
 3.5120E+03  5.0730E-02  1.5814E+00   1.1584E-04
 3.5080E+03  5.0716E-02  1.5813E+00   1.1632E-04
 3.5040E+03  5.0702E-02  1.5812E+00   1.1682E-04
 3.5000E+03  5.0688E-02  1.5811E+00   1.1731E-04
 3.4960E+03  5.0674E-02  1.5810E+00   1.1781E-04
 3.4920E+03  5.0659E-02  1.5809E+00   1.1831E-04
 3.4880E+03  5.0645E-02  1.5808E+00   1.1881E-04
 3.4840E+03  5.0631E-02  1.5807E+00   1.1932E-04
 3.4800E+03  5.0616E-02  1.5806E+00   1.1983E-04
 3.4760E+03  5.0601E-02  1.5805E+00   1.2034E-04
 3.4720E+03  5.0587E-02  1.5804E+00   1.2085E-04
 3.4680E+03  5.0572E-02  1.5803E+00   1.2137E-04
 3.4640E+03  5.0557E-02  1.5801E+00   1.2189E-04
 3.4600E+03  5.0543E-02  1.5800E+00   1.2242E-04
 3.4560E+03  5.0528E-02  1.5799E+00   1.2295E-04
 3.4520E+03  5.0513E-02  1.5798E+00   1.2348E-04
 3.4480E+03  5.0498E-02  1.5797E+00   1.2401E-04
 3.4440E+03  5.0483E-02  1.5796E+00   1.2455E-04
 3.4400E+03  5.0467E-02  1.5795E+00   1.2509E-04
 3.4360E+03  5.0452E-02  1.5794E+00   1.2563E-04
 3.4320E+03  5.0437E-02  1.5793E+00   1.2618E-04
 3.4280E+03  5.0422E-02  1.5791E+00   1.2673E-04
 3.4240E+03  5.0406E-02  1.5790E+00   1.2729E-04
 3.4200E+03  5.0391E-02  1.5789E+00   1.2784E-04
 3.4160E+03  5.0375E-02  1.5788E+00   1.2840E-04
 3.4120E+03  5.0360E-02  1.5787E+00   1.2897E-04
 3.4080E+03  5.0344E-02  1.5786E+00   1.2954E-04
 3.4040E+03  5.0328E-02  1.5784E+00   1.3011E-04
 3.4000E+03  5.0312E-02  1.5783E+00   1.3068E-04
 3.3960E+03  5.0296E-02  1.5782E+00   1.3126E-04
 3.3920E+03  5.0280E-02  1.5781E+00   1.3184E-04
 3.3880E+03  5.0264E-02  1.5780E+00   1.3243E-04
 3.3840E+03  5.0248E-02  1.5779E+00   1.3302E-04
 3.3800E+03  5.0232E-02  1.5777E+00   1.3361E-04
 3.3760E+03  5.0216E-02  1.5776E+00   1.3421E-04
 3.3720E+03  5.0200E-02  1.5775E+00   1.3481E-04
 3.3680E+03  5.0183E-02  1.5774E+00   1.3541E-04
 3.3640E+03  5.0167E-02  1.5773E+00   1.3602E-04
 3.3600E+03  5.0150E-02  1.5771E+00   1.3663E-04
 3.3560E+03  5.0134E-02  1.5770E+00   1.3725E-04
 3.3520E+03  5.0117E-02  1.5769E+00   1.3787E-04
 3.3480E+03  5.0100E-02  1.5768E+00   1.3849E-04
 3.3440E+03  5.0083E-02  1.5766E+00   1.3912E-04
 3.3400E+03  5.0066E-02  1.5765E+00   1.3975E-04
 3.3360E+03  5.0049E-02  1.5764E+00   1.4039E-04
 3.3320E+03  5.0032E-02  1.5763E+00   1.4103E-04
 3.3280E+03  5.0015E-02  1.5761E+00   1.4167E-04
 3.3240E+03  4.9998E-02  1.5760E+00   1.4232E-04
 3.3200E+03  4.9981E-02  1.5759E+00   1.4297E-04
 3.3160E+03  4.9963E-02  1.5757E+00   1.4363E-04
 3.3120E+03  4.9946E-02  1.5756E+00   1.4429E-04
 3.3080E+03  4.9928E-02  1.5755E+00   1.4495E-04
 3.3040E+03  4.9911E-02  1.5754E+00   1.4562E-04
 3.3000E+03  4.9893E-02  1.5752E+00   1.4630E-04
 3.2960E+03  4.9875E-02  1.5751E+00   1.4697E-04
 3.2920E+03  4.9857E-02  1.5750E+00   1.4766E-04
 3.2880E+03  4.9840E-02  1.5748E+00   1.4834E-04
 3.2840E+03  4.9822E-02  1.5747E+00   1.4903E-04
 3.2800E+03  4.9803E-02  1.5746E+00   1.4973E-04
 3.2760E+03  4.9785E-02  1.5744E+00   1.5043E-04
 3.2720E+03  4.9767E-02  1.5743E+00   1.5114E-04
 3.2680E+03  4.9749E-02  1.5741E+00   1.5185E-04
 3.2640E+03  4.9730E-02  1.5740E+00   1.5256E-04
 3.2600E+03  4.9712E-02  1.5739E+00   1.5328E-04
 3.2560E+03  4.9693E-02  1.5737E+00   1.5400E-04
 3.2520E+03  4.9674E-02  1.5736E+00   1.5473E-04
 3.2480E+03  4.9656E-02  1.5735E+00   1.5547E-04
 3.2440E+03  4.9637E-02  1.5733E+00   1.5621E-04
 3.2400E+03  4.9618E-02  1.5732E+00   1.5695E-04
 3.2360E+03  4.9599E-02  1.5730E+00   1.5770E-04
 3.2320E+03  4.9579E-02  1.5729E+00   1.5845E-04
 3.2280E+03  4.9560E-02  1.5727E+00   1.5921E-04
 3.2240E+03  4.9541E-02  1.5726E+00   1.5998E-04
 3.2200E+03  4.9521E-02  1.5725E+00   1.6075E-04
 3.2160E+03  4.9502E-02  1.5723E+00   1.6152E-04
 3.2120E+03  4.9482E-02  1.5722E+00   1.6230E-04
 3.2080E+03  4.9463E-02  1.5720E+00   1.6308E-04
 3.2040E+03  4.9443E-02  1.5719E+00   1.6387E-04
 3.2000E+03  4.9423E-02  1.5717E+00   1.6467E-04
 3.1960E+03  4.9403E-02  1.5716E+00   1.6547E-04
 3.1920E+03  4.9383E-02  1.5714E+00   1.6628E-04
 3.1880E+03  4.9363E-02  1.5713E+00   1.6709E-04
 3.1840E+03  4.9342E-02  1.5711E+00   1.6791E-04
 3.1800E+03  4.9322E-02  1.5710E+00   1.6873E-04
 3.1760E+03  4.9301E-02  1.5708E+00   1.6956E-04
 3.1720E+03  4.9281E-02  1.5707E+00   1.7040E-04
 3.1680E+03  4.9260E-02  1.5705E+00   1.7124E-04
 3.1640E+03  4.9239E-02  1.5704E+00   1.7209E-04
 3.1600E+03  4.9219E-02  1.5702E+00   1.7294E-04
 3.1560E+03  4.9198E-02  1.5701E+00   1.7380E-04
 3.1520E+03  4.9176E-02  1.5699E+00   1.7466E-04
 3.1480E+03  4.9155E-02  1.5697E+00   1.7553E-04
 3.1440E+03  4.9134E-02  1.5696E+00   1.7641E-04
 3.1400E+03  4.9113E-02  1.5694E+00   1.7729E-04
 3.1360E+03  4.9091E-02  1.5693E+00   1.7818E-04
 3.1320E+03  4.9069E-02  1.5691E+00   1.7908E-04
 3.1280E+03  4.9048E-02  1.5689E+00   1.7998E-04
 3.1240E+03  4.9026E-02  1.5688E+00   1.8089E-04
 3.1200E+03  4.9004E-02  1.5686E+00   1.8181E-04
 3.1160E+03  4.8982E-02  1.5684E+00   1.8273E-04
 3.1120E+03  4.8960E-02  1.5683E+00   1.8366E-04
 3.1080E+03  4.8937E-02  1.5681E+00   1.8459E-04
 3.1040E+03  4.8915E-02  1.5679E+00   1.8553E-04
 3.1000E+03  4.8892E-02  1.5678E+00   1.8648E-04
 3.0960E+03  4.8870E-02  1.5676E+00   1.8744E-04
 3.0920E+03  4.8847E-02  1.5674E+00   1.8840E-04
 3.0880E+03  4.8824E-02  1.5673E+00   1.8937E-04
 3.0840E+03  4.8801E-02  1.5671E+00   1.9035E-04
 3.0800E+03  4.8778E-02  1.5669E+00   1.9133E-04
 3.0760E+03  4.8755E-02  1.5668E+00   1.9232E-04
 3.0720E+03  4.8732E-02  1.5666E+00   1.9332E-04
 3.0680E+03  4.8708E-02  1.5664E+00   1.9433E-04
 3.0640E+03  4.8685E-02  1.5662E+00   1.9534E-04
 3.0600E+03  4.8661E-02  1.5661E+00   1.9636E-04
 3.0560E+03  4.8637E-02  1.5659E+00   1.9739E-04
 3.0520E+03  4.8613E-02  1.5657E+00   1.9843E-04
 3.0480E+03  4.8589E-02  1.5655E+00   1.9947E-04
 3.0440E+03  4.8565E-02  1.5653E+00   2.0052E-04
 3.0400E+03  4.8541E-02  1.5652E+00   2.0158E-04
 3.0360E+03  4.8516E-02  1.5650E+00   2.0265E-04
 3.0320E+03  4.8492E-02  1.5648E+00   2.0373E-04
 3.0280E+03  4.8467E-02  1.5646E+00   2.0481E-04
 3.0240E+03  4.8442E-02  1.5644E+00   2.0590E-04
 3.0200E+03  4.8417E-02  1.5642E+00   2.0700E-04
 3.0160E+03  4.8392E-02  1.5640E+00   2.0811E-04
 3.0120E+03  4.8367E-02  1.5639E+00   2.0923E-04
 3.0080E+03  4.8342E-02  1.5637E+00   2.1036E-04
 3.0040E+03  4.8316E-02  1.5635E+00   2.1149E-04
 3.0000E+03  4.8290E-02  1.5633E+00   2.1263E-04
 2.9960E+03  4.8265E-02  1.5631E+00   2.1379E-04
 2.9920E+03  4.8239E-02  1.5629E+00   2.1495E-04
 2.9880E+03  4.8213E-02  1.5627E+00   2.1612E-04
 2.9840E+03  4.8187E-02  1.5625E+00   2.1730E-04
 2.9800E+03  4.8160E-02  1.5623E+00   2.1848E-04
 2.9760E+03  4.8134E-02  1.5621E+00   2.1968E-04
 2.9720E+03  4.8107E-02  1.5619E+00   2.2089E-04
 2.9680E+03  4.8080E-02  1.5617E+00   2.2210E-04
