Calcite Extraordinary ray calculated from values derived from Table 2 
of Long et al., IR Physics, 34, 191, 1993.

high frequency dielectric constant=2.1700
 oscillator  frequency    gamma       strength
      1     9.4600E+01 7.1800E-02  4.6412E+00
      2     3.0490E+02 3.4300E-02  1.3350E+00
      3     8.7080E+02 1.8000E-03  8.1700E-02
  frequency  Reflectance real index   imag. index
 3.6360E+03  3.5850E-02  1.4671E+00   1.2110E-05
 3.6320E+03  3.5848E-02  1.4671E+00   1.2151E-05
 3.6280E+03  3.5846E-02  1.4671E+00   1.2192E-05
 3.6240E+03  3.5844E-02  1.4671E+00   1.2233E-05
 3.6200E+03  3.5843E-02  1.4671E+00   1.2274E-05
 3.6160E+03  3.5841E-02  1.4671E+00   1.2315E-05
 3.6120E+03  3.5839E-02  1.4670E+00   1.2357E-05
 3.6080E+03  3.5838E-02  1.4670E+00   1.2399E-05
 3.6040E+03  3.5836E-02  1.4670E+00   1.2441E-05
 3.6000E+03  3.5834E-02  1.4670E+00   1.2483E-05
 3.5960E+03  3.5832E-02  1.4670E+00   1.2525E-05
 3.5920E+03  3.5831E-02  1.4670E+00   1.2568E-05
 3.5880E+03  3.5829E-02  1.4670E+00   1.2611E-05
 3.5840E+03  3.5827E-02  1.4669E+00   1.2654E-05
 3.5800E+03  3.5826E-02  1.4669E+00   1.2697E-05
 3.5760E+03  3.5824E-02  1.4669E+00   1.2740E-05
 3.5720E+03  3.5822E-02  1.4669E+00   1.2784E-05
 3.5680E+03  3.5820E-02  1.4669E+00   1.2827E-05
 3.5640E+03  3.5818E-02  1.4669E+00   1.2871E-05
 3.5600E+03  3.5817E-02  1.4669E+00   1.2915E-05
 3.5560E+03  3.5815E-02  1.4668E+00   1.2960E-05
 3.5520E+03  3.5813E-02  1.4668E+00   1.3004E-05
 3.5480E+03  3.5811E-02  1.4668E+00   1.3049E-05
 3.5440E+03  3.5809E-02  1.4668E+00   1.3094E-05
 3.5400E+03  3.5808E-02  1.4668E+00   1.3139E-05
 3.5360E+03  3.5806E-02  1.4668E+00   1.3185E-05
 3.5320E+03  3.5804E-02  1.4668E+00   1.3230E-05
 3.5280E+03  3.5802E-02  1.4667E+00   1.3276E-05
 3.5240E+03  3.5800E-02  1.4667E+00   1.3322E-05
 3.5200E+03  3.5798E-02  1.4667E+00   1.3368E-05
 3.5160E+03  3.5797E-02  1.4667E+00   1.3415E-05
 3.5120E+03  3.5795E-02  1.4667E+00   1.3461E-05
 3.5080E+03  3.5793E-02  1.4667E+00   1.3508E-05
 3.5040E+03  3.5791E-02  1.4667E+00   1.3555E-05
 3.5000E+03  3.5789E-02  1.4666E+00   1.3602E-05
 3.4960E+03  3.5787E-02  1.4666E+00   1.3650E-05
 3.4920E+03  3.5785E-02  1.4666E+00   1.3698E-05
 3.4880E+03  3.5783E-02  1.4666E+00   1.3746E-05
 3.4840E+03  3.5782E-02  1.4666E+00   1.3794E-05
 3.4800E+03  3.5780E-02  1.4666E+00   1.3842E-05
 3.4760E+03  3.5778E-02  1.4665E+00   1.3891E-05
 3.4720E+03  3.5776E-02  1.4665E+00   1.3940E-05
 3.4680E+03  3.5774E-02  1.4665E+00   1.3989E-05
 3.4640E+03  3.5772E-02  1.4665E+00   1.4038E-05
 3.4600E+03  3.5770E-02  1.4665E+00   1.4088E-05
 3.4560E+03  3.5768E-02  1.4665E+00   1.4138E-05
 3.4520E+03  3.5766E-02  1.4665E+00   1.4188E-05
 3.4480E+03  3.5764E-02  1.4664E+00   1.4238E-05
 3.4440E+03  3.5762E-02  1.4664E+00   1.4289E-05
 3.4400E+03  3.5760E-02  1.4664E+00   1.4339E-05
 3.4360E+03  3.5758E-02  1.4664E+00   1.4390E-05
 3.4320E+03  3.5756E-02  1.4664E+00   1.4442E-05
 3.4280E+03  3.5754E-02  1.4664E+00   1.4493E-05
 3.4240E+03  3.5752E-02  1.4663E+00   1.4545E-05
 3.4200E+03  3.5750E-02  1.4663E+00   1.4597E-05
 3.4160E+03  3.5748E-02  1.4663E+00   1.4649E-05
 3.4120E+03  3.5746E-02  1.4663E+00   1.4702E-05
 3.4080E+03  3.5744E-02  1.4663E+00   1.4754E-05
 3.4040E+03  3.5742E-02  1.4663E+00   1.4807E-05
 3.4000E+03  3.5740E-02  1.4662E+00   1.4861E-05
 3.3960E+03  3.5738E-02  1.4662E+00   1.4914E-05
 3.3920E+03  3.5736E-02  1.4662E+00   1.4968E-05
 3.3880E+03  3.5734E-02  1.4662E+00   1.5022E-05
 3.3840E+03  3.5732E-02  1.4662E+00   1.5076E-05
 3.3800E+03  3.5730E-02  1.4662E+00   1.5131E-05
 3.3760E+03  3.5727E-02  1.4661E+00   1.5186E-05
 3.3720E+03  3.5725E-02  1.4661E+00   1.5241E-05
 3.3680E+03  3.5723E-02  1.4661E+00   1.5296E-05
 3.3640E+03  3.5721E-02  1.4661E+00   1.5352E-05
 3.3600E+03  3.5719E-02  1.4661E+00   1.5408E-05
 3.3560E+03  3.5717E-02  1.4661E+00   1.5464E-05
 3.3520E+03  3.5715E-02  1.4660E+00   1.5520E-05
 3.3480E+03  3.5712E-02  1.4660E+00   1.5577E-05
 3.3440E+03  3.5710E-02  1.4660E+00   1.5634E-05
 3.3400E+03  3.5708E-02  1.4660E+00   1.5691E-05
 3.3360E+03  3.5706E-02  1.4660E+00   1.5749E-05
 3.3320E+03  3.5704E-02  1.4660E+00   1.5807E-05
 3.3280E+03  3.5702E-02  1.4659E+00   1.5865E-05
