data provided by Paul Lucey in 2006
derived using techniques of Lucey 1998
Forsterite, Fo= 92.0000
minimum grain size (microns)= 74.0000
maximum grain size=(microns) 250.000
column 1= wavelength, micrometers
column 2= real index
column 3= imaginary index
 
     0.221100      1.65036  0.000119735
     0.229100      1.65036  0.000136430
     0.236100      1.65036  0.000162600
     0.242100      1.65036  0.000176070
     0.248100      1.65036  0.000199829
     0.253600      1.65036  0.000208422
     0.258600      1.65036  0.000222739
     0.263600      1.65036  0.000231167
     0.268600      1.65036  0.000237965
     0.273100      1.65036  0.000235927
     0.277100      1.65036  0.000235425
     0.281100      1.65036  0.000240223
     0.285100      1.65036  0.000234093
     0.289100      1.65036  0.000229329
     0.293100      1.65036  0.000226483
     0.297100      1.65036  0.000214863
     0.301100      1.65036  0.000207207
     0.305100      1.65036  0.000201298
     0.309100      1.65036  0.000184433
     0.313100      1.65036  0.000171004
     0.317100      1.65036  0.000156353
     0.321100      1.65036  0.000139028
     0.325100      1.65036  0.000123641
     0.329100      1.65036  0.000107453
     0.333100      1.65036 9.21039e-005
     0.337100      1.65036 7.96924e-005
     0.341100      1.65036 6.87663e-005
     0.345100      1.65036 5.97855e-005
     0.349100      1.65036 5.27776e-005
     0.353100      1.65036 4.74245e-005
     0.357100      1.65036 4.27115e-005
     0.360600      1.65036 3.96064e-005
     0.363600      1.65036 3.71894e-005
     0.366600      1.65036 3.56921e-005
     0.369600      1.65036 3.42158e-005
     0.372600      1.65036 3.35327e-005
     0.375600      1.65036 3.29376e-005
     0.378600      1.65036 3.26515e-005
     0.381100      1.65036 3.24310e-005
     0.383100      1.65036 3.21399e-005
     0.385100      1.65036 3.19869e-005
     0.387100      1.65036 3.17078e-005
     0.389100      1.65036 3.13728e-005
     0.391100      1.65036 3.10247e-005
     0.393100      1.65036 3.06486e-005
     0.395100      1.65036 3.05446e-005
     0.397100      1.65036 2.95624e-005
     0.399100      1.65036 2.91093e-005
     0.401100      1.65036 2.90683e-005
     0.403100      1.65036 2.93474e-005
     0.405100      1.65036 2.82161e-005
     0.407100      1.65036 2.72204e-005
     0.409100      1.65036 2.67233e-005
     0.411100      1.65036 2.65843e-005
     0.412800      1.65036 2.60562e-005
     0.415800      1.65036 2.57001e-005
     0.418800      1.65036 2.54801e-005
     0.421800      1.65036 2.54601e-005
     0.424800      1.65036 2.51590e-005
     0.427800      1.65036 2.53751e-005
     0.430800      1.65036 2.50690e-005
     0.433800      1.65036 2.48490e-005
     0.436800      1.65036 2.48050e-005
     0.439800      1.65036 2.44029e-005
     0.442800      1.65036 2.41888e-005
     0.445800      1.65036 2.46849e-005
     0.448800      1.65036 2.50830e-005
     0.451300      1.65036 2.54321e-005
     0.453300      1.65036 2.54131e-005
     0.455300      1.65036 2.51580e-005
     0.457300      1.65036 2.49420e-005
     0.459300      1.65036 2.46719e-005
     0.461300      1.65036 2.42989e-005
     0.463300      1.65036 2.39258e-005
     0.465300      1.65036 2.36937e-005
     0.467300      1.65036 2.35637e-005
     0.469300      1.65036 2.36387e-005
     0.471300      1.65036 2.34677e-005
     0.473300      1.65036 2.35287e-005
     0.475300      1.65036 2.27906e-005
     0.477300      1.65036 2.21219e-005
     0.479300      1.65036 2.15828e-005
     0.481300      1.65036 2.13708e-005
     0.483300      1.65036 2.14348e-005
     0.485300      1.65036 2.14978e-005
     0.487300      1.65036 2.16378e-005
     0.489300      1.65036 2.17388e-005
     0.491300      1.65036 2.16618e-005
     0.493300      1.65036 2.13918e-005
     0.495300      1.65036 2.15048e-005
     0.497300      1.65036 2.10547e-005
     0.499300      1.65036 2.01155e-005
     0.501300      1.65036 1.92854e-005
     0.503300      1.65036 1.86472e-005
     0.505300      1.65036 1.82201e-005
     0.507300      1.65036 1.78661e-005
     0.509300      1.65036 1.75720e-005
     0.511300      1.65036 1.74830e-005
     0.513300      1.65036 1.72975e-005
     0.515300      1.65036 1.70734e-005
     0.517300      1.65036 1.69824e-005
     0.519300      1.65036 1.68784e-005
     0.521300      1.65036 1.66523e-005
     0.523300      1.65036 1.65593e-005
     0.525300      1.65036 1.64163e-005
     0.527300      1.65036 1.62362e-005
