Olivine data from Lucey, JGR-E, E1, 1703-1714, 1998
To calculate the real index use Eqn 8c, Lucey 1998

n_olv=1.827-[0.192 * Mg#], Mg # 0-1.0

to calculate the imaginary index, use columns 2 and 3 below

k_olv(lambda) = col 2 + [Mg# * col 3], data valid for Mg # 0. to 1.0

col 1 are wavelengths in micrometers
	col 1		col 2		col 3
     0.221100 -1.13412e-05  1.35007e-06
     0.602700  0.000370918 -3.80832e-06
     0.604300  0.000374532 -3.83928e-06
     0.605900  0.000376716 -3.86329e-06
     0.607500  0.000377653 -3.87133e-06
     0.609100  0.000378850 -3.88212e-06
     0.610700  0.000380844 -3.90180e-06
     0.612300  0.000381966 -3.90634e-06
     0.613900  0.000382240 -3.90622e-06
     0.615500  0.000383129 -3.90841e-06
     0.617100  0.000388779 -3.96451e-06
     0.618700  0.000388940 -3.96379e-06
     0.620300  0.000387093 -3.93709e-06
     0.621900  0.000389268 -3.96023e-06
     0.623500  0.000386081 -3.91771e-06
     0.625100  0.000387239 -3.92910e-06
     0.626700  0.000390333 -3.95144e-06
     0.628300  0.000387545 -3.91808e-06
     0.629900  0.000386452 -3.90186e-06
     0.631700  0.000386387 -3.89858e-06
     0.633700  0.000388823 -3.91611e-06
     0.635700  0.000384915 -3.87191e-06
     0.637700  0.000383015 -3.84589e-06
     0.639700  0.000381697 -3.83077e-06
     0.641700  0.000381085 -3.82129e-06
     0.643700  0.000382450 -3.83813e-06
     0.645700  0.000377434 -3.77524e-06
     0.647700  0.000372979 -3.72617e-06
     0.649700  0.000377304 -3.77288e-06
     0.651700  0.000372354 -3.71498e-06
     0.653700  0.000372166 -3.71576e-06
     0.655700  0.000371702 -3.71098e-06
     0.657700  0.000370763 -3.69660e-06
     0.659700  0.000371063 -3.69986e-06
     0.661700  0.000371911 -3.70480e-06
     0.663700  0.000372958 -3.71986e-06
     0.665700  0.000372248 -3.71109e-06
     0.667700  0.000375193 -3.73704e-06
     0.670200  0.000378968 -3.77737e-06
     0.673200  0.000381469 -3.79963e-06
     0.676200  0.000385614 -3.84632e-06
     0.679200  0.000391271 -3.90395e-06
     0.682200  0.000392482 -3.91303e-06
     0.685200  0.000397200 -3.94822e-06
     0.688200  0.000399915 -3.96938e-06
     0.691200  0.000405011 -4.01917e-06
     0.694200  0.000413188 -4.09329e-06
     0.697200  0.000415446 -4.11329e-06
     0.700200  0.000425246 -4.20815e-06
     0.702000  0.000425597 -4.21027e-06
     0.704000  0.000429212 -4.24391e-06
     0.706000  0.000434873 -4.29662e-06
     0.708000  0.000440905 -4.35669e-06
     0.710000  0.000448860 -4.43096e-06
     0.712000  0.000453322 -4.46880e-06
     0.714000  0.000461445 -4.55129e-06
     0.716000  0.000463017 -4.56266e-06
     0.718000  0.000468749 -4.61411e-06
     0.720000  0.000474107 -4.66817e-06
     0.722000  0.000478962 -4.70520e-06
     0.724000  0.000483986 -4.75376e-06
     0.726000  0.000487817 -4.78214e-06
     0.728000  0.000499607 -4.90404e-06
     0.730000  0.000505592 -4.95215e-06
     0.732000  0.000511948 -5.01585e-06
     0.734000  0.000519173 -5.07378e-06
     0.736000  0.000524976 -5.11949e-06
     0.738000  0.000531022 -5.17418e-06
     0.740000  0.000535017 -5.20365e-06
     0.742000  0.000548758 -5.33502e-06
     0.744000  0.000554816 -5.38989e-06
     0.746000  0.000561005 -5.43391e-06
     0.748000  0.000573487 -5.56293e-06
     0.750500  0.000583199 -5.63913e-06
     0.753500  0.000595921 -5.74996e-06
     0.756500  0.000607843 -5.85687e-06
     0.759500  0.000629444 -6.05400e-06
     0.762500  0.000640315 -6.14756e-06
     0.765500  0.000662345 -6.35103e-06
     0.768500  0.000672020 -6.42981e-06
     0.771500  0.000686956 -6.55947e-06
     0.774500  0.000711195 -6.78285e-06
     0.777500  0.000726872 -6.92778e-06
     0.781000  0.000752405 -7.15645e-06
     0.785000  0.000787280 -7.48193e-06
     0.789000  0.000810235 -7.68438e-06
     0.793000  0.000841324 -7.97295e-06
     0.797000  0.000872644 -8.27382e-06
     0.801500  0.000912823 -8.64827e-06
     0.806500  0.000963761 -9.13769e-06
     0.811500   0.00100481 -9.50880e-06
     0.816500   0.00105156 -9.95697e-06
     0.822000   0.00111417 -1.05518e-05
     0.828000   0.00116312 -1.10248e-05
     0.835000   0.00122828 -1.16502e-05
     0.843000   0.00132458 -1.25778e-05
     0.851000   0.00151139 -1.44594e-05
     0.859000   0.00156533 -1.49766e-05
     0.871000   0.00171854 -1.65275e-05
     0.883000   0.00186240 -1.78553e-05
     0.894000   0.00200110 -1.93148e-05
     0.904000   0.00207537 -1.99111e-05
     0.914000   0.00219230 -2.09751e-05
     0.924000   0.00228964 -2.17423e-05
     0.933000   0.00249753 -2.37241e-05
     0.941000   0.00256995 -2.42925e-05
     0.949000   0.00267849 -2.51048e-05
     0.957000   0.00282450 -2.62950e-05
     0.964000   0.00293460 -2.71912e-05
     0.970000   0.00302842 -2.78407e-05
     0.976000   0.00313304 -2.86593e-05
     0.982000   0.00327800 -2.99219e-05
     0.988000   0.00334011 -3.02886e-05
     0.994000   0.00348599 -3.15455e-05
      1.00000   0.00360296 -3.23641e-05
      1.00600   0.00373058 -3.34926e-05
      1.01200   0.00383319 -3.42878e-05
      1.01800   0.00394319 -3.51802e-05
      1.02350   0.00412457 -3.69549e-05
      1.02850   0.00417565 -3.73134e-05
      1.03350   0.00420628 -3.73155e-05
      1.03850   0.00432887 -3.84226e-05
      1.04350   0.00437283 -3.87362e-05
      1.04850   0.00457959 -4.09408e-05
      1.05350   0.00462542 -4.12484e-05
      1.05850   0.00475522 -4.25649e-05
      1.06350   0.00473027 -4.22428e-05
      1.06850   0.00494282 -4.48048e-05
      1.07350   0.00498088 -4.50385e-05
      1.07850   0.00502793 -4.58312e-05
      1.08350   0.00503803 -4.59857e-05
      1.08850   0.00512705 -4.67175e-05
      1.09350   0.00505625 -4.62481e-05
      1.09850   0.00499903 -4.57285e-05
      1.10350   0.00521217 -4.82618e-05
      1.10850   0.00516711 -4.79557e-05
      1.11350   0.00510000 -4.73026e-05
      1.11850   0.00517344 -4.83300e-05
      1.12350   0.00522066 -4.89242e-05
      1.12850   0.00509453 -4.77719e-05
      1.13350   0.00519374 -4.88463e-05
      1.13850   0.00511707 -4.81456e-05
      1.14350   0.00514907 -4.87009e-05
      1.14850   0.00509498 -4.80765e-05
      1.15350   0.00514007 -4.87367e-05
      1.15850   0.00510099 -4.84171e-05
      1.16350   0.00509660 -4.83169e-05
      1.16850   0.00505661 -4.79435e-05
      1.17350   0.00501557 -4.73726e-05
      1.17850   0.00511587 -4.86478e-05
      1.18350   0.00521193 -4.97157e-05
      1.18850   0.00515063 -4.90837e-05
      1.19350   0.00509265 -4.84364e-05
      1.19850   0.00517763 -4.94849e-05
      1.20350   0.00514202 -4.90680e-05
      1.20850   0.00524649 -5.04235e-05
      1.21350   0.00521210 -4.99165e-05
      1.21850   0.00523861 -5.01762e-05
      1.22350   0.00525648 -5.04697e-05
      1.22850   0.00532278 -5.13029e-05
      1.23350   0.00525143 -5.05224e-05
      1.23850   0.00532719 -5.12833e-05
      1.24350   0.00529597 -5.09076e-05
      1.24850   0.00540758 -5.24007e-05
      1.25350   0.00543538 -5.26127e-05
      1.25850   0.00549359 -5.34549e-05
      1.26350   0.00539839 -5.24396e-05
      1.26850   0.00554591 -5.40937e-05
      1.27350   0.00548924 -5.35452e-05
      1.27850   0.00546598 -5.33338e-05
      1.28350   0.00550114 -5.38906e-05
      1.28850   0.00558649 -5.49795e-05
      1.29350   0.00558039 -5.49878e-05
      1.29850   0.00556257 -5.48814e-05
      1.30350   0.00576276 -5.73192e-05
      1.30850   0.00555026 -5.48201e-05
      1.31350   0.00551161 -5.45515e-05
      1.31850   0.00560278 -5.57437e-05
      1.32350   0.00557944 -5.55934e-05
      1.32850   0.00553902 -5.53359e-05
      1.33350   0.00555505 -5.55404e-05
      1.33850   0.00553047 -5.54753e-05
      1.34350   0.00556447 -5.59838e-05
      1.34850   0.00559733 -5.66000e-05
      1.35350   0.00555352 -5.61966e-05
      1.35850   0.00549687 -5.56474e-05
      1.36350   0.00545424 -5.52831e-05
      1.36850   0.00541652 -5.50554e-05
      1.37350   0.00534790 -5.43508e-05
      1.37850   0.00532242 -5.43067e-05
      1.38350   0.00532450 -5.45386e-05
      1.38850   0.00513407 -5.23516e-05
      1.39350   0.00514929 -5.27717e-05
      1.39850   0.00513470 -5.28162e-05
      1.40350   0.00494817 -5.07520e-05
      1.40850   0.00497547 -5.12470e-05
      1.41350   0.00489969 -5.05669e-05
      1.41850   0.00475166 -4.90091e-05
      1.42350   0.00471050 -4.86711e-05
      1.42850   0.00463597 -4.79248e-05
      1.43350   0.00455645 -4.71941e-05
      1.43850   0.00440543 -4.55093e-05
      1.44350   0.00435950 -4.52663e-05
      1.44850   0.00428550 -4.44820e-05
      1.45350   0.00423496 -4.40373e-05
      1.45850   0.00413777 -4.30297e-05
