data provided by Paul Lucey in 2006
derived using techniques of Lucey 1998
Forsterite, Fo= 41.0000
minimum grain size (microns)= 0.000000
maximum grain size=(microns) 60.0000
column 1= wavelength, micrometers
column 2= real index
column 3= imaginary index
 
     0.221100      1.74828 1.82186e-006
     0.229100      1.74828 4.66963e-005
     0.236100      1.74828  0.000115345
     0.242100      1.74828  0.000158540
     0.248100      1.74828  0.000182430
     0.253600      1.74828  0.000195910
     0.258600      1.74828  0.000205425
     0.263600      1.74828  0.000213959
     0.268600      1.74828  0.000221884
     0.273100      1.74828  0.000228873
     0.277100      1.74828  0.000238258
     0.281100      1.74828  0.000243255
     0.285100      1.74828  0.000249506
     0.289100      1.74828  0.000254333
     0.293100      1.74828  0.000262777
     0.297100      1.74828  0.000267546
     0.301100      1.74828  0.000278924
     0.305100      1.74828  0.000278433
     0.309100      1.74828  0.000291132
     0.313100      1.74828  0.000295978
     0.317100      1.74828  0.000303559
     0.321100      1.74828  0.000304899
     0.325100      1.74828  0.000311217
     0.329100      1.74828  0.000314662
     0.333100      1.74828  0.000316550
     0.337100      1.74828  0.000313033
     0.341100      1.74828  0.000312295
     0.345100      1.74828  0.000309521
     0.349100      1.74828  0.000299684
     0.353100      1.74828  0.000324722
     0.357100      1.74828  0.000311014
     0.360600      1.74828  0.000303052
     0.363600      1.74828  0.000287226
     0.366600      1.74828  0.000272368
     0.369600      1.74828  0.000262419
     0.372600      1.74828  0.000247725
     0.375600      1.74828  0.000237183
     0.378600      1.74828  0.000225939
     0.381100      1.74828  0.000214253
     0.383100      1.74828  0.000207398
     0.385100      1.74828  0.000202032
     0.387100      1.74828  0.000197170
     0.389100      1.74828  0.000189226
     0.391100      1.74828  0.000185198
     0.393100      1.74828  0.000181756
     0.395100      1.74828  0.000177672
     0.397100      1.74828  0.000174753
     0.399100      1.74828  0.000172667
     0.401100      1.74828  0.000172792
     0.403100      1.74828  0.000172100
     0.405100      1.74828  0.000169569
     0.407100      1.74828  0.000163677
     0.409100      1.74828  0.000161418
     0.411100      1.74828  0.000152321
     0.412800      1.74828  0.000150162
     0.415800      1.74828  0.000148006
     0.418800      1.74828  0.000146116
     0.421800      1.74828  0.000144687
     0.424800      1.74828  0.000143117
     0.427800      1.74828  0.000143195
     0.430800      1.74828  0.000142931
     0.433800      1.74828  0.000141392
     0.436800      1.74828  0.000139514
     0.439800      1.74828  0.000138949
     0.442800      1.74828  0.000137978
     0.445800      1.74828  0.000138713
     0.448800      1.74828  0.000141188
     0.451300      1.74828  0.000143261
     0.453300      1.74828  0.000144648
     0.455300      1.74828  0.000143642
     0.457300      1.74828  0.000143520
     0.459300      1.74828  0.000142846
     0.461300      1.74828  0.000143057
     0.463300      1.74828  0.000139380
     0.465300      1.74828  0.000139982
     0.467300      1.74828  0.000138277
     0.469300      1.74828  0.000138665
     0.471300      1.74828  0.000137493
     0.473300      1.74828  0.000136385
     0.475300      1.74828  0.000133734
     0.477300      1.74828  0.000131229
     0.479300      1.74828  0.000127621
     0.481300      1.74828  0.000126908
     0.483300      1.74828  0.000126257
     0.485300      1.74828  0.000126713
     0.487300      1.74828  0.000127038
     0.489300      1.74828  0.000126242
     0.491300      1.74828  0.000126560
     0.493300      1.74828  0.000127805
     0.495300      1.74828  0.000128523
     0.497300      1.74828  0.000127839
     0.499300      1.74828  0.000126817
     0.501300      1.74828  0.000123941
     0.503300      1.74828  0.000122261
     0.505300      1.74828  0.000120256
     0.507300      1.74828  0.000116574
     0.509300      1.74828  0.000115166
     0.511300      1.74828  0.000113628
