Olivine, composition not given
calculated from the oscillator parameters given
by Mukai and Koike, Icarus, 87, 180-187, 1990
 wavelength    real       imaginary
 micrometers   index        index
 8.4890E+00  1.1544E+00   3.8764E-02
 8.5034E+00  1.1503E+00   3.9567E-02
 8.5179E+00  1.1462E+00   4.0401E-02
 8.5324E+00  1.1420E+00   4.1267E-02
 8.5470E+00  1.1377E+00   4.2169E-02
 8.5616E+00  1.1334E+00   4.3107E-02
 8.5763E+00  1.1290E+00   4.4085E-02
 8.5911E+00  1.1245E+00   4.5105E-02
 8.6059E+00  1.1199E+00   4.6168E-02
 8.6207E+00  1.1152E+00   4.7279E-02
 8.6356E+00  1.1105E+00   4.8441E-02
 8.6505E+00  1.1056E+00   4.9655E-02
 8.6655E+00  1.1007E+00   5.0927E-02
 8.6806E+00  1.0957E+00   5.2260E-02
 8.6957E+00  1.0906E+00   5.3657E-02
 8.7108E+00  1.0854E+00   5.5124E-02
 8.7260E+00  1.0800E+00   5.6665E-02
 8.7413E+00  1.0746E+00   5.8286E-02
 8.7566E+00  1.0691E+00   5.9992E-02
 8.7719E+00  1.0635E+00   6.1788E-02
 8.7873E+00  1.0578E+00   6.3682E-02
 8.8028E+00  1.0520E+00   6.5679E-02
 8.8183E+00  1.0462E+00   6.7785E-02
 8.8339E+00  1.0402E+00   7.0009E-02
 8.8496E+00  1.0341E+00   7.2359E-02
 8.8652E+00  1.0279E+00   7.4839E-02
 8.8810E+00  1.0217E+00   7.7457E-02
 8.8968E+00  1.0153E+00   8.0224E-02
 8.9127E+00  1.0089E+00   8.3141E-02
 8.9286E+00  1.0025E+00   8.6213E-02
 8.9445E+00  9.9597E-01   8.9447E-02
 8.9606E+00  9.8942E-01   9.2843E-02
 8.9767E+00  9.8286E-01   9.6401E-02
 8.9928E+00  9.7629E-01   1.0012E-01
 9.0090E+00  9.6972E-01   1.0398E-01
 9.0253E+00  9.6318E-01   1.0798E-01
 9.0416E+00  9.5668E-01   1.1209E-01
 9.0580E+00  9.5022E-01   1.1630E-01
 9.0744E+00  9.4382E-01   1.2058E-01
 9.0909E+00  9.3746E-01   1.2488E-01
 9.1075E+00  9.3114E-01   1.2918E-01
 9.1241E+00  9.2484E-01   1.3344E-01
 9.1408E+00  9.1853E-01   1.3761E-01
 9.1575E+00  9.1216E-01   1.4168E-01
 9.1743E+00  9.0567E-01   1.4560E-01
 9.1912E+00  8.9900E-01   1.4937E-01
 9.2081E+00  8.9209E-01   1.5299E-01
 9.2251E+00  8.8485E-01   1.5648E-01
 9.2421E+00  8.7720E-01   1.5986E-01
 9.2593E+00  8.6909E-01   1.6318E-01
 9.2764E+00  8.6043E-01   1.6650E-01
 9.2937E+00  8.5120E-01   1.6988E-01
 9.3110E+00  8.4132E-01   1.7341E-01
 9.3284E+00  8.3078E-01   1.7718E-01
 9.3458E+00  8.1955E-01   1.8125E-01
 9.3633E+00  8.0760E-01   1.8573E-01
 9.3809E+00  7.9493E-01   1.9071E-01
 9.3985E+00  7.8153E-01   1.9628E-01
 9.4162E+00  7.6741E-01   2.0254E-01
 9.4340E+00  7.5257E-01   2.0959E-01
 9.4518E+00  7.3702E-01   2.1756E-01
 9.4697E+00  7.2080E-01   2.2656E-01
 9.4877E+00  7.0392E-01   2.3671E-01
 9.5057E+00  6.8644E-01   2.4817E-01
 9.5238E+00  6.6842E-01   2.6109E-01
 9.5420E+00  6.4997E-01   2.7564E-01
 9.5602E+00  6.3120E-01   2.9199E-01
 9.5785E+00  6.1232E-01   3.1031E-01
 9.5969E+00  5.9353E-01   3.3077E-01
 9.6154E+00  5.7511E-01   3.5348E-01
 9.6339E+00  5.5739E-01   3.7849E-01
 9.6525E+00  5.4071E-01   4.0585E-01
 9.6712E+00  5.2543E-01   4.3545E-01
 9.6899E+00  5.1187E-01   4.6715E-01
 9.7087E+00  5.0030E-01   5.0074E-01
 9.7276E+00  4.9095E-01   5.3597E-01
 9.7466E+00  4.8395E-01   5.7257E-01
 9.7656E+00  4.7940E-01   6.1030E-01
 9.7847E+00  4.7735E-01   6.4899E-01
 9.8039E+00  4.7785E-01   6.8841E-01
 9.8232E+00  4.8095E-01   7.2845E-01
 9.8425E+00  4.8671E-01   7.6900E-01
 9.8619E+00  4.9521E-01   8.0993E-01
 9.8814E+00  5.0661E-01   8.5115E-01
 9.9010E+00  5.2106E-01   8.9254E-01
 9.9206E+00  5.3881E-01   9.3395E-01
 9.9404E+00  5.6010E-01   9.7514E-01
 9.9602E+00  5.8525E-01   1.0158E+00
 9.9800E+00  6.1463E-01   1.0557E+00
 1.0000E+01  6.4858E-01   1.0941E+00
 1.0020E+01  6.8745E-01   1.1303E+00
 1.0040E+01  7.3149E-01   1.1635E+00
 1.0060E+01  7.8079E-01   1.1924E+00
 1.0081E+01  8.3518E-01   1.2157E+00
 1.0101E+01  8.9398E-01   1.2317E+00
 1.0121E+01  9.5606E-01   1.2388E+00
 1.0142E+01  1.0195E+00   1.2357E+00
 1.0163E+01  1.0818E+00   1.2213E+00
 1.0183E+01  1.1399E+00   1.1957E+00
 1.0204E+01  1.1908E+00   1.1599E+00
 1.0225E+01  1.2319E+00   1.1160E+00
 1.0246E+01  1.2613E+00   1.0670E+00
 1.0267E+01  1.2783E+00   1.0162E+00
 1.0288E+01  1.2835E+00   9.6687E-01
 1.0309E+01  1.2780E+00   9.2182E-01
 1.0331E+01  1.2639E+00   8.8330E-01
 1.0352E+01  1.2434E+00   8.5300E-01
 1.0373E+01  1.2195E+00   8.3204E-01
 1.0395E+01  1.1953E+00   8.2079E-01
 1.0417E+01  1.1749E+00   8.1841E-01
 1.0438E+01  1.1625E+00   8.2182E-01
 1.0460E+01  1.1605E+00   8.2481E-01
 1.0482E+01  1.1667E+00   8.1909E-01
 1.0504E+01  1.1722E+00   7.9931E-01
 1.0526E+01  1.1663E+00   7.6834E-01
 1.0549E+01  1.1438E+00   7.3562E-01
 1.0571E+01  1.1070E+00   7.0994E-01
 1.0593E+01  1.0613E+00   6.9563E-01
 1.0616E+01  1.0116E+00   6.9342E-01
 1.0638E+01  9.6157E-01   7.0245E-01
 1.0661E+01  9.1334E-01   7.2141E-01
 1.0684E+01  8.6848E-01   7.4899E-01
 1.0707E+01  8.2827E-01   7.8373E-01
 1.0730E+01  7.9313E-01   8.2469E-01
 1.0753E+01  7.6376E-01   8.7050E-01
 1.0776E+01  7.4040E-01   9.1998E-01
 1.0799E+01  7.2316E-01   9.7183E-01
 1.0822E+01  7.1174E-01   1.0256E+00
 1.0846E+01  7.0601E-01   1.0802E+00
 1.0870E+01  7.0570E-01   1.1350E+00
 1.0893E+01  7.1045E-01   1.1892E+00
 1.0917E+01  7.1995E-01   1.2426E+00
 1.0941E+01  7.3377E-01   1.2944E+00
 1.0965E+01  7.5137E-01   1.3442E+00
 1.0989E+01  7.7205E-01   1.3916E+00
 1.1013E+01  7.9494E-01   1.4362E+00
 1.1037E+01  8.1897E-01   1.4781E+00
 1.1062E+01  8.4303E-01   1.5176E+00
 1.1086E+01  8.6620E-01   1.5559E+00
 1.1111E+01  8.8761E-01   1.5939E+00
 1.1136E+01  9.0735E-01   1.6339E+00
 1.1161E+01  9.2587E-01   1.6771E+00
 1.1186E+01  9.4464E-01   1.7256E+00
 1.1211E+01  9.6542E-01   1.7801E+00
 1.1236E+01  9.9038E-01   1.8412E+00
 1.1261E+01  1.0218E+00   1.9089E+00
 1.1287E+01  1.0618E+00   1.9824E+00
 1.1312E+01  1.1127E+00   2.0608E+00
 1.1338E+01  1.1768E+00   2.1430E+00
 1.1364E+01  1.2558E+00   2.2265E+00
 1.1389E+01  1.3525E+00   2.3092E+00
 1.1415E+01  1.4687E+00   2.3876E+00
 1.1442E+01  1.6063E+00   2.4569E+00
 1.1468E+01  1.7664E+00   2.5113E+00
 1.1494E+01  1.9476E+00   2.5428E+00
 1.1521E+01  2.1448E+00   2.5432E+00
 1.1547E+01  2.3513E+00   2.5048E+00
 1.1574E+01  2.5548E+00   2.4227E+00
 1.1601E+01  2.7391E+00   2.2986E+00
 1.1628E+01  2.8923E+00   2.1393E+00
 1.1655E+01  3.0049E+00   1.9583E+00
 1.1682E+01  3.0749E+00   1.7698E+00
 1.1710E+01  3.1061E+00   1.5859E+00
 1.1737E+01  3.1050E+00   1.4158E+00
 1.1765E+01  3.0793E+00   1.2643E+00
 1.1793E+01  3.0358E+00   1.1328E+00
 1.1820E+01  2.9799E+00   1.0226E+00
 1.1848E+01  2.9149E+00   9.3316E-01
 1.1877E+01  2.8432E+00   8.6612E-01
 1.1905E+01  2.7678E+00   8.2706E-01
 1.1933E+01  2.6978E+00   8.2865E-01
 1.1962E+01  2.6724E+00   8.8668E-01
 1.1990E+01  2.7790E+00   9.3847E-01
 1.2019E+01  2.9195E+00   8.0755E-01
 1.2048E+01  2.9066E+00   6.2376E-01
 1.2077E+01  2.8308E+00   5.0832E-01
 1.2107E+01  2.7542E+00   4.3892E-01
 1.2136E+01  2.6868E+00   3.9220E-01
 1.2165E+01  2.6279E+00   3.5744E-01
 1.2195E+01  2.5760E+00   3.2995E-01
 1.2225E+01  2.5292E+00   3.0707E-01
 1.2255E+01  2.4864E+00   2.8749E-01
 1.2285E+01  2.4470E+00   2.7047E-01
 1.2315E+01  2.4104E+00   2.5544E-01
 1.2346E+01  2.3762E+00   2.4207E-01
 1.2376E+01  2.3441E+00   2.3009E-01
 1.2407E+01  2.3137E+00   2.1927E-01
 1.2438E+01  2.2849E+00   2.0945E-01
 1.2469E+01  2.2575E+00   2.0053E-01
 1.2500E+01  2.2313E+00   1.9238E-01
 1.2531E+01  2.2064E+00   1.8494E-01
 1.2563E+01  2.1824E+00   1.7810E-01
 1.2595E+01  2.1594E+00   1.7181E-01
 1.2626E+01  2.1373E+00   1.6603E-01
 1.2658E+01  2.1160E+00   1.6071E-01
 1.2690E+01  2.0954E+00   1.5578E-01
 1.2723E+01  2.0756E+00   1.5125E-01
 1.2755E+01  2.0563E+00   1.4704E-01
 1.2788E+01  2.0376E+00   1.4315E-01
 1.2820E+01  2.0194E+00   1.3955E-01
 1.2854E+01  2.0017E+00   1.3621E-01
 1.2887E+01  1.9846E+00   1.3313E-01
 1.2920E+01  1.9678E+00   1.3027E-01
 1.2953E+01  1.9514E+00   1.2763E-01
 1.2987E+01  1.9355E+00   1.2519E-01
 1.3021E+01  1.9198E+00   1.2293E-01
 1.3055E+01  1.9045E+00   1.2085E-01
 1.3089E+01  1.8895E+00   1.1894E-01
 1.3123E+01  1.8747E+00   1.1718E-01
 1.3158E+01  1.8603E+00   1.1557E-01
 1.3193E+01  1.8461E+00   1.1410E-01
 1.3227E+01  1.8320E+00   1.1277E-01
 1.3263E+01  1.8182E+00   1.1157E-01
 1.3298E+01  1.8046E+00   1.1049E-01
 1.3333E+01  1.7911E+00   1.0953E-01
 1.3369E+01  1.7778E+00   1.0869E-01
 1.3405E+01  1.7647E+00   1.0796E-01
 1.3441E+01  1.7516E+00   1.0734E-01
 1.3477E+01  1.7387E+00   1.0683E-01
 1.3514E+01  1.7259E+00   1.0643E-01
 1.3550E+01  1.7132E+00   1.0614E-01
 1.3587E+01  1.7006E+00   1.0595E-01
 1.3624E+01  1.6880E+00   1.0587E-01
 1.3661E+01  1.6755E+00   1.0589E-01
 1.3699E+01  1.6630E+00   1.0603E-01
 1.3736E+01  1.6506E+00   1.0628E-01
 1.3774E+01  1.6382E+00   1.0664E-01
 1.3812E+01  1.6257E+00   1.0712E-01
 1.3850E+01  1.6133E+00   1.0773E-01
 1.3889E+01  1.6009E+00   1.0847E-01
 1.3928E+01  1.5885E+00   1.0934E-01
 1.3966E+01  1.5760E+00   1.1036E-01
 1.4006E+01  1.5635E+00   1.1154E-01
 1.4045E+01  1.5510E+00   1.1289E-01
 1.4085E+01  1.5384E+00   1.1442E-01
 1.4124E+01  1.5258E+00   1.1616E-01
 1.4164E+01  1.5131E+00   1.1810E-01
 1.4204E+01  1.5004E+00   1.2029E-01
 1.4245E+01  1.4877E+00   1.2274E-01
 1.4286E+01  1.4750E+00   1.2546E-01
 1.4327E+01  1.4623E+00   1.2847E-01
 1.4368E+01  1.4496E+00   1.3178E-01
 1.4409E+01  1.4371E+00   1.3539E-01
 1.4451E+01  1.4248E+00   1.3926E-01
 1.4493E+01  1.4127E+00   1.4334E-01
 1.4535E+01  1.4009E+00   1.4751E-01
 1.4577E+01  1.3894E+00   1.5166E-01
 1.4620E+01  1.3782E+00   1.5563E-01
 1.4663E+01  1.3671E+00   1.5926E-01
 1.4706E+01  1.3559E+00   1.6246E-01
 1.4749E+01  1.3444E+00   1.6521E-01
 1.4793E+01  1.3325E+00   1.6759E-01
 1.4837E+01  1.3198E+00   1.6974E-01
 1.4881E+01  1.3063E+00   1.7187E-01
 1.4925E+01  1.2919E+00   1.7417E-01
 1.4970E+01  1.2767E+00   1.7682E-01
 1.5015E+01  1.2606E+00   1.7996E-01
 1.5060E+01  1.2438E+00   1.8369E-01
 1.5106E+01  1.2263E+00   1.8812E-01
 1.5152E+01  1.2080E+00   1.9333E-01
 1.5198E+01  1.1891E+00   1.9938E-01
 1.5244E+01  1.1695E+00   2.0636E-01
 1.5290E+01  1.1493E+00   2.1435E-01
 1.5337E+01  1.1283E+00   2.2349E-01
 1.5385E+01  1.1067E+00   2.3391E-01
 1.5432E+01  1.0844E+00   2.4578E-01
 1.5480E+01  1.0615E+00   2.5929E-01
 1.5528E+01  1.0379E+00   2.7470E-01
 1.5576E+01  1.0138E+00   2.9225E-01
 1.5625E+01  9.8935E-01   3.1235E-01
 1.5674E+01  9.6469E-01   3.3533E-01
 1.5723E+01  9.4017E-01   3.6162E-01
 1.5773E+01  9.1629E-01   3.9163E-01
 1.5823E+01  8.9369E-01   4.2575E-01
 1.5873E+01  8.7322E-01   4.6429E-01
 1.5924E+01  8.5591E-01   5.0747E-01
 1.5974E+01  8.4301E-01   5.5498E-01
 1.6026E+01  8.3577E-01   6.0657E-01
 1.6077E+01  8.3550E-01   6.6148E-01
 1.6129E+01  8.4342E-01   7.1837E-01
 1.6181E+01  8.6066E-01   7.7598E-01
 1.6234E+01  8.8821E-01   8.3243E-01
 1.6287E+01  9.2660E-01   8.8514E-01
 1.6340E+01  9.7624E-01   9.3146E-01
 1.6393E+01  1.0362E+00   9.6762E-01
 1.6447E+01  1.1047E+00   9.8998E-01
 1.6502E+01  1.1774E+00   9.9500E-01
 1.6556E+01  1.2491E+00   9.8079E-01
 1.6611E+01  1.3130E+00   9.4806E-01
 1.6667E+01  1.3633E+00   9.0045E-01
 1.6722E+01  1.3963E+00   8.4385E-01
 1.6779E+01  1.4116E+00   7.8440E-01
 1.6835E+01  1.4109E+00   7.2731E-01
 1.6892E+01  1.3972E+00   6.7599E-01
 1.6949E+01  1.3740E+00   6.3219E-01
 1.7007E+01  1.3440E+00   5.9649E-01
 1.7065E+01  1.3095E+00   5.6859E-01
 1.7123E+01  1.2720E+00   5.4793E-01
 1.7182E+01  1.2329E+00   5.3393E-01
 1.7241E+01  1.1929E+00   5.2593E-01
 1.7301E+01  1.1526E+00   5.2344E-01
 1.7361E+01  1.1123E+00   5.2602E-01
 1.7422E+01  1.0723E+00   5.3338E-01
 1.7483E+01  1.0331E+00   5.4528E-01
 1.7544E+01  9.9470E-01   5.6160E-01
 1.7606E+01  9.5769E-01   5.8214E-01
 1.7668E+01  9.2228E-01   6.0683E-01
 1.7730E+01  8.8889E-01   6.3553E-01
 1.7794E+01  8.5798E-01   6.6796E-01
 1.7857E+01  8.2999E-01   7.0382E-01
 1.7921E+01  8.0524E-01   7.4278E-01
 1.7986E+01  7.8407E-01   7.8442E-01
 1.8050E+01  7.6673E-01   8.2819E-01
 1.8116E+01  7.5337E-01   8.7365E-01
 1.8182E+01  7.4408E-01   9.2035E-01
 1.8248E+01  7.3891E-01   9.6781E-01
 1.8315E+01  7.3787E-01   1.0155E+00
 1.8382E+01  7.4095E-01   1.0632E+00
 1.8450E+01  7.4812E-01   1.1102E+00
 1.8518E+01  7.5931E-01   1.1561E+00
 1.8587E+01  7.7439E-01   1.2004E+00
 1.8657E+01  7.9302E-01   1.2424E+00
 1.8727E+01  8.1476E-01   1.2816E+00
 1.8797E+01  8.3887E-01   1.3174E+00
 1.8868E+01  8.6440E-01   1.3496E+00
 1.8939E+01  8.9032E-01   1.3784E+00
 1.9011E+01  9.1567E-01   1.4044E+00
 1.9084E+01  9.3992E-01   1.4285E+00
 1.9157E+01  9.6304E-01   1.4521E+00
 1.9231E+01  9.8562E-01   1.4760E+00
 1.9305E+01  1.0086E+00   1.5009E+00
 1.9380E+01  1.0333E+00   1.5270E+00
 1.9455E+01  1.0607E+00   1.5537E+00
 1.9531E+01  1.0917E+00   1.5802E+00
 1.9608E+01  1.1267E+00   1.6055E+00
 1.9685E+01  1.1661E+00   1.6283E+00
 1.9763E+01  1.2096E+00   1.6474E+00
 1.9841E+01  1.2566E+00   1.6615E+00
 1.9920E+01  1.3063E+00   1.6694E+00
 2.0000E+01  1.3575E+00   1.6703E+00
 2.0080E+01  1.4087E+00   1.6634E+00
 2.0161E+01  1.4581E+00   1.6486E+00
 2.0243E+01  1.5038E+00   1.6260E+00
 2.0325E+01  1.5442E+00   1.5966E+00
 2.0408E+01  1.5778E+00   1.5614E+00
 2.0492E+01  1.6033E+00   1.5222E+00
 2.0576E+01  1.6202E+00   1.4811E+00
 2.0661E+01  1.6288E+00   1.4398E+00
 2.0747E+01  1.6298E+00   1.4003E+00
 2.0833E+01  1.6248E+00   1.3635E+00
 2.0921E+01  1.6152E+00   1.3285E+00
 2.1008E+01  1.5998E+00   1.2943E+00
 2.1097E+01  1.5758E+00   1.2624E+00
 2.1186E+01  1.5433E+00   1.2372E+00
 2.1277E+01  1.5056E+00   1.2218E+00
 2.1367E+01  1.4664E+00   1.2169E+00
 2.1459E+01  1.4289E+00   1.2216E+00
 2.1552E+01  1.3959E+00   1.2347E+00
 2.1645E+01  1.3700E+00   1.2537E+00
 2.1739E+01  1.3530E+00   1.2746E+00
 2.1834E+01  1.3445E+00   1.2919E+00
 2.1930E+01  1.3403E+00   1.3005E+00
 2.2026E+01  1.3327E+00   1.2988E+00
 2.2124E+01  1.3143E+00   1.2909E+00
 2.2222E+01  1.2824E+00   1.2848E+00
 2.2321E+01  1.2399E+00   1.2877E+00
 2.2422E+01  1.1921E+00   1.3027E+00
 2.2523E+01  1.1439E+00   1.3302E+00
 2.2624E+01  1.0987E+00   1.3685E+00
 2.2727E+01  1.0586E+00   1.4155E+00
 2.2831E+01  1.0246E+00   1.4693E+00
 2.2936E+01  9.9705E-01   1.5281E+00
 2.3041E+01  9.7579E-01   1.5906E+00
 2.3148E+01  9.6067E-01   1.6560E+00
 2.3256E+01  9.5136E-01   1.7235E+00
 2.3364E+01  9.4764E-01   1.7926E+00
 2.3474E+01  9.4930E-01   1.8630E+00
 2.3585E+01  9.5619E-01   1.9345E+00
 2.3697E+01  9.6825E-01   2.0068E+00
 2.3809E+01  9.8552E-01   2.0798E+00
 2.3923E+01  1.0081E+00   2.1534E+00
 2.4038E+01  1.0362E+00   2.2275E+00
 2.4155E+01  1.0700E+00   2.3018E+00
 2.4272E+01  1.1100E+00   2.3761E+00
 2.4390E+01  1.1565E+00   2.4501E+00
 2.4510E+01  1.2101E+00   2.5233E+00
 2.4631E+01  1.2712E+00   2.5950E+00
 2.4753E+01  1.3404E+00   2.6646E+00
 2.4876E+01  1.4182E+00   2.7307E+00
 2.5000E+01  1.5051E+00   2.7922E+00
 2.5031E+01  1.5283E+00   2.8066E+00
 2.5063E+01  1.5520E+00   2.8207E+00
 2.5094E+01  1.5763E+00   2.8342E+00
 2.5126E+01  1.6012E+00   2.8473E+00
 2.5157E+01  1.6267E+00   2.8598E+00
 2.5189E+01  1.6528E+00   2.8718E+00
 2.5221E+01  1.6794E+00   2.8832E+00
 2.5253E+01  1.7065E+00   2.8940E+00
 2.5285E+01  1.7343E+00   2.9041E+00
 2.5317E+01  1.7625E+00   2.9135E+00
 2.5349E+01  1.7912E+00   2.9221E+00
 2.5381E+01  1.8204E+00   2.9299E+00
 2.5413E+01  1.8501E+00   2.9369E+00
 2.5445E+01  1.8802E+00   2.9431E+00
 2.5478E+01  1.9107E+00   2.9483E+00
 2.5510E+01  1.9416E+00   2.9526E+00
 2.5543E+01  1.9728E+00   2.9559E+00
 2.5575E+01  2.0043E+00   2.9582E+00
 2.5608E+01  2.0361E+00   2.9594E+00
 2.5641E+01  2.0680E+00   2.9595E+00
 2.5674E+01  2.1000E+00   2.9585E+00
 2.5707E+01  2.1321E+00   2.9564E+00
