Darapskite optical constants from Roush, J. Geophys.
Res., 101, 2215-2224, 1996.  Range of validity is given
as 5-17 micrometers
  wavelength  calc. ref.  real index  imag. index
 2.6189E+00  2.6440E-02  1.3865E+00   6.8809E-05
 2.6202E+00  2.6438E-02  1.3865E+00   6.8931E-05
 2.6216E+00  2.6437E-02  1.3865E+00   6.9055E-05
 2.6229E+00  2.6435E-02  1.3864E+00   6.9177E-05
 2.6242E+00  2.6434E-02  1.3864E+00   6.9300E-05
 2.6256E+00  2.6433E-02  1.3864E+00   6.9424E-05
 2.6269E+00  2.6431E-02  1.3864E+00   6.9548E-05
 2.6282E+00  2.6430E-02  1.3864E+00   6.9673E-05
 2.6296E+00  2.6428E-02  1.3864E+00   6.9797E-05
 2.6309E+00  2.6427E-02  1.3864E+00   6.9922E-05
 2.6322E+00  2.6425E-02  1.3864E+00   7.0047E-05
 2.6336E+00  2.6424E-02  1.3863E+00   7.0172E-05
 2.6349E+00  2.6422E-02  1.3863E+00   7.0298E-05
 2.6362E+00  2.6421E-02  1.3863E+00   7.0424E-05
 2.6376E+00  2.6420E-02  1.3863E+00   7.0551E-05
 2.6389E+00  2.6418E-02  1.3863E+00   7.0678E-05
 2.6403E+00  2.6417E-02  1.3863E+00   7.0805E-05
 2.6416E+00  2.6415E-02  1.3863E+00   7.0932E-05
 2.6429E+00  2.6414E-02  1.3863E+00   7.1060E-05
 2.6443E+00  2.6412E-02  1.3862E+00   7.1188E-05
 2.6456E+00  2.6411E-02  1.3862E+00   7.1316E-05
 2.6470E+00  2.6409E-02  1.3862E+00   7.1445E-05
 2.6484E+00  2.6408E-02  1.3862E+00   7.1574E-05
 2.6497E+00  2.6406E-02  1.3862E+00   7.1704E-05
 2.6511E+00  2.6405E-02  1.3862E+00   7.1833E-05
 2.6524E+00  2.6403E-02  1.3862E+00   7.1962E-05
 2.6538E+00  2.6402E-02  1.3862E+00   7.2093E-05
 2.6551E+00  2.6400E-02  1.3861E+00   7.2224E-05
 2.6565E+00  2.6399E-02  1.3861E+00   7.2355E-05
 2.6579E+00  2.6397E-02  1.3861E+00   7.2487E-05
