Orthopyroxene powder pellet
from Roush, Pollack, and Orenberg, Icarus, 94, 191-208, 1991
  Wave.   real   imag.
  (um)   index  index
  9.615  1.281  0.448
  9.653  1.299  0.436
  9.690  1.309  0.414
  9.728  1.307  0.390
  9.766  1.293  0.372
  9.804  1.271  0.367
  9.842  1.252  0.377
  9.881  1.249  0.399
  9.921  1.265  0.409
  9.960  1.277  0.395
 10.000  1.260  0.376
 10.040  1.224  0.378
 10.081  1.185  0.411
 10.121  1.166  0.475
 10.163  1.190  0.557
 10.204  1.268  0.614
 10.246  1.360  0.607
 10.288  1.408  0.561
 10.331  1.413  0.529
 10.373  1.414  0.528
 10.417  1.435  0.542
 10.460  1.479  0.545
 10.504  1.526  0.522
 10.549  1.556  0.481
 10.593  1.562  0.441
 10.638  1.556  0.418
 10.684  1.558  0.415
 10.730  1.587  0.409
 10.776  1.624  0.369
 10.823  1.630  0.306
 10.870  1.605  0.252
 10.917  1.566  0.218
 10.965  1.520  0.201
 11.013  1.469  0.204
 11.062  1.408  0.273
 11.111  1.462  0.240
 11.161  1.416  0.253
 11.211  1.391  0.303
 11.261  1.406  0.368
 11.312  1.461  0.415
 11.364  1.531  0.426
 11.416  1.598  0.406
 11.468  1.644  0.360
 11.521  1.666  0.315
 11.574  1.689  0.273
 11.628  1.698  0.213
 11.682  1.681  0.160
 11.737  1.653  0.123
 11.792  1.626  0.100
 11.848  1.601  0.084
 11.905  1.579  0.073
 11.962  1.559  0.065
 12.019  1.542  0.058
 12.077  1.526  0.054
 12.136  1.511  0.050
 12.195  1.498  0.047
 12.255  1.485  0.045
 12.315  1.473  0.043
 12.376  1.461  0.041
 12.438  1.451  0.040
 12.500  1.440  0.039
 12.563  1.430  0.039
 12.626  1.420  0.039
 12.690  1.410  0.039
 12.755  1.400  0.039
 12.821  1.391  0.040
 12.887  1.381  0.041
 12.953  1.371  0.043
 13.021  1.362  0.045
 13.089  1.352  0.047
 13.158  1.343  0.051
 13.228  1.334  0.055
 13.298  1.325  0.061
 13.369  1.317  0.067
 13.441  1.310  0.075
 13.514  1.306  0.083
 13.587  1.304  0.091
 13.661  1.305  0.096
 13.736  1.306  0.096
 13.812  1.304  0.094
 13.889  1.297  0.090
 13.966  1.286  0.088
 14.045  1.272  0.089
 14.124  1.255  0.094
 14.205  1.236  0.108
 14.286  1.219  0.133
 14.368  1.216  0.174
 14.451  1.252  0.215
 14.535  1.309  0.207
 14.620  1.330  0.163
 14.706  1.317  0.127
 14.793  1.293  0.108
 14.881  1.266  0.101
 14.970  1.239  0.102
 15.060  1.212  0.112
 15.152  1.187  0.134
 15.244  1.174  0.169
 15.337  1.190  0.208
 15.432  1.231  0.212
 15.528  1.245  0.179
 15.625  1.228  0.151
 15.723  1.199  0.139
 15.823  1.167  0.137
 15.924  1.134  0.144
 16.026  1.101  0.157
 16.129  1.068  0.177
 16.234  1.035  0.205
 16.340  1.003  0.241
 16.447  0.975  0.288
 16.556  0.956  0.345
 16.667  0.951  0.408
 16.779  0.962  0.470
 16.892  0.985  0.524
 17.007  1.010  0.566
 17.123  1.031  0.606
 17.241  1.052  0.651
 17.361  1.084  0.703
 17.483  1.131  0.749
 17.606  1.184  0.780
 17.731  1.231  0.801
 17.857  1.272  0.830
 17.986  1.329  0.869
 18.116  1.416  0.896
 18.248  1.520  0.881
 18.382  1.597  0.816
 18.519  1.618  0.738
 18.657  1.588  0.687
 18.797  1.534  0.693
 18.939  1.502  0.773
 19.084  1.559  0.903
 19.231  1.739  0.976
 19.380  1.926  0.906
 19.531  2.026  0.783
 19.685  2.077  0.661
 19.841  2.089  0.548
 20.000  2.080  0.451
 20.161  2.054  0.365
 20.325  2.010  0.293
 20.492  1.955  0.244
 20.661  1.899  0.215
 20.833  1.844  0.204
 21.008  1.793  0.211
 21.186  1.753  0.238
 21.368  1.736  0.283
 21.552  1.755  0.328
 21.739  1.794  0.347
 21.930  1.838  0.357
 22.124  1.914  0.340
 22.321  1.961  0.253
 22.523  1.943  0.173
 22.727  1.906  0.125
 22.936  1.868  0.097
 23.148  1.833  0.080
 23.364  1.796  0.069
 23.585  1.747  0.066
 23.810  1.508  0.507
 24.038  1.791  0.060
 24.272  1.727  0.069
 24.510  1.668  0.122
 24.752  1.770  0.282
 25.000  1.875  0.115
