Fibroferrite optical constants from Roush, J. Geophys.
Res., 101, 2215-2224, 1996.  From best fit oscillators
given in Table 5.
  wavelength  calc. ref.  real index  imag. index
 5.4989E+00  3.3309E-02  1.4445E+00   4.7855E-03
 5.5048E+00  3.3265E-02  1.4441E+00   4.8589E-03
 5.5106E+00  3.3220E-02  1.4438E+00   4.9344E-03
 5.5165E+00  3.3176E-02  1.4434E+00   5.0122E-03
 5.5223E+00  3.3131E-02  1.4430E+00   5.0918E-03
 5.5282E+00  3.3085E-02  1.4426E+00   5.1743E-03
 5.5341E+00  3.3038E-02  1.4423E+00   5.2592E-03
 5.5400E+00  3.2991E-02  1.4419E+00   5.3468E-03
 5.5460E+00  3.2943E-02  1.4415E+00   5.4371E-03
 5.5519E+00  3.2895E-02  1.4411E+00   5.5303E-03
 5.5579E+00  3.2846E-02  1.4407E+00   5.6265E-03
 5.5638E+00  3.2797E-02  1.4403E+00   5.7252E-03
 5.5698E+00  3.2747E-02  1.4399E+00   5.8277E-03
 5.5758E+00  3.2696E-02  1.4394E+00   5.9337E-03
 5.5818E+00  3.2645E-02  1.4390E+00   6.0432E-03
 5.5878E+00  3.2593E-02  1.4386E+00   6.1564E-03
 5.5938E+00  3.2540E-02  1.4382E+00   6.2736E-03
 5.5999E+00  3.2487E-02  1.4377E+00   6.3942E-03
 5.6059E+00  3.2432E-02  1.4373E+00   6.5198E-03
 5.6120E+00  3.2377E-02  1.4368E+00   6.6499E-03
 5.6181E+00  3.2321E-02  1.4363E+00   6.7848E-03
 5.6242E+00  3.2265E-02  1.4359E+00   6.9247E-03
 5.6303E+00  3.2207E-02  1.4354E+00   7.0699E-03
 5.6364E+00  3.2149E-02  1.4349E+00   7.2205E-03
 5.6425E+00  3.2090E-02  1.4344E+00   7.3763E-03
 5.6487E+00  3.2030E-02  1.4339E+00   7.5389E-03
 5.6548E+00  3.1969E-02  1.4334E+00   7.7080E-03
 5.6610E+00  3.1907E-02  1.4329E+00   7.8840E-03
 5.6672E+00  3.1844E-02  1.4324E+00   8.0672E-03
 5.6734E+00  3.1780E-02  1.4318E+00   8.2580E-03
 5.6796E+00  3.1715E-02  1.4313E+00   8.4559E-03
 5.6858E+00  3.1649E-02  1.4307E+00   8.6632E-03
 5.6921E+00  3.1582E-02  1.4302E+00   8.8796E-03
 5.6983E+00  3.1514E-02  1.4296E+00   9.1056E-03
 5.7046E+00  3.1445E-02  1.4290E+00   9.3418E-03
 5.7109E+00  3.1374E-02  1.4284E+00   9.5887E-03
 5.7172E+00  3.1303E-02  1.4278E+00   9.8470E-03
 5.7235E+00  3.1230E-02  1.4272E+00   1.0116E-02
 5.7298E+00  3.1156E-02  1.4266E+00   1.0399E-02
 5.7361E+00  3.1081E-02  1.4259E+00   1.0697E-02
 5.7425E+00  3.1004E-02  1.4253E+00   1.1008E-02
 5.7489E+00  3.0926E-02  1.4246E+00   1.1336E-02
 5.7553E+00  3.0847E-02  1.4240E+00   1.1680E-02
 5.7616E+00  3.0766E-02  1.4233E+00   1.2040E-02
 5.7680E+00  3.0684E-02  1.4226E+00   1.2420E-02
 5.7745E+00  3.0601E-02  1.4219E+00   1.2821E-02
 5.7809E+00  3.0516E-02  1.4211E+00   1.3244E-02
 5.7874E+00  3.0430E-02  1.4204E+00   1.3690E-02
 5.7938E+00  3.0342E-02  1.4196E+00   1.4161E-02
 5.8003E+00  3.0253E-02  1.4189E+00   1.4659E-02
 5.8068E+00  3.0163E-02  1.4181E+00   1.5183E-02
 5.8133E+00  3.0071E-02  1.4173E+00   1.5741E-02
 5.8198E+00  2.9977E-02  1.4165E+00   1.6331E-02
 5.8264E+00  2.9883E-02  1.4157E+00   1.6958E-02
 5.8329E+00  2.9787E-02  1.4148E+00   1.7623E-02
 5.8395E+00  2.9690E-02  1.4140E+00   1.8329E-02
 5.8461E+00  2.9593E-02  1.4131E+00   1.9077E-02
 5.8527E+00  2.9494E-02  1.4122E+00   1.9876E-02
 5.8593E+00  2.9395E-02  1.4113E+00   2.0728E-02
 5.8659E+00  2.9295E-02  1.4104E+00   2.1636E-02
 5.8726E+00  2.9195E-02  1.4095E+00   2.2604E-02
 5.8792E+00  2.9095E-02  1.4086E+00   2.3638E-02
 5.8859E+00  2.8996E-02  1.4077E+00   2.4743E-02
 5.8926E+00  2.8898E-02  1.4067E+00   2.5918E-02
 5.8993E+00  2.8801E-02  1.4058E+00   2.7181E-02
 5.9060E+00  2.8707E-02  1.4049E+00   2.8533E-02
 5.9128E+00  2.8617E-02  1.4040E+00   2.9980E-02
 5.9195E+00  2.8530E-02  1.4031E+00   3.1530E-02
 5.9263E+00  2.8449E-02  1.4023E+00   3.3188E-02
 5.9330E+00  2.8375E-02  1.4015E+00   3.4954E-02
 5.9398E+00  2.8309E-02  1.4007E+00   3.6853E-02
 5.9466E+00  2.8253E-02  1.4000E+00   3.8884E-02
 5.9535E+00  2.8209E-02  1.3994E+00   4.1052E-02
 5.9603E+00  2.8181E-02  1.3988E+00   4.3362E-02
 5.9672E+00  2.8170E-02  1.3984E+00   4.5820E-02
 5.9741E+00  2.8180E-02  1.3981E+00   4.8427E-02
 5.9809E+00  2.8214E-02  1.3980E+00   5.1168E-02
 5.9878E+00  2.8276E-02  1.3981E+00   5.4066E-02
 5.9948E+00  2.8369E-02  1.3984E+00   5.7098E-02
 6.0017E+00  2.8499E-02  1.3990E+00   6.0250E-02
 6.0087E+00  2.8669E-02  1.3999E+00   6.3497E-02
 6.0157E+00  2.8883E-02  1.4011E+00   6.6809E-02
 6.0226E+00  2.9142E-02  1.4027E+00   7.0128E-02
 6.0296E+00  2.9452E-02  1.4046E+00   7.3438E-02
 6.0366E+00  2.9812E-02  1.4070E+00   7.6661E-02
 6.0437E+00  3.0222E-02  1.4099E+00   7.9727E-02
 6.0507E+00  3.0679E-02  1.4131E+00   8.2561E-02
