From Marzo et al. (2004) Adv. Space Res., 33, 2246-2251
selenite
  Wavelength
  (microns)       n           k       Q/a theor   Q/a experim
  0.1703D+01  0.1397D+01  0.2366D-02  0.2379D+03  0.2314D+03
  0.1704D+01  0.1397D+01  0.2365D-02  0.2375D+03  0.2319D+03
  0.1706D+01  0.1397D+01  0.2364D-02  0.2373D+03  0.2328D+03
  0.1707D+01  0.1397D+01  0.2363D-02  0.2369D+03  0.2348D+03
  0.1709D+01  0.1397D+01  0.2362D-02  0.2366D+03  0.2347D+03
  0.1710D+01  0.1397D+01  0.2361D-02  0.2363D+03  0.2345D+03
  0.1712D+01  0.1397D+01  0.2359D-02  0.2360D+03  0.2339D+03
  0.1714D+01  0.1397D+01  0.2358D-02  0.2357D+03  0.2327D+03
  0.1715D+01  0.1397D+01  0.2357D-02  0.2354D+03  0.2324D+03
  0.1717D+01  0.1397D+01  0.2356D-02  0.2351D+03  0.2327D+03
  0.1718D+01  0.1397D+01  0.2355D-02  0.2347D+03  0.2341D+03
  0.1720D+01  0.1397D+01  0.2353D-02  0.2344D+03  0.2344D+03
  0.1721D+01  0.1397D+01  0.2352D-02  0.2341D+03  0.2355D+03
  0.1723D+01  0.1397D+01  0.2351D-02  0.2338D+03  0.2365D+03
  0.1725D+01  0.1396D+01  0.2350D-02  0.2335D+03  0.2371D+03
  0.1726D+01  0.1396D+01  0.2349D-02  0.2332D+03  0.2379D+03
  0.1728D+01  0.1396D+01  0.2348D-02  0.2329D+03  0.2368D+03
  0.1729D+01  0.1396D+01  0.2347D-02  0.2326D+03  0.2384D+03
  0.1729D+01  0.1396D+01  0.2347D-02  0.2323D+03  0.2397D+03
  0.1731D+01  0.1396D+01  0.2346D-02  0.2320D+03  0.2392D+03
  0.1732D+01  0.1396D+01  0.2345D-02  0.2317D+03  0.2396D+03
  0.1734D+01  0.1396D+01  0.2344D-02  0.2314D+03  0.2397D+03
  0.1736D+01  0.1396D+01  0.2343D-02  0.2311D+03  0.2408D+03
  0.1737D+01  0.1396D+01  0.2342D-02  0.2309D+03  0.2388D+03
  0.1739D+01  0.1396D+01  0.2342D-02  0.2306D+03  0.2401D+03
  0.1740D+01  0.1396D+01  0.2341D-02  0.2304D+03  0.2396D+03
  0.1742D+01  0.1396D+01  0.2341D-02  0.2302D+03  0.2408D+03
  0.1744D+01  0.1396D+01  0.2340D-02  0.2299D+03  0.2410D+03
  0.1745D+01  0.1396D+01  0.2340D-02  0.2297D+03  0.2410D+03
  0.1747D+01  0.1396D+01  0.2340D-02  0.2295D+03  0.2411D+03
  0.1749D+01  0.1396D+01  0.2340D-02  0.2293D+03  0.2421D+03
