From Marzo et al. (2004) Adv. Space Res., 33, 2246-2251
selenite
  Wavelength
  (microns)       n           k       Q/a theor   Q/a experim
  0.2575D+01  0.1373D+01  0.9954D-02  0.6638D+03  0.6385D+03
  0.2576D+01  0.1373D+01  0.9971D-02  0.6647D+03  0.6378D+03
  0.2576D+01  0.1373D+01  0.9980D-02  0.6657D+03  0.6377D+03
  0.2577D+01  0.1373D+01  0.9997D-02  0.6666D+03  0.6391D+03
  0.2578D+01  0.1373D+01  0.1001D-01  0.6675D+03  0.6413D+03
  0.2579D+01  0.1373D+01  0.1003D-01  0.6684D+03  0.6440D+03
  0.2579D+01  0.1373D+01  0.1005D-01  0.6693D+03  0.6464D+03
  0.2580D+01  0.1373D+01  0.1007D-01  0.6702D+03  0.6479D+03
  0.2581D+01  0.1373D+01  0.1008D-01  0.6710D+03  0.6493D+03
  0.2581D+01  0.1373D+01  0.1010D-01  0.6719D+03  0.6520D+03
  0.2582D+01  0.1373D+01  0.1012D-01  0.6728D+03  0.6544D+03
  0.2582D+01  0.1373D+01  0.1012D-01  0.6737D+03  0.6539D+03
  0.2583D+01  0.1373D+01  0.1014D-01  0.6745D+03  0.6521D+03
  0.2584D+01  0.1373D+01  0.1016D-01  0.6754D+03  0.6525D+03
  0.2585D+01  0.1373D+01  0.1017D-01  0.6762D+03  0.6552D+03
  0.2585D+01  0.1373D+01  0.1019D-01  0.6771D+03  0.6578D+03
  0.2586D+01  0.1373D+01  0.1021D-01  0.6780D+03  0.6587D+03
  0.2587D+01  0.1373D+01  0.1022D-01  0.6788D+03  0.6577D+03
  0.2587D+01  0.1372D+01  0.1024D-01  0.6796D+03  0.6560D+03
  0.2588D+01  0.1372D+01  0.1025D-01  0.6805D+03  0.6553D+03
  0.2589D+01  0.1372D+01  0.1026D-01  0.6813D+03  0.6565D+03
  0.2589D+01  0.1372D+01  0.1028D-01  0.6821D+03  0.6589D+03
  0.2590D+01  0.1372D+01  0.1029D-01  0.6830D+03  0.6618D+03
  0.2591D+01  0.1372D+01  0.1031D-01  0.6838D+03  0.6651D+03
  0.2591D+01  0.1372D+01  0.1033D-01  0.6846D+03  0.6693D+03
  0.2592D+01  0.1372D+01  0.1034D-01  0.6854D+03  0.6745D+03
  0.2593D+01  0.1372D+01  0.1036D-01  0.6862D+03  0.6805D+03
  0.2593D+01  0.1372D+01  0.1037D-01  0.6870D+03  0.6839D+03
  0.2594D+01  0.1372D+01  0.1038D-01  0.6879D+03  0.6806D+03
  0.2595D+01  0.1372D+01  0.1040D-01  0.6887D+03  0.6743D+03
  0.2595D+01  0.1372D+01  0.1041D-01  0.6895D+03  0.6719D+03
  0.2596D+01  0.1372D+01  0.1043D-01  0.6903D+03  0.6720D+03
  0.2597D+01  0.1372D+01  0.1044D-01  0.6911D+03  0.6730D+03
  0.2597D+01  0.1372D+01  0.1046D-01  0.6919D+03  0.6742D+03
  0.2598D+01  0.1372D+01  0.1048D-01  0.6927D+03  0.6763D+03
  0.2599D+01  0.1371D+01  0.1049D-01  0.6935D+03  0.6793D+03
  0.2600D+01  0.1371D+01  0.1051D-01  0.6944D+03  0.6825D+03
  0.2600D+01  0.1371D+01  0.1052D-01  0.6952D+03  0.6852D+03
  0.2601D+01  0.1371D+01  0.1053D-01  0.6959D+03  0.6877D+03
  0.2601D+01  0.1371D+01  0.1055D-01  0.6968D+03  0.6903D+03
  0.2602D+01  0.1371D+01  0.1056D-01  0.6976D+03  0.6928D+03
  0.2603D+01  0.1371D+01  0.1058D-01  0.6984D+03  0.6946D+03
  0.2604D+01  0.1371D+01  0.1060D-01  0.6992D+03  0.6951D+03
  0.2604D+01  0.1371D+01  0.1061D-01  0.7001D+03  0.6945D+03
  0.2605D+01  0.1371D+01  0.1063D-01  0.7009D+03  0.6939D+03
  0.2605D+01  0.1371D+01  0.1064D-01  0.7017D+03  0.6939D+03
  0.2606D+01  0.1371D+01  0.1065D-01  0.7025D+03  0.6952D+03
  0.2607D+01  0.1371D+01  0.1067D-01  0.7034D+03  0.6973D+03
  0.2607D+01  0.1371D+01  0.1068D-01  0.7042D+03  0.6992D+03
  0.2608D+01  0.1371D+01  0.1070D-01  0.7051D+03  0.7004D+03
  0.2609D+01  0.1370D+01  0.1072D-01  0.7059D+03  0.7016D+03
  0.2610D+01  0.1370D+01  0.1073D-01  0.7068D+03  0.7034D+03
  0.2610D+01  0.1370D+01  0.1075D-01  0.7076D+03  0.7056D+03
  0.2611D+01  0.1370D+01  0.1077D-01  0.7085D+03  0.7077D+03
  0.2611D+01  0.1370D+01  0.1078D-01  0.7094D+03  0.7093D+03
  0.2612D+01  0.1370D+01  0.1079D-01  0.7103D+03  0.7104D+03
  0.2613D+01  0.1370D+01  0.1081D-01  0.7112D+03  0.7120D+03
  0.2614D+01  0.1370D+01  0.1083D-01  0.7121D+03  0.7155D+03
  0.2614D+01  0.1370D+01  0.1085D-01  0.7130D+03  0.7206D+03
  0.2615D+01  0.1370D+01  0.1086D-01  0.7139D+03  0.7249D+03
  0.2616D+01  0.1370D+01  0.1088D-01  0.7148D+03  0.7254D+03
  0.2617D+01  0.1370D+01  0.1090D-01  0.7158D+03  0.7230D+03
  0.2617D+01  0.1370D+01  0.1092D-01  0.7167D+03  0.7228D+03
  0.2618D+01  0.1370D+01  0.1093D-01  0.7177D+03  0.7251D+03
  0.2618D+01  0.1369D+01  0.1095D-01  0.7187D+03  0.7276D+03
  0.2619D+01  0.1369D+01  0.1096D-01  0.7196D+03  0.7284D+03
  0.2620D+01  0.1369D+01  0.1098D-01  0.7206D+03  0.7283D+03
  0.2621D+01  0.1369D+01  0.1100D-01  0.7216D+03  0.7291D+03
  0.2621D+01  0.1369D+01  0.1102D-01  0.7227D+03  0.7311D+03
  0.2622D+01  0.1369D+01  0.1104D-01  0.7237D+03  0.7337D+03
  0.2623D+01  0.1369D+01  0.1106D-01  0.7248D+03  0.7366D+03
  0.2623D+01  0.1369D+01  0.1107D-01  0.7258D+03  0.7398D+03
  0.2624D+01  0.1369D+01  0.1109D-01  0.7269D+03  0.7437D+03
  0.2625D+01  0.1369D+01  0.1111D-01  0.7280D+03  0.7474D+03
  0.2625D+01  0.1369D+01  0.1113D-01  0.7291D+03  0.7495D+03
  0.2626D+01  0.1369D+01  0.1116D-01  0.7302D+03  0.7502D+03
  0.2627D+01  0.1368D+01  0.1118D-01  0.7314D+03  0.7519D+03
  0.2627D+01  0.1368D+01  0.1120D-01  0.7326D+03  0.7558D+03
  0.2628D+01  0.1368D+01  0.1122D-01  0.7337D+03  0.7604D+03
  0.2629D+01  0.1368D+01  0.1124D-01  0.7349D+03  0.7626D+03
  0.2629D+01  0.1368D+01  0.1126D-01  0.7361D+03  0.7612D+03
  0.2630D+01  0.1368D+01  0.1128D-01  0.7374D+03  0.7599D+03
  0.2631D+01  0.1368D+01  0.1130D-01  0.7386D+03  0.7613D+03
  0.2632D+01  0.1368D+01  0.1133D-01  0.7399D+03  0.7636D+03
  0.2632D+01  0.1368D+01  0.1135D-01  0.7413D+03  0.7654D+03
  0.2633D+01  0.1368D+01  0.1137D-01  0.7425D+03  0.7664D+03
  0.2634D+01  0.1367D+01  0.1140D-01  0.7439D+03  0.7677D+03
  0.2634D+01  0.1367D+01  0.1142D-01  0.7453D+03  0.7701D+03
  0.2635D+01  0.1367D+01  0.1145D-01  0.7467D+03  0.7732D+03
  0.2636D+01  0.1367D+01  0.1146D-01  0.7481D+03  0.7762D+03
  0.2636D+01  0.1367D+01  0.1149D-01  0.7495D+03  0.7789D+03
  0.2637D+01  0.1367D+01  0.1152D-01  0.7510D+03  0.7815D+03
  0.2638D+01  0.1367D+01  0.1154D-01  0.7525D+03  0.7843D+03
  0.2639D+01  0.1367D+01  0.1157D-01  0.7540D+03  0.7874D+03
  0.2639D+01  0.1367D+01  0.1160D-01  0.7556D+03  0.7907D+03
  0.2640D+01  0.1367D+01  0.1163D-01  0.7572D+03  0.7935D+03
  0.2641D+01  0.1366D+01  0.1166D-01  0.7588D+03  0.7953D+03
  0.2641D+01  0.1366D+01  0.1169D-01  0.7604D+03  0.7968D+03
  0.2642D+01  0.1366D+01  0.1170D-01  0.7620D+03  0.7993D+03
  0.2643D+01  0.1366D+01  0.1173D-01  0.7637D+03  0.8030D+03
  0.2643D+01  0.1366D+01  0.1177D-01  0.7655D+03  0.8068D+03
  0.2644D+01  0.1366D+01  0.1180D-01  0.7673D+03  0.8098D+03
  0.2645D+01  0.1366D+01  0.1183D-01  0.7691D+03  0.8115D+03
  0.2646D+01  0.1366D+01  0.1186D-01  0.7709D+03  0.8129D+03
  0.2646D+01  0.1366D+01  0.1190D-01  0.7728D+03  0.8150D+03
  0.2647D+01  0.1365D+01  0.1193D-01  0.7746D+03  0.8178D+03
  0.2647D+01  0.1365D+01  0.1195D-01  0.7766D+03  0.8213D+03
  0.2648D+01  0.1365D+01  0.1198D-01  0.7785D+03  0.8250D+03
  0.2649D+01  0.1365D+01  0.1202D-01  0.7806D+03  0.8288D+03
  0.2650D+01  0.1365D+01  0.1206D-01  0.7826D+03  0.8330D+03
  0.2650D+01  0.1365D+01  0.1209D-01  0.7847D+03  0.8369D+03
  0.2651D+01  0.1365D+01  0.1213D-01  0.7868D+03  0.8395D+03
  0.2652D+01  0.1365D+01  0.1217D-01  0.7889D+03  0.8411D+03
  0.2653D+01  0.1365D+01  0.1221D-01  0.7912D+03  0.8435D+03
  0.2653D+01  0.1364D+01  0.1225D-01  0.7934D+03  0.8469D+03
  0.2654D+01  0.1364D+01  0.1227D-01  0.7957D+03  0.8499D+03
  0.2654D+01  0.1364D+01  0.1231D-01  0.7981D+03  0.8518D+03
  0.2655D+01  0.1364D+01  0.1235D-01  0.8005D+03  0.8542D+03
  0.2656D+01  0.1364D+01  0.1240D-01  0.8028D+03  0.8581D+03
  0.2657D+01  0.1364D+01  0.1244D-01  0.8053D+03  0.8629D+03
  0.2657D+01  0.1364D+01  0.1249D-01  0.8079D+03  0.8678D+03
  0.2658D+01  0.1364D+01  0.1253D-01  0.8104D+03  0.8719D+03
  0.2659D+01  0.1363D+01  0.1258D-01  0.8131D+03  0.8748D+03
  0.2660D+01  0.1363D+01  0.1262D-01  0.8158D+03  0.8769D+03
  0.2660D+01  0.1363D+01  0.1265D-01  0.8185D+03  0.8795D+03
  0.2661D+01  0.1363D+01  0.1270D-01  0.8212D+03  0.8832D+03
  0.2662D+01  0.1363D+01  0.1275D-01  0.8240D+03  0.8885D+03
  0.2662D+01  0.1363D+01  0.1280D-01  0.8269D+03  0.8952D+03
  0.2663D+01  0.1363D+01  0.1285D-01  0.8299D+03  0.9024D+03
  0.2664D+01  0.1362D+01  0.1290D-01  0.8329D+03  0.9081D+03
  0.2665D+01  0.1362D+01  0.1296D-01  0.8359D+03  0.9097D+03
  0.2665D+01  0.1362D+01  0.1301D-01  0.8389D+03  0.9075D+03
  0.2666D+01  0.1362D+01  0.1304D-01  0.8421D+03  0.9069D+03
  0.2667D+01  0.1362D+01  0.1309D-01  0.8453D+03  0.9097D+03
  0.2667D+01  0.1362D+01  0.1315D-01  0.8486D+03  0.9149D+03
  0.2668D+01  0.1362D+01  0.1321D-01  0.8520D+03  0.9213D+03
  0.2669D+01  0.1361D+01  0.1327D-01  0.8554D+03  0.9267D+03
  0.2670D+01  0.1361D+01  0.1333D-01  0.8589D+03  0.9301D+03
  0.2670D+01  0.1361D+01  0.1339D-01  0.8623D+03  0.9328D+03
  0.2671D+01  0.1361D+01  0.1345D-01  0.8660D+03  0.9356D+03
  0.2672D+01  0.1361D+01  0.1352D-01  0.8697D+03  0.9379D+03
  0.2672D+01  0.1361D+01  0.1355D-01  0.8734D+03  0.9406D+03
  0.2673D+01  0.1361D+01  0.1362D-01  0.8773D+03  0.9444D+03
  0.2674D+01  0.1360D+01  0.1369D-01  0.8812D+03  0.9492D+03
  0.2674D+01  0.1360D+01  0.1375D-01  0.8852D+03  0.9542D+03
  0.2675D+01  0.1360D+01  0.1382D-01  0.8891D+03  0.9586D+03
  0.2676D+01  0.1360D+01  0.1390D-01  0.8932D+03  0.9613D+03
  0.2677D+01  0.1360D+01  0.1397D-01  0.8974D+03  0.9626D+03
  0.2677D+01  0.1360D+01  0.1404D-01  0.9017D+03  0.9641D+03
  0.2678D+01  0.1359D+01  0.1412D-01  0.9061D+03  0.9667D+03
  0.2679D+01  0.1359D+01  0.1416D-01  0.9106D+03  0.9705D+03
  0.2679D+01  0.1359D+01  0.1424D-01  0.9149D+03  0.9751D+03
  0.2680D+01  0.1359D+01  0.1432D-01  0.9195D+03  0.9809D+03
  0.2681D+01  0.1359D+01  0.1440D-01  0.9243D+03  0.9875D+03
  0.2682D+01  0.1359D+01  0.1448D-01  0.9291D+03  0.9936D+03
  0.2682D+01  0.1358D+01  0.1456D-01  0.9340D+03  0.9987D+03
  0.2683D+01  0.1358D+01  0.1465D-01  0.9390D+03  0.1003D+04
  0.2684D+01  0.1358D+01  0.1474D-01  0.9441D+03  0.1008D+04
  0.2684D+01  0.1358D+01  0.1478D-01  0.9490D+03  0.1013D+04
  0.2685D+01  0.1358D+01  0.1487D-01  0.9543D+03  0.1017D+04
  0.2686D+01  0.1357D+01  0.1496D-01  0.9597D+03  0.1022D+04
  0.2687D+01  0.1357D+01  0.1506D-01  0.9652D+03  0.1027D+04
  0.2687D+01  0.1357D+01  0.1515D-01  0.9708D+03  0.1033D+04
  0.2688D+01  0.1357D+01  0.1525D-01  0.9765D+03  0.1039D+04
  0.2689D+01  0.1357D+01  0.1535D-01  0.9823D+03  0.1046D+04
  0.2690D+01  0.1357D+01  0.1545D-01  0.9879D+03  0.1054D+04
  0.2690D+01  0.1356D+01  0.1556D-01  0.9939D+03  0.1062D+04
  0.2691D+01  0.1356D+01  0.1561D-01  0.1000D+04  0.1071D+04
  0.2692D+01  0.1356D+01  0.1572D-01  0.1006D+04  0.1080D+04
  0.2692D+01  0.1356D+01  0.1583D-01  0.1013D+04  0.1086D+04
  0.2693D+01  0.1356D+01  0.1594D-01  0.1019D+04  0.1089D+04
  0.2694D+01  0.1355D+01  0.1605D-01  0.1026D+04  0.1090D+04
  0.2695D+01  0.1355D+01  0.1617D-01  0.1032D+04  0.1094D+04
  0.2695D+01  0.1355D+01  0.1628D-01  0.1039D+04  0.1100D+04
  0.2696D+01  0.1355D+01  0.1640D-01  0.1046D+04  0.1107D+04
  0.2697D+01  0.1355D+01  0.1653D-01  0.1053D+04  0.1115D+04
  0.2697D+01  0.1354D+01  0.1659D-01  0.1061D+04  0.1122D+04
  0.2698D+01  0.1354D+01  0.1672D-01  0.1068D+04  0.1130D+04
  0.2699D+01  0.1354D+01  0.1685D-01  0.1075D+04  0.1138D+04
  0.2700D+01  0.1354D+01  0.1698D-01  0.1083D+04  0.1145D+04
  0.2701D+01  0.1354D+01  0.1711D-01  0.1091D+04  0.1152D+04
  0.2701D+01  0.1353D+01  0.1725D-01  0.1099D+04  0.1160D+04
  0.2702D+01  0.1353D+01  0.1739D-01  0.1107D+04  0.1168D+04
  0.2703D+01  0.1353D+01  0.1753D-01  0.1115D+04  0.1177D+04
  0.2703D+01  0.1353D+01  0.1760D-01  0.1123D+04  0.1185D+04
  0.2704D+01  0.1352D+01  0.1775D-01  0.1132D+04  0.1194D+04
  0.2705D+01  0.1352D+01  0.1790D-01  0.1141D+04  0.1203D+04
  0.2706D+01  0.1352D+01  0.1805D-01  0.1150D+04  0.1213D+04
  0.2706D+01  0.1352D+01  0.1821D-01  0.1159D+04  0.1224D+04
  0.2707D+01  0.1352D+01  0.1837D-01  0.1169D+04  0.1235D+04
  0.2708D+01  0.1351D+01  0.1853D-01  0.1178D+04  0.1246D+04
  0.2709D+01  0.1351D+01  0.1870D-01  0.1187D+04  0.1255D+04
  0.2709D+01  0.1351D+01  0.1887D-01  0.1197D+04  0.1262D+04
  0.2710D+01  0.1351D+01  0.1896D-01  0.1207D+04  0.1271D+04
  0.2711D+01  0.1350D+01  0.1913D-01  0.1218D+04  0.1283D+04
  0.2711D+01  0.1350D+01  0.1931D-01  0.1228D+04  0.1295D+04
  0.2712D+01  0.1350D+01  0.1949D-01  0.1239D+04  0.1305D+04
  0.2713D+01  0.1350D+01  0.1968D-01  0.1250D+04  0.1315D+04
  0.2714D+01  0.1349D+01  0.1987D-01  0.1260D+04  0.1326D+04
  0.2715D+01  0.1349D+01  0.2006D-01  0.1272D+04  0.1337D+04
  0.2715D+01  0.1349D+01  0.2026D-01  0.1283D+04  0.1350D+04
  0.2716D+01  0.1349D+01  0.2047D-01  0.1295D+04  0.1362D+04
  0.2716D+01  0.1348D+01  0.2057D-01  0.1307D+04  0.1375D+04
  0.2717D+01  0.1348D+01  0.2078D-01  0.1320D+04  0.1388D+04
  0.2718D+01  0.1348D+01  0.2099D-01  0.1332D+04  0.1401D+04
  0.2719D+01  0.1348D+01  0.2121D-01  0.1345D+04  0.1414D+04
  0.2720D+01  0.1347D+01  0.2143D-01  0.1358D+04  0.1424D+04
  0.2720D+01  0.1347D+01  0.2166D-01  0.1371D+04  0.1437D+04
  0.2721D+01  0.1347D+01  0.2189D-01  0.1385D+04  0.1452D+04
  0.2722D+01  0.1347D+01  0.2213D-01  0.1399D+04  0.1466D+04
  0.2723D+01  0.1346D+01  0.2238D-01  0.1413D+04  0.1477D+04
  0.2723D+01  0.1346D+01  0.2250D-01  0.1427D+04  0.1486D+04
  0.2724D+01  0.1346D+01  0.2275D-01  0.1441D+04  0.1497D+04
  0.2725D+01  0.1346D+01  0.2301D-01  0.1456D+04  0.1511D+04
  0.2725D+01  0.1345D+01  0.2327D-01  0.1472D+04  0.1526D+04
  0.2726D+01  0.1345D+01  0.2354D-01  0.1488D+04  0.1541D+04
  0.2727D+01  0.1345D+01  0.2381D-01  0.1504D+04  0.1555D+04
  0.2728D+01  0.1344D+01  0.2409D-01  0.1520D+04  0.1569D+04
  0.2729D+01  0.1344D+01  0.2438D-01  0.1536D+04  0.1584D+04
  0.2729D+01  0.1344D+01  0.2452D-01  0.1553D+04  0.1600D+04
  0.2730D+01  0.1344D+01  0.2482D-01  0.1571D+04  0.1617D+04
  0.2731D+01  0.1343D+01  0.2512D-01  0.1589D+04  0.1634D+04
  0.2731D+01  0.1343D+01  0.2543D-01  0.1607D+04  0.1652D+04
  0.2732D+01  0.1343D+01  0.2575D-01  0.1625D+04  0.1670D+04
  0.2733D+01  0.1342D+01  0.2607D-01  0.1643D+04  0.1688D+04
  0.2734D+01  0.1342D+01  0.2641D-01  0.1663D+04  0.1705D+04
  0.2735D+01  0.1342D+01  0.2674D-01  0.1683D+04  0.1725D+04
  0.2735D+01  0.1341D+01  0.2709D-01  0.1703D+04  0.1747D+04
  0.2736D+01  0.1341D+01  0.2727D-01  0.1724D+04  0.1768D+04
  0.2737D+01  0.1341D+01  0.2763D-01  0.1745D+04  0.1789D+04
  0.2737D+01  0.1341D+01  0.2799D-01  0.1766D+04  0.1812D+04
  0.2738D+01  0.1340D+01  0.2837D-01  0.1787D+04  0.1836D+04
  0.2739D+01  0.1340D+01  0.2875D-01  0.1810D+04  0.1857D+04
  0.2740D+01  0.1340D+01  0.2915D-01  0.1833D+04  0.1877D+04
  0.2741D+01  0.1339D+01  0.2955D-01  0.1856D+04  0.1902D+04
  0.2741D+01  0.1339D+01  0.2996D-01  0.1880D+04  0.1929D+04
  0.2742D+01  0.1339D+01  0.3038D-01  0.1905D+04  0.1957D+04
  0.2743D+01  0.1339D+01  0.3059D-01  0.1930D+04  0.1983D+04
  0.2743D+01  0.1338D+01  0.3103D-01  0.1954D+04  0.2009D+04
  0.2744D+01  0.1338D+01  0.3148D-01  0.1981D+04  0.2035D+04
  0.2745D+01  0.1338D+01  0.3193D-01  0.2007D+04  0.2063D+04
  0.2746D+01  0.1337D+01  0.3240D-01  0.2035D+04  0.2094D+04
  0.2747D+01  0.1337D+01  0.3288D-01  0.2063D+04  0.2126D+04
  0.2747D+01  0.1337D+01  0.3337D-01  0.2091D+04  0.2158D+04
  0.2748D+01  0.1336D+01  0.3387D-01  0.2119D+04  0.2191D+04
  0.2749D+01  0.1336D+01  0.3412D-01  0.2149D+04  0.2225D+04
  0.2749D+01  0.1336D+01  0.3464D-01  0.2179D+04  0.2260D+04
  0.2750D+01  0.1336D+01  0.3517D-01  0.2211D+04  0.2296D+04
  0.2751D+01  0.1335D+01  0.3571D-01  0.2243D+04  0.2333D+04
  0.2752D+01  0.1335D+01  0.3627D-01  0.2275D+04  0.2371D+04
  0.2753D+01  0.1335D+01  0.3684D-01  0.2308D+04  0.2407D+04
  0.2753D+01  0.1334D+01  0.3742D-01  0.2341D+04  0.2442D+04
  0.2754D+01  0.1334D+01  0.3802D-01  0.2375D+04  0.2479D+04
  0.2755D+01  0.1334D+01  0.3863D-01  0.2411D+04  0.2521D+04
  0.2755D+01  0.1334D+01  0.3894D-01  0.2447D+04  0.2568D+04
  0.2756D+01  0.1333D+01  0.3957D-01  0.2484D+04  0.2613D+04
  0.2757D+01  0.1333D+01  0.4021D-01  0.2522D+04  0.2651D+04
  0.2758D+01  0.1333D+01  0.4087D-01  0.2561D+04  0.2687D+04
  0.2759D+01  0.1333D+01  0.4155D-01  0.2599D+04  0.2723D+04
  0.2759D+01  0.1332D+01  0.4224D-01  0.2639D+04  0.2761D+04
  0.2760D+01  0.1332D+01  0.4295D-01  0.2680D+04  0.2799D+04
  0.2761D+01  0.1332D+01  0.4367D-01  0.2722D+04  0.2838D+04
  0.2762D+01  0.1331D+01  0.4441D-01  0.2765D+04  0.2877D+04
  0.2762D+01  0.1331D+01  0.4479D-01  0.2809D+04  0.2919D+04
  0.2763D+01  0.1331D+01  0.4555D-01  0.2852D+04  0.2962D+04
  0.2764D+01  0.1331D+01  0.4633D-01  0.2898D+04  0.3002D+04
  0.2765D+01  0.1331D+01  0.4713D-01  0.2944D+04  0.3040D+04
  0.2765D+01  0.1330D+01  0.4794D-01  0.2992D+04  0.3076D+04
  0.2766D+01  0.1330D+01  0.4878D-01  0.3040D+04  0.3111D+04
  0.2767D+01  0.1330D+01  0.4963D-01  0.3090D+04  0.3148D+04
  0.2768D+01  0.1330D+01  0.5050D-01  0.3140D+04  0.3186D+04
  0.2768D+01  0.1330D+01  0.5094D-01  0.3189D+04  0.3223D+04
  0.2769D+01  0.1330D+01  0.5183D-01  0.3242D+04  0.3256D+04
  0.2770D+01  0.1330D+01  0.5274D-01  0.3295D+04  0.3289D+04
  0.2771D+01  0.1329D+01  0.5367D-01  0.3349D+04  0.3323D+04
  0.2772D+01  0.1329D+01  0.5462D-01  0.3405D+04  0.3358D+04
  0.2772D+01  0.1329D+01  0.5559D-01  0.3461D+04  0.3391D+04
  0.2773D+01  0.1329D+01  0.5657D-01  0.3518D+04  0.3423D+04
  0.2774D+01  0.1329D+01  0.5757D-01  0.3573D+04  0.3453D+04
  0.2775D+01  0.1329D+01  0.5859D-01  0.3632D+04  0.3483D+04
  0.2775D+01  0.1329D+01  0.5911D-01  0.3692D+04  0.3513D+04
  0.2776D+01  0.1329D+01  0.6015D-01  0.3753D+04  0.3545D+04
  0.2777D+01  0.1329D+01  0.6121D-01  0.3815D+04  0.3579D+04
  0.2778D+01  0.1329D+01  0.6228D-01  0.3877D+04  0.3614D+04
  0.2779D+01  0.1329D+01  0.6337D-01  0.3937D+04  0.3647D+04
  0.2779D+01  0.1330D+01  0.6448D-01  0.4001D+04  0.3682D+04
  0.2780D+01  0.1330D+01  0.6560D-01  0.4066D+04  0.3719D+04
  0.2781D+01  0.1330D+01  0.6673D-01  0.4132D+04  0.3759D+04
  0.2782D+01  0.1330D+01  0.6787D-01  0.4198D+04  0.3802D+04
  0.2782D+01  0.1330D+01  0.6844D-01  0.4264D+04  0.3847D+04
  0.2783D+01  0.1331D+01  0.6960D-01  0.4332D+04  0.3894D+04
  0.2784D+01  0.1331D+01  0.7077D-01  0.4396D+04  0.3938D+04
  0.2785D+01  0.1331D+01  0.7194D-01  0.4464D+04  0.3983D+04
  0.2786D+01  0.1332D+01  0.7313D-01  0.4532D+04  0.4032D+04
  0.2786D+01  0.1332D+01  0.7431D-01  0.4600D+04  0.4089D+04
  0.2787D+01  0.1333D+01  0.7550D-01  0.4669D+04  0.4152D+04
  0.2788D+01  0.1333D+01  0.7669D-01  0.4737D+04  0.4217D+04
  0.2788D+01  0.1333D+01  0.7728D-01  0.4802D+04  0.4279D+04
  0.2789D+01  0.1334D+01  0.7847D-01  0.4870D+04  0.4337D+04
  0.2790D+01  0.1335D+01  0.7965D-01  0.4938D+04  0.4396D+04
  0.2791D+01  0.1335D+01  0.8082D-01  0.5005D+04  0.4457D+04
  0.2792D+01  0.1336D+01  0.8198D-01  0.5072D+04  0.4521D+04
  0.2793D+01  0.1337D+01  0.8314D-01  0.5138D+04  0.4589D+04
  0.2793D+01  0.1337D+01  0.8428D-01  0.5203D+04  0.4659D+04
  0.2794D+01  0.1338D+01  0.8540D-01  0.5264D+04  0.4731D+04
  0.2795D+01  0.1339D+01  0.8650D-01  0.5327D+04  0.4805D+04
  0.2795D+01  0.1340D+01  0.8704D-01  0.5389D+04  0.4882D+04
  0.2796D+01  0.1341D+01  0.8810D-01  0.5449D+04  0.4961D+04
  0.2797D+01  0.1342D+01  0.8914D-01  0.5508D+04  0.5042D+04
  0.2798D+01  0.1343D+01  0.9015D-01  0.5564D+04  0.5125D+04
  0.2799D+01  0.1344D+01  0.9112D-01  0.5619D+04  0.5209D+04
  0.2800D+01  0.1345D+01  0.9206D-01  0.5669D+04  0.5293D+04
  0.2800D+01  0.1346D+01  0.9295D-01  0.5720D+04  0.5375D+04
  0.2801D+01  0.1348D+01  0.9381D-01  0.5768D+04  0.5456D+04
  0.2802D+01  0.1349D+01  0.9462D-01  0.5814D+04  0.5540D+04
  0.2802D+01  0.1349D+01  0.9500D-01  0.5856D+04  0.5628D+04
  0.2803D+01  0.1351D+01  0.9574D-01  0.5896D+04  0.5716D+04
  0.2804D+01  0.1352D+01  0.9642D-01  0.5932D+04  0.5800D+04
  0.2805D+01  0.1354D+01  0.9705D-01  0.5966D+04  0.5878D+04
  0.2806D+01  0.1355D+01  0.9763D-01  0.5997D+04  0.5954D+04
  0.2807D+01  0.1356D+01  0.9814D-01  0.6024D+04  0.6026D+04
  0.2808D+01  0.1358D+01  0.9860D-01  0.6049D+04  0.6095D+04
  0.2808D+01  0.1359D+01  0.9899D-01  0.6070D+04  0.6163D+04
  0.2809D+01  0.1361D+01  0.9932D-01  0.6087D+04  0.6227D+04
  0.2810D+01  0.1362D+01  0.9946D-01  0.6100D+04  0.6286D+04
  0.2810D+01  0.1363D+01  0.9970D-01  0.6111D+04  0.6339D+04
  0.2811D+01  0.1365D+01  0.9987D-01  0.6117D+04  0.6389D+04
  0.2812D+01  0.1366D+01  0.9998D-01  0.6121D+04  0.6433D+04
  0.2813D+01  0.1368D+01  0.1000D+00  0.6120D+04  0.6470D+04
  0.2814D+01  0.1369D+01  0.1000D+00  0.6117D+04  0.6503D+04
  0.2815D+01  0.1370D+01  0.9992D-01  0.6110D+04  0.6532D+04
  0.2815D+01  0.1372D+01  0.9978D-01  0.6100D+04  0.6553D+04
  0.2816D+01  0.1373D+01  0.9969D-01  0.6086D+04  0.6565D+04
  0.2817D+01  0.1374D+01  0.9946D-01  0.6069D+04  0.6569D+04
  0.2818D+01  0.1375D+01  0.9917D-01  0.6049D+04  0.6570D+04
  0.2818D+01  0.1377D+01  0.9882D-01  0.6026D+04  0.6567D+04
  0.2819D+01  0.1378D+01  0.9843D-01  0.6000D+04  0.6556D+04
  0.2820D+01  0.1379D+01  0.9798D-01  0.5973D+04  0.6537D+04
  0.2821D+01  0.1381D+01  0.9749D-01  0.5942D+04  0.6509D+04
