Calculated for E||b from oscillators in table 1 of Aronson et al., Appl. Opt. 22,
4093-4098, 1983.
  frequency  calc. ref.  real index  imag. index
 5.8240E+02  1.6271E-01  2.2466E+00   4.3855E-01
 5.8433E+02  1.6810E-01  2.2604E+00   4.8838E-01
 5.8625E+02  1.7381E-01  2.2702E+00   5.4489E-01
 5.8818E+02  1.7979E-01  2.2744E+00   6.0843E-01
 5.9011E+02  1.8599E-01  2.2705E+00   6.7886E-01
 5.9204E+02  1.9229E-01  2.2561E+00   7.5542E-01
 5.9397E+02  1.9853E-01  2.2283E+00   8.3621E-01
 5.9590E+02  2.0449E-01  2.1845E+00   9.1821E-01
 5.9782E+02  2.0985E-01  2.1232E+00   9.9696E-01
 5.9975E+02  2.1427E-01  2.0445E+00   1.0673E+00
 6.0168E+02  2.1736E-01  1.9507E+00   1.1239E+00
 6.0361E+02  2.1874E-01  1.8457E+00   1.1627E+00
 6.0554E+02  2.1809E-01  1.7353E+00   1.1813E+00
 6.0747E+02  2.1517E-01  1.6249E+00   1.1796E+00
 6.0939E+02  2.0985E-01  1.5195E+00   1.1595E+00
 6.1132E+02  2.0210E-01  1.4227E+00   1.1237E+00
 6.1325E+02  1.9202E-01  1.3368E+00   1.0758E+00
 6.1518E+02  1.7981E-01  1.2628E+00   1.0190E+00
 6.1711E+02  1.6577E-01  1.2008E+00   9.5610E-01
 6.1904E+02  1.5033E-01  1.1507E+00   8.8973E-01
 6.2097E+02  1.3397E-01  1.1117E+00   8.2184E-01
 6.2289E+02  1.1730E-01  1.0831E+00   7.5421E-01
 6.2482E+02  1.0092E-01  1.0640E+00   6.8819E-01
 6.2675E+02  8.5421E-02  1.0532E+00   6.2502E-01
 6.2868E+02  7.1292E-02  1.0497E+00   5.6555E-01
 6.3061E+02  5.8888E-02  1.0522E+00   5.1052E-01
 6.3254E+02  4.8362E-02  1.0595E+00   4.6026E-01
 6.3447E+02  3.9724E-02  1.0705E+00   4.1493E-01
 6.3639E+02  3.2837E-02  1.0841E+00   3.7438E-01
 6.3832E+02  2.7504E-02  1.0993E+00   3.3837E-01
 6.4025E+02  2.3485E-02  1.1157E+00   3.0651E-01
 6.4218E+02  2.0551E-02  1.1325E+00   2.7839E-01
 6.4411E+02  1.8490E-02  1.1493E+00   2.5358E-01
 6.4604E+02  1.7118E-02  1.1660E+00   2.3165E-01
 6.4796E+02  1.6288E-02  1.1824E+00   2.1226E-01
 6.4989E+02  1.5877E-02  1.1982E+00   1.9507E-01
 6.5182E+02  1.5789E-02  1.2134E+00   1.7979E-01
 6.5375E+02  1.5948E-02  1.2280E+00   1.6616E-01
 6.5568E+02  1.6292E-02  1.2420E+00   1.5398E-01
 6.5761E+02  1.6777E-02  1.2554E+00   1.4305E-01
 6.5953E+02  1.7365E-02  1.2681E+00   1.3322E-01
 6.6146E+02  1.8030E-02  1.2803E+00   1.2435E-01
 6.6339E+02  1.8747E-02  1.2919E+00   1.1633E-01
 6.6532E+02  1.9502E-02  1.3029E+00   1.0905E-01
 6.6725E+02  2.0280E-02  1.3135E+00   1.0243E-01
 6.6918E+02  2.1072E-02  1.3235E+00   9.6382E-02
 6.7111E+02  2.1869E-02  1.3331E+00   9.0859E-02
 6.7303E+02  2.2666E-02  1.3423E+00   8.5798E-02
 6.7496E+02  2.3458E-02  1.3510E+00   8.1146E-02
 6.7689E+02  2.4241E-02  1.3594E+00   7.6866E-02
 6.7882E+02  2.5015E-02  1.3674E+00   7.2916E-02
 6.8075E+02  2.5774E-02  1.3751E+00   6.9266E-02
 6.8268E+02  2.6520E-02  1.3825E+00   6.5886E-02
 6.8461E+02  2.7251E-02  1.3896E+00   6.2751E-02
 6.8653E+02  2.7966E-02  1.3964E+00   5.9836E-02
 6.8846E+02  2.8665E-02  1.4029E+00   5.7125E-02
 6.9039E+02  2.9348E-02  1.4092E+00   5.4596E-02
 6.9232E+02  3.0014E-02  1.4153E+00   5.2236E-02
 6.9425E+02  3.0665E-02  1.4211E+00   5.0029E-02
 6.9618E+02  3.1300E-02  1.4267E+00   4.7963E-02
 6.9811E+02  3.1919E-02  1.4322E+00   4.6025E-02
 7.0003E+02  3.2523E-02  1.4374E+00   4.4207E-02
 7.0196E+02  3.3113E-02  1.4425E+00   4.2498E-02
 7.0389E+02  3.3688E-02  1.4474E+00   4.0889E-02
 7.0582E+02  3.4249E-02  1.4522E+00   3.9374E-02
 7.0775E+02  3.4798E-02  1.4568E+00   3.7945E-02
 7.0967E+02  3.5332E-02  1.4612E+00   3.6596E-02
 7.1160E+02  3.5855E-02  1.4656E+00   3.5322E-02
 7.1353E+02  3.6366E-02  1.4698E+00   3.4116E-02
 7.1546E+02  3.6865E-02  1.4739E+00   3.2975E-02
 7.1739E+02  3.7352E-02  1.4779E+00   3.1893E-02
 7.1932E+02  3.7829E-02  1.4817E+00   3.0867E-02
 7.2125E+02  3.8296E-02  1.4855E+00   2.9894E-02
 7.2317E+02  3.8752E-02  1.4892E+00   2.8969E-02
 7.2510E+02  3.9199E-02  1.4928E+00   2.8090E-02
 7.2703E+02  3.9637E-02  1.4963E+00   2.7254E-02
 7.2896E+02  4.0066E-02  1.4997E+00   2.6458E-02
 7.3089E+02  4.0487E-02  1.5030E+00   2.5699E-02
 7.3282E+02  4.0900E-02  1.5063E+00   2.4976E-02
 7.3475E+02  4.1304E-02  1.5095E+00   2.4287E-02
 7.3667E+02  4.1702E-02  1.5126E+00   2.3628E-02
 7.3860E+02  4.2092E-02  1.5156E+00   2.3000E-02
 7.4053E+02  4.2475E-02  1.5186E+00   2.2399E-02
 7.4246E+02  4.2851E-02  1.5215E+00   2.1825E-02
 7.4439E+02  4.3222E-02  1.5244E+00   2.1275E-02
 7.4632E+02  4.3586E-02  1.5272E+00   2.0749E-02
 7.4825E+02  4.3944E-02  1.5300E+00   2.0246E-02
 7.5017E+02  4.4297E-02  1.5327E+00   1.9764E-02
 7.5210E+02  4.4644E-02  1.5354E+00   1.9301E-02
 7.5403E+02  4.4986E-02  1.5380E+00   1.8858E-02
