Andesite, from Pollack et al., Icarus, 19, 372-389, 1973
Wavelengths < 5 microns, from Table II
Wavelengths >= 5 microns, Calculated from oscillator parameters
  wavelength  real index  imag. index
 1.9750E+01  1.7811E+00   4.3982E-01
 2.0000E+01  1.7596E+00   4.1776E-01
 2.0250E+01  1.7348E+00   4.0623E-01
 2.0500E+01  1.7094E+00   4.0416E-01
 2.0750E+01  1.6853E+00   4.1045E-01
 2.1000E+01  1.6639E+00   4.2407E-01
 2.1250E+01  1.6464E+00   4.4409E-01
 2.1500E+01  1.6338E+00   4.6954E-01
 2.1750E+01  1.6272E+00   4.9928E-01
 2.2000E+01  1.6275E+00   5.3193E-01
 2.2250E+01  1.6354E+00   5.6580E-01
 2.2500E+01  1.6512E+00   5.9893E-01
 2.2750E+01  1.6744E+00   6.2926E-01
 2.3000E+01  1.7042E+00   6.5481E-01
 2.3250E+01  1.7388E+00   6.7393E-01
 2.3500E+01  1.7763E+00   6.8561E-01
 2.3750E+01  1.8143E+00   6.8955E-01
 2.4000E+01  1.8505E+00   6.8626E-01
 2.4250E+01  1.8831E+00   6.7692E-01
 2.4500E+01  1.9107E+00   6.6320E-01
 2.4750E+01  1.9325E+00   6.4700E-01
 2.5000E+01  1.9485E+00   6.3030E-01
 2.5250E+01  1.9590E+00   6.1507E-01
 2.5500E+01  1.9648E+00   6.0330E-01
 2.5750E+01  1.9674E+00   5.9712E-01
 2.6000E+01  1.9699E+00   5.9885E-01
 2.6250E+01  1.9782E+00   6.0983E-01
 2.6500E+01  2.0023E+00   6.2536E-01
 2.6750E+01  2.0459E+00   6.2760E-01
 2.7000E+01  2.0886E+00   6.0129E-01
 2.7250E+01  2.1082E+00   5.6136E-01
 2.7500E+01  2.1090E+00   5.2809E-01
 2.7750E+01  2.1029E+00   5.0606E-01
 2.8000E+01  2.0963E+00   4.9262E-01
 2.8250E+01  2.0915E+00   4.8471E-01
 2.8500E+01  2.0893E+00   4.8016E-01
 2.8750E+01  2.0895E+00   4.7753E-01
 2.9000E+01  2.0921E+00   4.7584E-01
 2.9250E+01  2.0967E+00   4.7438E-01
 2.9500E+01  2.1030E+00   4.7263E-01
 2.9750E+01  2.1108E+00   4.7021E-01
 3.0000E+01  2.1196E+00   4.6685E-01
 3.0250E+01  2.1291E+00   4.6239E-01
 3.0500E+01  2.1390E+00   4.5672E-01
 3.0750E+01  2.1490E+00   4.4985E-01
 3.1000E+01  2.1588E+00   4.4183E-01
 3.1250E+01  2.1681E+00   4.3276E-01
 3.1500E+01  2.1768E+00   4.2278E-01
 3.1750E+01  2.1847E+00   4.1205E-01
 3.2000E+01  2.1918E+00   4.0073E-01
 3.2250E+01  2.1979E+00   3.8900E-01
 3.2500E+01  2.2032E+00   3.7701E-01
 3.2750E+01  2.2075E+00   3.6491E-01
 3.3000E+01  2.2109E+00   3.5282E-01
 3.3250E+01  2.2135E+00   3.4084E-01
 3.3500E+01  2.2153E+00   3.2907E-01
 3.3750E+01  2.2165E+00   3.1758E-01
 3.4000E+01  2.2169E+00   3.0642E-01
 3.4250E+01  2.2169E+00   2.9562E-01
 3.4500E+01  2.2163E+00   2.8522E-01
 3.4750E+01  2.2153E+00   2.7523E-01
 3.5000E+01  2.2140E+00   2.6566E-01
 3.5250E+01  2.2123E+00   2.5651E-01
 3.5500E+01  2.2103E+00   2.4777E-01
 3.5750E+01  2.2081E+00   2.3944E-01
 3.6000E+01  2.2058E+00   2.3150E-01
 3.6250E+01  2.2032E+00   2.2395E-01
 3.6500E+01  2.2006E+00   2.1676E-01
 3.6750E+01  2.1978E+00   2.0992E-01
 3.7000E+01  2.1950E+00   2.0341E-01
 3.7250E+01  2.1921E+00   1.9722E-01
 3.7500E+01  2.1892E+00   1.9134E-01
 3.7750E+01  2.1863E+00   1.8574E-01
 3.8000E+01  2.1833E+00   1.8041E-01
 3.8250E+01  2.1804E+00   1.7533E-01
 3.8500E+01  2.1774E+00   1.7050E-01
 3.8750E+01  2.1745E+00   1.6589E-01
